date,DEU_commodities_f1__DEU_commodities_f2
2007-09-25,0.0009026515925314258
2007-09-26,-0.0066410294159947635
2007-09-27,-0.012638774541769088
2007-09-28,-0.017388972401810972
2007-10-01,-0.021139304308262077
2007-10-02,0.48705316175585284
2007-10-03,0.4939761342892508
2007-10-04,0.5056013029443664
2007-10-05,0.5216017640576974
2007-10-08,0.5414789171433798
2007-10-09,0.5645680095743161
2007-10-10,0.590058603009762
2007-10-11,0.6170352491238336
2007-10-12,0.6445387192419676
2007-10-15,0.6716411543350614
2007-10-16,0.6975222059959959
2007-10-17,0.7215308549991846
2007-10-18,0.7432208143319103
2007-10-19,0.7623550088370914
2007-10-22,0.7788830466619625
2007-10-23,0.7929013161213293
2007-10-24,0.8046067999396274
2007-10-25,0.8142536385118834
2007-10-26,0.8221178081295778
2007-10-29,0.8284717626082049
2007-10-30,0.8335684432102476
2007-10-31,0.8376328303730279
2007-11-01,0.8436859915638832
2007-11-02,0.842717461170991
2007-11-05,0.8427410114312632
2007-11-06,0.8434061310356756
2007-11-07,0.8444302649382174
2007-11-08,0.8456051632858226
2007-11-09,0.8467905912768706
2007-11-12,0.8479015374707799
2007-11-13,0.8488937735898591
2007-11-14,0.8497507408484584
2007-11-15,0.8504730829311791
2007-11-16,0.8510710368747466
2007-11-19,0.8515593152907247
2007-11-20,0.8519539112983012
2007-11-21,0.8522702663847548
2007-11-22,0.852522340576801
2007-11-23,0.8527222434168232
2007-11-26,0.8528801903051251
2007-11-27,0.8530046310446606
2007-11-28,0.8531024560928984
2007-11-29,0.8531792254281685
2007-11-30,0.8532393901548997
2007-12-03,0.8481619301286633
2007-12-04,0.8492836894072214
2007-12-05,0.8501681049851966
2007-12-06,0.8508634353438908
2007-12-07,0.8514090123778796
2007-12-10,0.8518364664842696
2007-12-11,0.8521710137113737
2007-12-12,0.8524326380168952
2007-12-13,0.8526371115707796
2007-12-14,0.8527968456794511
2007-12-17,0.852921585927333
2007-12-18,0.8530189725442692
2007-12-19,0.8530949880961332
2007-12-20,0.8531543129293929
2007-12-21,0.8532006061219168
2007-12-24,0.8532367268331876
2007-12-25,0.8532649082800362
