date,FRA_systemic_stress_f1__FRA_systemic_stress_f2
2019-11-15,-0.8653476142961669
2019-11-18,-0.8656709567837259
2019-11-19,-0.8659264858297618
2019-11-20,-0.8661278328583263
2019-11-21,-0.8662861276179108
2019-11-22,-0.8664103574562881
2019-11-25,-0.8665077205046992
2019-11-26,-0.8665839465192704
2019-11-27,-0.8666435752045674
2019-11-28,-0.8666901906092045
2019-11-29,-0.8667266145907108
2019-12-02,-0.8667550642414319
2019-12-03,-0.8639693346655098
2019-12-04,-0.8645196803656046
2019-12-05,-0.8649823276187519
2019-12-06,-0.8653634275542879
2019-12-09,-0.8656729654737156
2019-12-10,-0.8659218624998591
2019-12-11,-0.8661205331718412
2019-12-12,-0.8662782501749199
2019-12-13,-0.8664029436197139
2019-12-16,-0.8665012224821328
2019-12-17,-0.8665784990468332
2019-12-18,-0.8666391512599698
2019-12-19,-0.866686688974651
2019-12-20,-0.8667239076721177
2019-12-23,-0.8667530229739149
2019-12-24,-0.866775784439761
2019-12-25,-0.8667935697268351
2019-12-26,-0.8668074613153559
2019-12-27,-0.866818308349884
2019-12-30,-0.8668267760890319
2019-12-31,-0.8668333852142971
2020-01-01,-0.8163800190692232
2020-01-02,-0.8265142308018639
2020-01-03,-0.8347994734607851
2020-01-06,-0.8414918350864604
2020-01-07,-0.8468514593731206
2020-01-08,-0.8511169382817337
2020-01-09,-0.85449579615603
2020-01-10,-0.8571628751045528
2020-01-13,-0.8592624423795967
2020-01-14,-0.8609118351490058
2020-01-15,-0.8622055092740839
2020-01-16,-0.8632189293447463
2020-01-17,-0.8640120488329732
2020-01-20,-0.8646322966856236
2020-01-21,-0.86511707294206
2020-01-22,-0.8654957966807172
2020-01-23,-0.8657915652657905
2020-01-24,-0.8660224862813942
2020-01-27,-0.8662027394374918
2020-01-28,-0.8663434188716593
2020-01-29,-0.866453198682843
2020-01-30,-0.8665388572480385
2020-01-31,-0.8666056893558616
2020-02-03,-0.8497608064538648
2020-02-04,-0.8519224730340081
2020-02-05,-0.8541605970300242
2020-02-06,-0.8562770941206121
2020-02-07,-0.8581724290460992
2020-02-10,-0.8598094943619314
2020-02-11,-0.8611881110985589
2020-02-12,-0.8623279247260693
2020-02-13,-0.8632575256761074
2020-02-14,-0.8640079307922177
2020-02-17,-0.8646089671414571
2020-02-18,-0.8650874945679041
2020-02-19,-0.8654667339978169
2020-02-20,-0.8657662199911147
2020-02-21,-0.866002074846464
2020-02-24,-0.8661874223379957
2020-02-25,-0.8663328373502375
2020-02-26,-0.8664467764037616
2020-02-27,-0.8665359632848726
2020-02-28,-0.8666057207588802
2020-03-02,-0.866660248414495
2020-03-03,-0.794257642869649
2020-03-04,-0.8033042284363119
2020-03-05,-0.8125055002995549
2020-03-06,-0.8212271125516506
2020-03-09,-0.8291142353261239
2020-03-10,-0.8360094383679489
2020-03-11,-0.841886519201862
2020-03-12,-0.8467993610400705
2020-03-13,-0.8508446828510902
2020-03-16,-0.8541366851994722
2020-03-17,-0.8567910768692798
2020-03-18,-0.8589159557654978
2020-03-19,-0.8606073559240891
2020-03-20,-0.8619477547640289
2020-03-23,-0.8630063138371359
2020-03-24,-0.8638400283307583
2020-03-25,-0.8644952643836101
2020-03-26,-0.8650093763396213
2020-03-27,-0.8654122368306028
2020-03-30,-0.8657276007226271
2020-03-31,-0.8659742761769478
2020-04-01,-0.0016319114293288331
2020-04-02,0.11345438247538175
2020-04-03,0.21928022282223625
2020-04-06,0.315538575117169
2020-04-07,0.4019750221790599
2020-04-08,0.47849306763209487
2020-04-09,0.5452264765537913
2020-04-10,0.6025646443151583
2020-04-13,0.651131175018877
2020-04-14,0.6917280448252137
2020-04-15,0.7252634943285438
2020-04-16,0.7526806490032941
2020-04-17,0.7748983942329626
2020-04-20,0.7927695824756372
2020-04-21,0.8070565474966381
2020-04-22,0.8184209587930353
2020-04-23,0.8274240111120715
2020-04-24,0.8345331304017597
2020-04-27,0.840132137317547
2020-04-28,0.8445326985175243
2020-04-29,0.8479856824901811
2020-04-30,0.8506916378009902
2020-05-01,0.8134169072533833
2020-05-04,0.8236021653177882
2020-05-05,0.8316036253528984
2020-05-06,0.8378762037113381
2020-05-07,0.8427866213541318
2020-05-08,0.8466270197804046
2020-05-11,0.8496285363319477
2020-05-12,0.8519732647431442
2020-05-13,0.8538042610302606
2020-05-14,0.8552336982893232
2020-05-15,0.8563494156125723
2020-05-18,0.857220130325143
2020-05-19,0.8578995623914943
2020-05-20,0.8584296853103285
2020-05-21,0.8588432815418245
2020-05-22,0.8591659473514308
2020-05-25,0.8594176634726487
2020-05-26,0.8596140243300525
2020-05-27,0.8597671992930463
2020-05-28,0.8598866839324196
2020-05-29,0.8599798868916227
2020-06-01,0.860052588184544
2020-06-02,0.7350080262418874
2020-06-03,0.3615832743275368
2020-06-04,0.07940076308068894
2020-06-05,-0.135435121158958
2020-06-08,-0.29992014098295305
2020-06-09,-0.4263932810220949
2020-06-10,-0.5239560814551234
2020-06-11,-0.5994053361491894
2020-06-12,-0.6578656251938925
2020-06-15,-0.703229700753344
2020-06-16,-0.7384718587545333
2020-06-17,-0.7658749826238705
2020-06-18,-0.7871974880124382
2020-06-19,-0.8037975610340894
2020-06-22,-0.8167265172842854
2020-06-23,-0.8267995060795188
2020-06-24,-0.8346493921505581
2020-06-25,-0.8407680213420355
2020-06-26,-0.8455379485612442
2020-06-29,-0.849256908172211
2020-06-30,-0.8521567330850522
2020-07-01,-0.6442693245200353
2020-07-02,-0.6297642694485883
2020-07-03,-0.6222531947453631
2020-07-06,-0.621241042926725
2020-07-07,-0.626092449094435
2020-07-08,-0.6360326413903742
2020-07-09,-0.6501578158550606
2020-07-10,-0.6674621618241303
2020-07-13,-0.6868849892043856
2020-07-14,-0.7073751789188316
2020-07-15,-0.727963323889761
2020-07-16,-0.7478274789250141
2020-07-17,-0.7663389033644209
2020-07-20,-0.7830797198089687
2020-07-21,-0.7978324763734468
2020-07-22,-0.8105485411452632
2020-07-23,-0.8213055806821523
2020-07-24,-0.8302638359924512
2020-07-27,-0.8376279626612673
2020-07-28,-0.8436176877367075
2020-07-29,-0.8484477166798035
2020-07-30,-0.8523156441279103
2020-07-31,-0.8553959562479142
2020-08-03,-0.8019628809340331
2020-08-04,-0.80810121812936
2020-08-05,-0.8152070933421781
2020-08-06,-0.8225088794299195
2020-08-07,-0.8294945966110789
2020-08-10,-0.8358609805927196
2020-08-11,-0.8414615737973743
2020-08-12,-0.8462589911452538
2020-08-13,-0.8502850848776017
2020-08-14,-0.8536104965209538
2020-08-17,-0.8563232146176617
2020-08-18,-0.8585146748628368
2020-08-19,-0.8602715765080124
2020-08-20,-0.8616716910994989
2020-08-21,-0.8627822586560044
2020-08-24,-0.8636599332414509
2020-08-25,-0.8643515664535069
2020-08-26,-0.864895372032891
2020-08-27,-0.8653221970033915
2020-08-28,-0.86565674690775
2020-08-31,-0.8659186901748184
2020-09-01,-0.8654142543107399
2020-09-02,-0.8655509329341515
2020-09-03,-0.8657255658223292
2020-09-04,-0.8659046803836697
2020-09-07,-0.8660712452777953
2020-09-08,-0.8662178767583117
2020-09-09,-0.8663425980529058
2020-09-10,-0.8664462651695446
2020-09-11,-0.866531052541271
2020-09-14,-0.8665995964334549
2020-09-15,-0.8666545366092432
2020-09-16,-0.8666982926201986
2020-09-17,-0.8667329737431916
2020-09-18,-0.8667603615812512
2020-09-21,-0.8667819293666473
2020-09-22,-0.8667988773663109
2020-09-23,-0.8668121730460242
2020-09-24,-0.8668225901131018
2020-09-25,-0.8668307437017488
2020-09-28,-0.8668371207150181
2020-09-29,-0.8668421052630684
2020-09-30,-0.8668459995869842
2020-10-01,-0.863395354692225
2020-10-02,-0.8640304097034326
2020-10-05,-0.8645751990827896
2020-10-06,-0.8650302339248631
2020-10-07,-0.8654034867639386
2020-10-08,-0.8657057818535749
2020-10-09,-0.8659483653295771
2020-10-12,-0.8661417160771157
2020-10-13,-0.866295047106365
2020-10-14,-0.8664161775810519
2020-10-15,-0.8665115919028964
2020-10-16,-0.8665865825867448
2020-10-19,-0.8666454206613428
