date,ESP_real_estate_f1__ESP_real_estate_f2
2000-05-31,-0.8515122391607067
2000-06-01,-0.8532700060587003
2000-06-02,-0.8528960604681739
2000-06-05,-0.852608185043864
2000-06-06,-0.852386170081149
2000-06-07,-0.8522145717732856
2000-06-08,-0.8520816994651375
2000-06-09,-0.8519786601408863
2000-06-12,-0.8518986591415679
2000-06-13,-0.8518364851837784
2000-06-14,-0.8517881284141238
2000-06-15,-0.8517504950937358
2000-06-16,-0.8517211930075043
2000-06-19,-0.8516983690627734
2000-06-20,-0.8516805857130658
2000-06-21,-0.8516667264849311
2000-06-22,-0.8516559234702592
2000-06-23,-0.8516475014964321
2000-06-26,-0.851640935024365
2000-06-27,-0.8516358148016022
2000-06-28,-0.8516318220183997
2000-06-29,-0.8516287082512617
2000-06-30,-0.8516262798810078
2000-07-03,-0.8534929479052158
2000-07-04,-0.8530909455285759
2000-07-05,-0.8527814087104489
2000-07-06,-0.8525426520927167
2000-07-07,-0.8523580949649767
2000-07-10,-0.8522151782709119
2000-07-11,-0.8521043443419777
2000-07-12,-0.8520182885677181
2000-07-13,-0.8519514074289765
2000-07-14,-0.8518993886703664
2000-07-17,-0.8518589049213862
2000-07-18,-0.851827383140219
2000-07-19,-0.851802830064955
2000-07-20,-0.851783699359486
2000-07-21,-0.8517687900290742
2000-07-24,-0.8517571684448146
2000-07-25,-0.851748108298147
2000-07-26,-0.8517410442412896
2000-07-27,-0.8517355360183037
2000-07-28,-0.8517312406656244
2000-07-31,-0.8517278909374151
2000-08-01,-0.8539359526159787
2000-08-02,-0.8534525337836157
2000-08-03,-0.8530812575395895
2000-08-04,-0.852795514692174
2000-08-07,-0.8525750537060331
2000-08-08,-0.8524046018011764
2000-08-09,-0.8522725841658318
2000-08-10,-0.8521701876634913
2000-08-11,-0.8520906736800649
2000-08-14,-0.8520288708954894
2000-08-15,-0.8519807983738471
2000-08-16,-0.8519433835746586
2000-08-17,-0.8519142499986605
2000-08-18,-0.8518915563166594
2000-08-21,-0.8518738738581825
2000-08-22,-0.8518600928916172
2000-08-23,-0.8518493506574641
2000-08-24,-0.8518409759322589
2000-08-25,-0.8518344462167213
2000-08-28,-0.8518293546048213
2000-08-29,-0.8518253841020663
2000-08-30,-0.8518222876917619
2000-08-31,-0.851819872846505
2000-09-01,-0.8535650836198955
2000-09-04,-0.8531851439880291
2000-09-05,-0.8528911222798385
2000-09-06,-0.8526633817606339
2000-09-07,-0.8524867396791309
2000-09-08,-0.8523495762732306
2000-09-11,-0.8522429701193677
2000-09-12,-0.8521600520325257
2000-09-13,-0.8520955200376087
2000-09-14,-0.8520452733927303
2000-09-15,-0.8520061350443657
2000-09-18,-0.851975640156443
2000-09-19,-0.8519518743090716
2000-09-20,-0.8519333492535897
2000-09-21,-0.8519189072160726
2000-09-22,-0.8519076470036001
2000-09-25,-0.8518988668282178
2000-09-26,-0.8518920199925669
2000-09-27,-0.8518866804979716
2000-09-28,-0.8518825163247348
2000-09-29,-0.8518792686555161
2000-10-02,-0.8518767357090875
2000-10-03,-0.8537933901950795
2000-10-04,-0.8533739108822541
2000-10-05,-0.853049269271118
2000-10-06,-0.8527978036554453
2000-10-09,-0.8526027588562491
2000-10-10,-0.8524513070708022
2000-10-11,-0.8523335975132299
2000-10-12,-0.8522420447825708
2000-10-13,-0.852170793948712
2000-10-16,-0.8521153166276612
2000-10-17,-0.8520721045298489
2000-10-18,-0.8520384359159621
2000-10-19,-0.8520121968927172
2000-10-20,-0.8519917441872602
2000-10-23,-0.8519757994557113
2000-10-24,-0.8519633676753262
2000-10-25,-0.8519536740027174
2000-10-26,-0.8519461148380627
2000-10-27,-0.8519402198481825
2000-10-30,-0.8519356224626663
2000-10-31,-0.8519320369330585
2000-11-01,-0.8524616293340529
2000-11-02,-0.8523446004925505
2000-11-03,-0.8522533750002083
2000-11-06,-0.8521822893545886
2000-11-07,-0.8521268856703095
2000-11-08,-0.8520836972169931
2000-11-09,-0.8520500263901062
2000-11-10,-0.8520237730277969
2000-11-13,-0.852003301442278
2000-11-14,-0.8519873372918764
2000-11-15,-0.8519748875049827
2000-11-16,-0.8519651780450473
2000-11-17,-0.85195760550518
2000-11-20,-0.8519516994365353
2000-11-21,-0.8519470930162476
2000-11-22,-0.8519435002000962
2000-11-23,-0.8519406979209292
2000-11-24,-0.8519385122152464
2000-11-27,-0.8519368074091387
2000-11-28,-0.851935477687711
2000-11-29,-0.851934440521917
2000-11-30,-0.8519336315431136
2000-12-01,-0.8526544536987807
2000-12-04,-0.8524980485257692
2000-12-05,-0.852376175718203
2000-12-06,-0.8522812390587173
2000-12-07,-0.8522072648968685
2000-12-08,-0.8521496119909755
2000-12-11,-0.8521046714970415
2000-12-12,-0.8520696355228552
2000-12-13,-0.852042318230858
2000-12-14,-0.8520210173218983
2000-12-15,-0.8520044066303629
2000-12-18,-0.8519914527436587
2000-12-19,-0.8519813502093561
2000-12-20,-0.8519734711468447
2000-12-21,-0.8519673260365245
2000-12-22,-0.8519625331917937
2000-12-25,-0.851958794981706
2000-12-26,-0.8519558793057292
2000-12-27,-0.8519536051569266
2000-12-28,-0.8519518313690948
2000-12-29,-0.8519504478443172
2001-01-01,-0.8519493687133778
2001-01-02,-0.8521567063758989
2001-01-03,-0.8521111135943982
2001-01-04,-0.8520755426814164
2001-01-05,-0.8520478055158329
2001-01-08,-0.8520261755087919
2001-01-09,-0.8520093071476238
2001-01-10,-0.8519961516857643
2001-01-11,-0.8519858915617977
2001-01-12,-0.851977889359533
2001-01-15,-0.851971648066406
2001-01-16,-0.8519667801176598
2001-01-17,-0.8519629832768962
2001-01-18,-0.8519600218388531
2001-01-19,-0.851957711977307
2001-01-22,-0.8519559103223878
2001-01-23,-0.8519545050545049
2001-01-24,-0.8519534089598245
2001-01-25,-0.8519525540148901
2001-01-26,-0.8519518871634495
2001-01-29,-0.8519513670228811
2001-01-30,-0.8519509613155118
2001-01-31,-0.8519506448652341
2001-02-01,-0.852358247419779
2001-02-02,-0.8522699218609457
2001-02-05,-0.8522010369806665
2001-02-06,-0.8521473387940149
2001-02-07,-0.8521054738417693
2001-02-08,-0.8520728311983566
2001-02-09,-0.8520473772871987
2001-02-12,-0.8520275277289261
2001-02-13,-0.852012047817958
2001-02-14,-0.8519999751638053
2001-02-15,-0.8519905595176609
2001-02-16,-0.8519832159394972
2001-02-19,-0.8519774883312125
2001-02-20,-0.8519730210309703
2001-02-21,-0.851969536680317
2001-02-22,-0.8519668189749185
2001-02-23,-0.851964699218914
2001-02-26,-0.8519630458426716
2001-02-27,-0.8519617562299063
2001-02-28,-0.8519607503448232
2001-03-01,-0.8506256051662286
2001-03-02,-0.850912419866353
2001-03-05,-0.851136543173887
2001-03-06,-0.8513115197883275
2001-03-07,-0.8514480962629062
2001-03-08,-0.8515546821748007
2001-03-09,-0.8516378527657896
2001-03-12,-0.8517027459434093
2001-03-13,-0.8517533747076136
2001-03-14,-0.8517928724198988
2001-03-15,-0.8518236850227157
2001-03-16,-0.8518477215007644
2001-03-19,-0.8518664715524663
2001-03-20,-0.8518810975581956
2001-03-21,-0.8518925064253159
2001-03-22,-0.8519014056929687
2001-03-23,-0.851908347333211
2001-03-26,-0.8519137619396071
2001-03-27,-0.8519179854086287
2001-03-28,-0.8519212797597825
2001-03-29,-0.8519238493805301
2001-03-30,-0.8519258537004893
2001-04-02,-0.8519274170792225
2001-04-03,-0.8498704670132259
2001-04-04,-0.8503133994538279
2001-04-05,-0.8506596868122966
2001-04-06,-0.8509301332231353
2001-04-09,-0.8511412803198338
2001-04-10,-0.8513060916984129
2001-04-11,-0.8514347134821654
2001-04-12,-0.8515350794206232
2001-04-13,-0.8516133892966659
2001-04-16,-0.8516744856443658
2001-04-17,-0.8517221495926987
2001-04-18,-0.8517593327673634
2001-04-19,-0.851788338834861
2001-04-20,-0.8518109654923338
2001-04-23,-0.8518286154463949
2001-04-24,-0.8518423831109149
2001-04-25,-0.8518531223112674
2001-04-26,-0.8518614991414737
2001-04-27,-0.8518680332214816
2001-04-30,-0.8518731298951183
2001-05-01,-0.8510230376908465
2001-05-02,-0.8512089603811397
2001-05-03,-0.851354270346698
2001-05-04,-0.8514677331246733
2001-05-07,-0.8515563066593654
2001-05-08,-0.8516254376674164
2001-05-09,-0.8516793861695638
2001-05-10,-0.8517214818932249
2001-05-11,-0.8517543261667367
2001-05-14,-0.8517799505152392
2001-05-15,-0.8517999410281865
2001-05-16,-0.8518155357608765
2001-05-17,-0.8518277009439568
2001-05-18,-0.8518371905687453
2001-05-21,-0.8518445929492365
2001-05-22,-0.8518503670920313
2001-05-23,-0.8518548710960556
2001-05-24,-0.851858384323206
2001-05-25,-0.8518611247028832
2001-05-28,-0.8518632622364558
2001-05-29,-0.8518649295349476
2001-05-30,-0.8518662300409818
2001-05-31,-0.8518672444434456
2001-06-01,-0.8513759279503894
2001-06-04,-0.8514817777767886
2001-06-05,-0.8515644722239655
2001-06-06,-0.8516290222172084
2001-06-07,-0.8516794003769627
2001-06-08,-0.8517187129719984
2001-06-11,-0.851749387465446
2001-06-12,-0.8517733200319698
2001-06-13,-0.8517919913490934
2001-06-14,-0.8518065573493168
2001-06-15,-0.8518179202675756
2001-06-18,-0.8518267842151548
2001-06-19,-0.8518336986219396
2001-06-20,-0.8518390921785263
2001-06-21,-0.8518432993456444
2001-06-22,-0.8518465810524466
2001-06-25,-0.8518491408538696
2001-06-26,-0.8518511375410783
2001-06-27,-0.8518526949822801
2001-06-28,-0.8518539098014002
2001-06-29,-0.8518548573691679
2001-07-02,-0.8518555964772098
2001-07-03,-0.8505371356755428
2001-07-04,-0.8508187602906007
2001-07-05,-0.8510390197338031
2001-07-06,-0.8512110936022147
2001-07-09,-0.8513454730401693
2001-07-10,-0.8514503858697461
2001-07-11,-0.851532276057388
2001-07-12,-0.8515961854385254
2001-07-13,-0.8516460558945467
2001-07-16,-0.8516849676234562
2001-07-17,-0.8517153264985117
2001-07-18,-0.8517390110981351
2001-07-19,-0.8517574879181466
2001-07-20,-0.8517719015531072
2001-07-23,-0.8517831452270773
2001-07-24,-0.8517919159214431
2001-07-25,-0.8517987574432407
2001-07-26,-0.8518040940598922
2001-07-27,-0.8518082567593633
2001-07-30,-0.8518115037482692
2001-07-31,-0.8518140364495904
2001-08-01,-0.8511517474495627
2001-08-02,-0.8512945926487603
2001-08-03,-0.8514062410427974
2001-08-06,-0.8514934227971767
2001-08-07,-0.8515614824065891
2001-08-08,-0.8516146038205353
2001-08-09,-0.85165605963497
2001-08-10,-0.8516884079481413
2001-08-13,-0.8517136473723635
2001-08-14,-0.851733338813952
2001-08-15,-0.8517487009818872
2001-08-16,-0.8517606851966765
2001-08-17,-0.8517700339290333
2001-08-20,-0.8517773265732885
2001-08-21,-0.8517830152190646
2001-08-22,-0.8517874525945797
2001-08-23,-0.8517909138874944
2001-08-24,-0.8517936137803782
2001-08-27,-0.8517957197475894
2001-08-28,-0.8517973624324391
2001-08-29,-0.8517986437447774
2001-08-30,-0.8517996431791712
2001-08-31,-0.8518004227443362
2001-09-03,-0.8511193050694877
2001-09-04,-0.8512645115507589
2001-09-05,-0.851378017138182
2001-09-06,-0.8514666555848304
2001-09-07,-0.8515358562897652
2001-09-10,-0.851589870705071
2001-09-11,-0.8516320248441813
2001-09-12,-0.8516649189313203
2001-09-13,-0.8516905847146046
2001-09-14,-0.8517106091139369
2001-09-17,-0.8517262312303328
2001-09-18,-0.8517384183515299
2001-09-19,-0.8517479254399363
2001-09-20,-0.8517553416560064
2001-09-21,-0.8517611267206611
2001-09-24,-0.8517656393228631
2001-09-25,-0.8517691593047177
2001-09-26,-0.8517719049823357
2001-09-27,-0.8517740466661068
2001-09-28,-0.8517757172125835
2001-10-01,-0.8517770202586329
2001-10-02,-0.8504657148025528
2001-10-03,-0.8507440791913621
2001-10-04,-0.8509618895556353
2001-10-05,-0.8511321097042162
2001-10-08,-0.8512650774506721
2001-10-09,-0.8513689098789341
2001-10-10,-0.8514499699134745
2001-10-11,-0.8515132393954606
2001-10-12,-0.851562615356335
2001-10-15,-0.8516011441889182
2001-10-16,-0.8516312061121843
2001-10-17,-0.8516546601271473
2001-10-18,-0.8516729577220191
2001-10-19,-0.8516872319450036
2001-10-22,-0.851698367110949
2001-10-23,-0.8517070533109737
2001-10-24,-0.8517138290135204
2001-10-25,-0.8517191143436839
2001-10-26,-0.8517232370716573
2001-10-29,-0.8517264529022469
2001-10-30,-0.8517289613119216
2001-10-31,-0.8517309179085284
2001-11-01,-0.8486871729412814
2001-11-02,-0.8493287080358114
2001-11-05,-0.8498312893942501
2001-11-06,-0.8502243894694606
2001-11-07,-0.8505316405570503
2001-11-08,-0.8507716685078038
2001-11-09,-0.8509591106008255
2001-11-12,-0.8511054465898419
2001-11-13,-0.8512196670976044
2001-11-14,-0.8513088061649741
2001-11-15,-0.8513783629620123
2001-11-16,-0.851432634342326
2001-11-19,-0.8514749763322323
2001-11-20,-0.8515080093187726
2001-11-21,-0.8515337788194902
2001-11-22,-0.8515538813119633
2001-11-23,-0.8515695626367982
2001-11-26,-0.8515817949052658
2001-11-27,-0.8515913365793816
2001-11-28,-0.8515987793898625
2001-11-29,-0.8516045849656394
2001-11-30,-0.8516091134251267
2001-12-03,-0.8457990149658786
2001-12-04,-0.8470132635801397
2001-12-05,-0.8479640752210716
2001-12-06,-0.8487074021871694
2001-12-07,-0.8492881264267672
2001-12-10,-0.849741610327104
2001-12-11,-0.8500956221368101
2001-12-12,-0.8503719204917303
2001-12-13,-0.850587531453656
2001-12-14,-0.8507557655761974
2001-12-17,-0.8508870221716127
2001-12-18,-0.8509894224854883
2001-12-19,-0.8510693067551842
2001-12-20,-0.8511316236784808
2001-12-21,-0.8511802351914385
2001-12-24,-0.8512181547613589
2001-12-25,-0.851247733582212
2001-12-26,-0.8512708059976981
2001-12-27,-0.8512888030433106
2001-12-28,-0.8513028410754808
2001-12-31,-0.8513137909417863
2002-01-01,-0.8428077274838576
2002-01-02,-0.8445507696143696
2002-01-03,-0.8459132623852654
2002-01-04,-0.8469769517228667
2002-01-07,-0.8478070464383142
2002-01-08,-0.8484547025492428
2002-01-09,-0.848959952437166
2002-01-10,-0.8493540797354038
2002-01-11,-0.8496615116707013
2002-01-14,-0.8499013129530734
2002-01-15,-0.8500883590395877
2002-01-16,-0.8502342548929078
2002-01-17,-0.8503480532334838
2002-01-18,-0.8504368154975446
2002-01-21,-0.8505060497009435
2002-01-22,-0.8505600521087825
2002-01-23,-0.8506021737938266
2002-01-24,-0.8506350285737528
2002-01-25,-0.8506606552095345
2002-01-28,-0.8506806439218657
2002-01-29,-0.8506962350736822
2002-01-30,-0.8507083961417136
2002-01-31,-0.8507178817534992
2002-02-01,-0.8441647860116737
2002-02-04,-0.8454343338625582
2002-02-05,-0.8464283717824307
2002-02-06,-0.8472054770748092
2002-02-07,-0.8478126049746012
2002-02-08,-0.8482867266364017
2002-02-11,-0.8486568658555109
2002-02-12,-0.8489457635776496
2002-02-13,-0.8491712150194316
2002-02-14,-0.8493471329859306
2002-02-15,-0.849484388185982
2002-02-18,-0.8495914706605009
2002-02-19,-0.8496750090300782
2002-02-20,-0.8497401773944695
2002-02-21,-0.8497910137958549
2002-02-22,-0.8498306692473925
2002-02-25,-0.8498616023425843
2002-02-26,-0.8498857312670903
2002-02-27,-0.849904552496435
2002-02-28,-0.8499192334568586
2002-03-01,-0.8513349425122342
2002-03-04,-0.8510984560258842
2002-03-05,-0.850916467240955
2002-03-06,-0.8507761674382244
2002-03-07,-0.8506677525739698
2002-03-08,-0.8505838157761759
2002-03-11,-0.8505187297064951
2002-03-12,-0.8504681981614914
2002-03-13,-0.8504289276469655
2002-03-14,-0.8503983846750025
2002-03-15,-0.8503746148901403
2002-03-18,-0.8503561072350844
2002-03-19,-0.8503416912480939
2002-03-20,-0.8503304589578018
2002-03-21,-0.8503217051924826
2002-03-22,-0.8503148817765206
2002-03-25,-0.8503095622660494
2002-03-26,-0.8503054147254652
2002-03-27,-0.8503021806657776
2002-03-28,-0.8502996587218861
2002-03-29,-0.8502976919851178
2002-04-01,-0.8502961581617738
2002-04-02,0.3214404645571244
2002-04-03,0.3303726244762471
2002-04-04,0.34331462063246293
2002-04-05,0.3602484736658458
2002-04-08,0.381086547980284
2002-04-09,0.40565347471315283
2002-04-10,0.433661871691427
2002-04-11,0.46468972968626837
2002-04-12,0.4981660401450856
2002-04-15,0.5333723120421329
2002-04-16,0.5694666630304888
2002-04-17,0.6055332080119363
2002-04-18,0.6406527096689625
