date,ITA_systemic_stress_f1__ITA_systemic_stress_f2
2000-04-26,-0.8666175212023087
2000-04-27,-0.8666680550805522
2000-04-28,-0.8667075470850543
2000-05-01,-0.8667383968624751
2000-05-02,-0.8670234597142251
2000-05-03,-0.8669843449209901
2000-05-04,-0.8669541051460958
2000-05-05,-0.8669306828891853
2000-05-08,-0.8669125140795665
2000-05-09,-0.8668984037302877
2000-05-10,-0.8668874350373511
2000-05-11,-0.866878902233167
2000-05-12,-0.8668722605201138
2000-05-15,-0.8668670884336382
2000-05-16,-0.8668630593514893
2000-05-17,-0.8668599198002631
2000-05-18,-0.8668574728577387
2000-05-19,-0.8668555654039088
2000-05-22,-0.866854078297035
2000-05-23,-0.866852918784261
2000-05-24,-0.8668520146265368
2000-05-25,-0.8668513095432571
2000-05-26,-0.8668507596756375
2000-05-29,-0.8668503308382287
2000-05-30,-0.8668499963812363
2000-05-31,-0.8668497355268655
2000-06-01,-0.8644480214713748
2000-06-02,-0.8647910781875257
2000-06-05,-0.8651297364826055
2000-06-06,-0.8654381249981768
2000-06-07,-0.865706074162868
2000-06-08,-0.8659319910626324
2000-06-09,-0.8661186166608255
2000-06-12,-0.8662705757227885
2000-06-13,-0.8663930198243499
2000-06-14,-0.8664909220431851
2000-06-15,-0.8665687497614332
2000-06-16,-0.866630349112771
2000-06-19,-0.8666789417998404
2000-06-20,-0.8667171764771915
2000-06-21,-0.8667472020700278
2000-06-22,-0.866770745412106
2000-06-23,-0.8667891843533179
2000-06-26,-0.8668036124711218
2000-06-27,-0.8668148942474568
2000-06-28,-0.8668237109793182
2000-06-29,-0.8668305983423484
2000-06-30,-0.8668359767598649
2000-07-03,-0.8662390095609982
2000-07-04,-0.866359814210324
2000-07-05,-0.8664599037954129
2000-07-06,-0.8665415314602719
2000-07-07,-0.8666073616536976
2000-07-10,-0.8666600218798753
2000-07-11,-0.8667018946215207
2000-07-12,-0.8667350403102352
2000-07-13,-0.8667611887954118
2000-07-14,-0.8667817639049052
2000-07-17,-0.8667979215246928
2000-07-18,-0.8668105907814385
2000-07-19,-0.8668205131347103
2000-07-20,-0.8668282771023799
2000-07-21,-0.8668343479188088
2000-07-24,-0.866839092231719
2000-07-25,-0.8668427983162498
2000-07-26,-0.8668456924198584
2000-07-27,-0.8668479518627922
2000-07-28,-0.8668497154702008
2000-07-31,-0.8668510918391854
2000-08-01,-0.8662725496925772
2000-08-02,-0.8663404444987244
2000-08-03,-0.8664169974756004
2000-08-04,-0.8664912229260383
2000-08-07,-0.866558026752943
2000-08-08,-0.8666155909604233
2000-08-09,-0.8666638293600225
2000-08-10,-0.8667034950624452
2000-08-11,-0.8667356794702313
2000-08-14,-0.8667615428577599
2000-08-15,-0.8667821793597185
2000-08-16,-0.8667985580078084
2000-08-17,-0.8668115052429578
2000-08-18,-0.8668217087645016
2000-08-21,-0.8668297312444104
2000-08-22,-0.8668360275756104
2000-08-23,-0.866840962327737
2000-08-24,-0.8668448258052709
2000-08-25,-0.8668478480626943
2000-08-28,-0.8668502107444795
2000-08-29,-0.866852056873648
2000-08-30,-0.8668534988239124
2000-08-31,-0.8668546247432058
2000-09-01,-0.8612790697016068
2000-09-04,-0.8622345708935321
2000-09-05,-0.8630849123483734
2000-09-06,-0.8638129662405791
2000-09-07,-0.8644207114757462
2000-09-08,-0.864919229269565
2000-09-11,-0.8653230753156759
2000-09-12,-0.8656472567354779
2000-09-13,-0.865905730597223
2000-09-14,-0.866110767477469
2000-09-15,-0.8662727874986007
2000-09-18,-0.8664004383511101
2000-09-19,-0.8665007832556454
2000-09-20,-0.8665795258078308
2000-09-21,-0.8666412333978504
2000-09-22,-0.866689540920934
2000-09-25,-0.8667273276888678
2000-09-26,-0.8667568664328108
2000-09-27,-0.8667799462491235
2000-09-28,-0.8667979725992538
2000-09-29,-0.8668120478108741
2000-10-02,-0.8668230353931171
2000-10-03,-0.8582074571399092
2000-10-04,-0.8597966124314169
2000-10-05,-0.8611593030073269
2000-10-06,-0.8622972326548664
2000-10-09,-0.8632305554165208
2000-10-10,-0.8639864300446984
2000-10-11,-0.8645930079520888
2000-10-12,-0.8650764958474575
2000-10-13,-0.8654599263964754
2000-10-16,-0.865762845590422
2000-10-17,-0.8660014630105618
2000-10-18,-0.8661890095618499
2000-10-19,-0.8663361633086594
2000-10-20,-0.8664514712047702
2000-10-23,-0.8665417326822102
2000-10-24,-0.866612332165361
2000-10-25,-0.8666675187370114
2000-10-26,-0.866710636649466
2000-10-27,-0.8667443126588855
2000-10-30,-0.8667706067350457
2000-10-31,-0.866791132408931
2000-11-01,-0.7818482877035086
2000-11-02,-0.797945885187886
2000-11-03,-0.8114561096026
2000-11-06,-0.8226048913639387
2000-11-07,-0.8316895786078247
2000-11-08,-0.8390212132026909
2000-11-09,-0.8448940497418225
2000-11-10,-0.8495710730918488
2000-11-13,-0.853278897518298
2000-11-14,-0.8562079494500294
2000-11-15,-0.8585153832267186
2000-11-16,-0.8603291795332978
2000-11-17,-0.8617525259350229
2000-11-20,-0.8628679925146466
2000-11-21,-0.8637412702405287
2000-11-22,-0.8644243896419384
2000-11-23,-0.8649584204601687
2000-11-24,-0.8653756948139475
2000-11-27,-0.8657016138846674
2000-11-28,-0.8659561018752544
2000-11-29,-0.866154767592527
2000-11-30,-0.8663098273395344
2000-12-01,-0.3350561157799463
2000-12-04,-0.09492323015662874
2000-12-05,0.10061976362285148
2000-12-06,0.2585052501524862
2000-12-07,0.38509931733149566
2000-12-08,0.4860300072534395
2000-12-11,0.5661331100903281
2000-12-12,0.6294744325983312
2000-12-13,0.6794157628411619
2000-12-14,0.7187010793565938
2000-12-15,0.7495477323748956
2000-12-18,0.7737335905669512
2000-12-19,0.7926755142169495
2000-12-20,0.8074973290636941
2000-12-21,0.81908714925336
2000-12-22,0.8281447997872773
2000-12-25,0.8352205002368058
2000-12-26,0.840746090683599
2000-12-27,0.8450600389479748
2000-12-28,0.8484273473736694
2000-12-29,0.8510553266129294
2001-01-01,0.8531060503092206
2001-01-02,0.8575112812289152
2001-01-03,0.8580764986249746
2001-01-04,0.8585424509847179
2001-01-05,0.8589217532490319
2001-01-08,0.8592275538369588
2001-01-09,0.8594722737766674
2001-01-10,0.859666995251403
2001-01-11,0.8598212483690615
2001-01-12,0.859943024385364
2001-01-15,0.8600389049748485
2001-01-16,0.8601142403074659
2001-01-17,0.860173337356187
2001-01-18,0.860219638019547
2001-01-19,0.8602558776411509
2001-01-22,0.8602842208485492
2001-01-23,0.8603063750605587
2001-01-24,0.8603236836827441
2001-01-25,0.8603372016658132
2001-01-26,0.8603477561995512
2001-01-29,0.8603559951309395
2001-01-30,0.8603624253887963
2001-01-31,0.860367443357222
2001-02-01,0.6997610573584188
2001-02-02,0.317099137236714
2001-02-05,0.03481674945340526
2001-02-06,-0.1762473015980782
2001-02-07,-0.3356483424769
2001-02-08,-0.4569398784572531
2001-02-09,-0.5497597856455748
2001-02-12,-0.6211003580968483
2001-02-13,-0.6761148410829515
2001-02-14,-0.7186481958954952
2001-02-15,-0.7515970880910245
2001-02-16,-0.7771603545798262
2001-02-19,-0.7970170449067976
2001-02-20,-0.8124552615966133
2001-02-21,-0.8244667836054318
2001-02-22,-0.8338174064917324
2001-02-23,-0.8410997482426931
2001-02-26,-0.8467732077590185
2001-02-27,-0.8511943948307295
2001-02-28,-0.8546404217663579
2001-03-01,-0.8312570120863269
2001-03-02,-0.8359589668959361
2001-03-05,-0.8406469054547312
2001-03-06,-0.8450168722657024
2001-03-07,-0.8489119761652973
2001-03-08,-0.8522749915355663
2001-03-09,-0.8551111660309103
2001-03-12,-0.8574610158734524
2001-03-13,-0.8593817457416116
2001-03-14,-0.8609354327419985
2001-03-15,-0.8621821165321679
2001-03-16,-0.8631762149400275
2001-03-19,-0.8639650530802001
2001-03-20,-0.8645886450588425
2001-03-21,-0.8650801536279918
2001-03-22,-0.8654666652736692
2001-03-23,-0.8657700650589643
2001-03-26,-0.8660078918325933
2001-03-27,-0.866194114582565
2001-03-28,-0.8663398065094524
2001-03-29,-0.8664537134730989
2001-03-30,-0.8665427238164984
2001-04-02,-0.8666122511405003
2001-04-03,-0.5907271007622198
2001-04-04,-0.2647278408946552
2001-04-05,-0.013859807446589711
2001-04-06,0.18015621592049808
2001-04-09,0.3306649269233597
2001-04-10,0.44764613777773227
2001-04-11,0.5386783139900895
2001-04-12,0.6095722378713551
2001-04-13,0.6648105441918097
2001-04-16,0.7078646390882846
2001-04-17,0.7414294192085327
2001-04-18,0.7676002594614055
2001-04-19,0.7880080472873162
2001-04-20,0.8039229957792953
2001-04-23,0.81633484745722
2001-04-24,0.8260150351369533
2001-04-25,0.8335649585147547
2001-04-26,0.8394535285269521
2001-04-27,0.8440463916152144
2001-04-30,0.8476286914571893
2001-05-01,0.8487099696963013
2001-05-02,0.851253062184995
2001-05-03,0.853240882991616
2001-05-04,0.8547939434622681
2001-05-07,0.8560068883052784
2001-05-08,0.8569539329471548
2001-05-09,0.857693204261298
2001-05-10,0.8582701865435706
2001-05-11,0.8587204459825643
2001-05-14,0.8590717780189401
2001-05-15,0.8593458958393156
2001-05-16,0.8595597556500343
2001-05-17,0.8597265954106648
2001-05-18,0.8598567481010955
2001-05-21,0.8599582779288895
2001-05-22,0.8600374777022076
2001-05-23,0.860099257468943
2001-05-24,0.8601474480739727
2001-05-25,0.8601850381885398
2001-05-28,0.8602143593481179
2001-05-29,0.8602372303761828
2001-05-30,0.8602550700920683
2001-05-31,0.860268985257935
2001-06-01,0.5878503392989074
2001-06-04,0.24990373122492107
2001-06-05,-0.00634661769112131
2001-06-06,-0.20192813252600095
2001-06-07,-0.3519491170151774
2001-06-08,-0.4674610246567229
2001-06-11,-0.5566617379494706
2001-06-12,-0.6256993551849788
2001-06-13,-0.6792244144702527
2001-06-14,-0.7207783518997023
2001-06-15,-0.7530722022058548
2001-06-18,-0.7781898479329358
2001-06-19,-0.7977382475938944
2001-06-20,-0.8129596961630831
2001-06-21,-0.824816459593715
2001-06-22,-0.8340550373748324
2001-06-25,-0.8412552349622128
2001-06-26,-0.8468678064822373
2001-06-27,-0.8512434334823071
2001-06-28,-0.8546550970391504
2001-06-29,-0.8573153879444001
2001-07-02,-0.8593899237550073
2001-07-03,0.005581059022499762
2001-07-04,0.1264744163442834
2001-07-05,0.23691301310394441
2001-07-06,0.3362578314407247
2001-07-09,0.4242114224428361
2001-07-10,0.5008477917680647
2001-07-11,0.5665987167358747
2001-07-12,0.6221975028603002
2001-07-13,0.6685938813069449
2001-07-16,0.7068591637401227
2001-07-17,0.7380987727477584
2001-07-18,0.7633829604821176
2001-07-19,0.7836995791248191
2001-07-20,0.7999275414662822
2001-07-23,0.8128268098058512
2001-07-24,0.8230399753468979
2001-07-25,0.8311009527560157
