date,ESP_banking_system_f1,ESP_banking_system_f2
2022-08-17,0.999893868648877,-0.9998512886110357
2022-08-18,0.999893868648877,-0.9998512886110357
2022-08-19,0.999893868648877,-0.9998512886110357
2022-08-22,0.999893868648877,-0.9998512886110357
2022-08-23,0.999893868648877,-0.9998512886110357
2022-08-24,0.999893868648877,-0.9998512886110357
2022-08-25,0.999893868648877,-0.9998512886110357
2022-08-26,0.999893868648877,-0.9998512886110357
2022-08-29,0.999893868648877,-0.9998512886110357
2022-08-30,0.999893868648877,-0.9998512886110357
2022-08-31,0.8848772845421977,-0.9330355828083529
2022-09-01,0.9998644915793196,-0.9998292328747546
2022-09-02,0.9998644915838782,-0.9998512808938721
2022-09-05,0.9998644915838782,-0.9998512874508404
2022-09-06,0.9998644915838782,-0.9998512874527903
2022-09-07,0.9998644915838782,-0.9998512874527908
2022-09-08,0.9998644915838782,-0.9998512874527908
2022-09-09,0.9998644915838782,-0.9998512874527908
2022-09-12,0.9998644915838782,-0.9998512874527908
2022-09-13,0.9998644915838782,-0.9998512874527908
2022-09-14,0.9998644915838782,-0.9998512874527908
2022-09-15,0.9998644915838782,-0.9998512874527908
2022-09-16,0.9998644915838782,-0.9998512874527908
2022-09-19,0.9998644915838782,-0.9998512874527908
2022-09-20,0.9998644915838782,-0.9998512874527908
2022-09-21,0.9998644915838782,-0.9998512874527908
2022-09-22,0.9998644915838782,-0.9998512874527908
2022-09-23,0.9998644915838782,-0.9998512874527908
2022-09-26,0.9998644915838782,-0.9998512874527908
2022-09-27,0.9998644915838782,-0.9998512874527908
2022-09-28,0.9998644915838782,-0.9998512874527908
2022-09-29,0.9998644915838782,-0.9998512874527908
2022-09-30,0.7809035743701584,-0.864342880860956
2022-10-03,0.9997778750618039,-0.9998010181061641
2022-10-04,0.9997778750723296,-0.9998512694716163
2022-10-05,0.9997778750723296,-0.9998512844167481
2022-10-06,0.9997778750723296,-0.9998512844211925
2022-10-07,0.9997778750723296,-0.9998512844211939
2022-10-10,0.9997778750723296,-0.9998512844211939
2022-10-11,0.9997778750723296,-0.9998512844211939
2022-10-12,0.9997778750723296,-0.9998512844211939
2022-10-13,0.9997778750723296,-0.9998512844211939
2022-10-14,0.9997778750723296,-0.9998512844211939
2022-10-17,0.9997778750723296,-0.9998512844211939
2022-10-18,0.9997778750723296,-0.9998512844211939
2022-10-19,0.9997778750723296,-0.9998512844211939
2022-10-20,0.9997778750723296,-0.9998512844211939
2022-10-21,0.9997778750723296,-0.9998512844211939
2022-10-24,0.9997778750723296,-0.9998512844211939
2022-10-25,0.9997778750723296,-0.9998512844211939
2022-10-26,0.9997778750723296,-0.9998512844211939
2022-10-27,0.9997778750723296,-0.9998512844211939
2022-10-28,0.9997778750723296,-0.9998512844211939
2022-10-31,0.865844856167455,-0.41460878526932415
2022-11-01,0.999703874391687,-0.9991360590098437
2022-11-02,0.9997038743971723,-0.9998510137384309
2022-11-03,0.9997038743971723,-0.9998512265836155
2022-11-04,0.9997038743971723,-0.9998512266469124
2022-11-07,0.9997038743971723,-0.9998512266469313
2022-11-08,0.9997038743971723,-0.9998512266469313
2022-11-09,0.9997038743971723,-0.9998512266469313
2022-11-10,0.9997038743971723,-0.9998512266469313
2022-11-11,0.9997038743971723,-0.9998512266469313
2022-11-14,0.9997038743971723,-0.9998512266469313
2022-11-15,0.9997038743971723,-0.9998512266469313
2022-11-16,0.9997038743971723,-0.9998512266469313
2022-11-17,0.9997038743971723,-0.9998512266469313
2022-11-18,0.9997038743971723,-0.9998512266469313
2022-11-21,0.9997038743971723,-0.9998512266469313
2022-11-22,0.9997038743971723,-0.9998512266469313
2022-11-23,0.9997038743971723,-0.9998512266469313
2022-11-24,0.9997038743971723,-0.9998512266469313
2022-11-25,0.9997038743971723,-0.9998512266469313
2022-11-28,0.9997038743971723,-0.9998512266469313
2022-11-29,0.9997038743971723,-0.9998512266469313
2022-11-30,1.0474134117447966,0.5296791507255522
2022-12-01,0.9997302262944244,0.999470187941124
2022-12-02,0.999730226292959,0.9998509344789177
2022-12-05,0.999730226292959,0.9998510477719748
2022-12-06,0.999730226292959,0.9998510478056664
2022-12-07,0.999730226292959,0.9998510478056764
2022-12-08,0.999730226292959,0.9998510478056764
2022-12-09,0.999730226292959,0.9998510478056764
2022-12-12,0.999730226292959,0.9998510478056764
2022-12-13,0.999730226292959,0.9998510478056764
2022-12-14,0.999730226292959,0.9998510478056764
2022-12-15,0.999730226292959,0.9998510478056764
2022-12-16,0.999730226292959,0.9998510478056764
2022-12-19,0.999730226292959,0.9998510478056764
2022-12-20,0.999730226292959,0.9998510478056764
2022-12-21,0.999730226292959,0.9998510478056764
2022-12-22,0.999730226292959,0.9998510478056764
