,omega,alpha,beta,alpha_beta_sum,converged,loglikelihood,nu
FRA_financial_markets_f2,0.0009243239303328164,0.9999999999999879,1.2882968115276369e-17,0.9999999999999879,True,-4679.112443495192,119.58813799608053
FRA_banking_system_f1,0.0014229827532682784,0.9999999999999902,1.2950836696061446e-14,1.000000000000003,True,-10071.532945582945,499.6620398710334
FRA_banking_system_f2,0.0008487242256475788,0.9999999999999999,8.863222694593085e-17,1.0,True,-6185.997929512554,485.5117926228889
FRA_systemic_stress_f1,0.00030312248677437104,1.0,0.0,1.0,True,-8148.7336601390825,254.04299057053123
FRA_systemic_stress_f2,7.897376151299135e-06,0.9999987451808623,3.338809676594369e-07,0.9999990790618299,True,-4193.123312305676,47.721210628221925
FRA_commodities_f1,0.006652517138749001,0.9999999999999833,1.9380281515445018e-14,1.0000000000000027,True,-12979.061011026597,245.68950340385803
FRA_commodities_f2,0.003003454806859286,0.9999999983640255,1.4590262999520832e-09,0.9999999998230519,True,-7007.867144767826,220.7371148107228
ITA_macro_f1,0.00010250520132475971,0.999999998343367,1.692406761906466e-09,1.0000000000357736,True,-10061.717416391015,396.6317391483086
ITA_macro_f2,0.0005954320456221441,0.9999999997872159,2.7802751133721397e-10,1.0000000000652434,True,-10125.05543608488,499.995227255237
ITA_real_estate_f1,0.003251389409918716,1.0,8.347083629884311e-17,1.0,True,-12506.586194033604,479.7002407782137
ITA_real_estate_f2,1.055089819131625e-05,1.0,0.0,1.0,True,-4795.789249397414,499.9774014365769
ITA_public_finance_f1,0.006003383721570718,0.9989970373794774,2.5455790873811756e-10,0.9989970376340354,True,-11341.637394671456,499.9999990007133
ITA_public_finance_f2,0.00324870754541834,0.9999999430269871,7.750217160976832e-08,1.0000000205291588,True,-7886.943589901352,40.53932584458953
ITA_external_fx_f1,0.0012950677551853396,1.0,0.0,1.0,True,-11558.747409531268,310.4391550267074
ITA_external_fx_f2,0.0012855954499185513,0.9999999995266219,5.1780684077100544e-11,0.9999999995784026,True,-7523.332305259133,59.88567080096042
ITA_financial_markets_f1,4.6227085533195896e-06,0.9997848686108862,0.0002032163043633593,0.9999880849152496,True,-7145.910076793618,14.025612732934817
ITA_financial_markets_f2,0.0016844272895561523,0.9999999997613391,3.0744718635448006e-10,1.0000000000687863,True,-6299.47112856565,66.91715461129887
ITA_banking_system_f1,0.0017862187214431023,1.0,2.4852569865276965e-17,1.0,True,-9368.446434043966,379.3749759446977
ITA_banking_system_f2,0.0018006926316553277,0.9999998613618769,1.3117572822618784e-07,0.9999999925376052,True,-6000.481950994848,340.2087598231437
ITA_systemic_stress_f1,0.00030312248677437104,1.0,0.0,1.0,True,-8148.7336601390825,254.04299057053123
ITA_systemic_stress_f2,7.897376151299135e-06,0.9999987451808623,3.338809676594369e-07,0.9999990790618299,True,-4193.123312305676,47.721210628221925
ITA_commodities_f1,0.006652517138749001,0.9999999999999833,1.9380281515445018e-14,1.0000000000000027,True,-12979.061011026597,245.68950340385803
ITA_commodities_f2,0.003003454806859286,0.9999999983640255,1.4590262999520832e-09,0.9999999998230519,True,-7007.867144767826,220.7371148107228
ESP_macro_f1,0.002246223735410632,0.9276078329861577,0.007252055026285722,0.9348598880124434,True,-11387.455538354847,47.555634147461156
