date,DCOILBRENTEU_ITACPIALLMINMEI,DCOILBRENTEU_ITA_FCI,DCOILBRENTEU_ITA_beta0,DCOILBRENTEU_ITA_beta1,DCOILBRENTEU_ITA_beta2,DCOILBRENTEU_NAEXKP01ITQ661S,ITACPIALLMINMEI_ITA_FCI,ITACPIALLMINMEI_ITA_beta0,ITACPIALLMINMEI_ITA_beta1,ITACPIALLMINMEI_ITA_beta2,ITACPIALLMINMEI_NAEXKP01ITQ661S,ITA_FCI_ITA_beta0,ITA_FCI_ITA_beta1,ITA_FCI_ITA_beta2,ITA_FCI_NAEXKP01ITQ661S,ITA_beta0_ITA_beta1,ITA_beta0_ITA_beta2,ITA_beta0_NAEXKP01ITQ661S,ITA_beta1_ITA_beta2,ITA_beta1_NAEXKP01ITQ661S,ITA_beta2_NAEXKP01ITQ661S
2023-10-31,-0.9881113651266485,0.9999999999999941,,-0.5543607647678105,-0.6317347082589926,0.8887515040109792,-0.9881113652464658,,0.6411460938331071,0.7201219448904135,-0.9467490444628169,,-0.5543607652068304,-0.631734708715001,0.8887515043503927,,,,0.9883931877948954,-0.8164467044280129,-0.8850674090976647
2023-11-30,-0.9881113651266447,0.9999999999999918,,-0.5543607647679596,-0.6317347082589867,,-0.9881113652464589,,0.6411460938337906,0.7201219448904774,,,-0.5543607652073697,-0.6317347087150179,,,,,0.988393187793995,,
2023-12-31,-0.9881113651266537,0.9999999999999942,,-0.5543607647687134,-0.631734708258998,,-0.9881113652464717,,0.6411460938341599,0.7201219448903555,,,-0.5543607652078795,-0.6317347087149635,,,,,0.988393187794517,,
2024-01-31,-0.9881113651266616,0.9999999999999915,,-0.5543607647700578,-0.6317347082589506,,-0.98811136524647,,0.6411460938353943,0.720121944890297,,,-0.5543607652095489,-0.6317347087150509,,,,,0.9883931878005997,,
2024-02-29,-0.9881113651266622,0.9999999999999991,,-0.5543607647720287,-0.6317347082587853,,-0.9881113652464677,,0.6411460938370175,0.7201219448901914,,,-0.5543607652104577,-0.6317347087148145,,,,,0.9883931877935853,,
2024-03-31,-0.9881113651266438,1.0000000000000018,,-0.5543607647738845,-0.6317347082587362,,-0.9881113652464593,,0.6411460938426913,0.720121944890163,,,-0.5543607652143632,-0.6317347087149511,,,,,0.9883931877879227,,
2024-04-30,-0.9881113651266504,1.000000000000004,inf,-0.5543607647812442,-0.631734708258636,,-0.9881113652464559,,0.6411460938485956,0.7201219448898069,,inf,-0.554360765218866,-0.6317347087145194,,,-inf,,0.9883931878421267,,
2024-05-31,-0.9881113651266591,1.0000000000000016,-inf,-0.5543607647936118,-0.631734708258584,,-0.9881113652464765,-inf,0.6411460938587058,0.7201219448896554,,inf,-0.5543607652321766,-0.6317347087144729,,,-inf,,0.9883931878583948,,
2024-06-30,-0.9881113651266581,1.000000000000009,,-0.5543607648110153,-0.6317347082581732,,-0.9881113652464596,,0.6411460938894533,0.7201219448893494,,inf,-0.5543607652476811,-0.6317347087137509,,inf,,,0.9883931878636876,,
2024-07-31,-0.988111365126639,1.0000000000000018,,-0.5543607648487575,-0.6317347082579445,,-0.988111365246459,,0.6411460939320925,0.7201219448890823,,-inf,-0.5543607652906136,-0.631734708714272,,,-inf,,0.9883931878373753,,
