date,DEU_public_finance_f1__DEU_public_finance_f2
2013-10-17,-0.7839271112345885
2013-10-18,-0.7997139897756079
2013-10-21,-0.8121275955145503
2013-10-22,-0.8218719887407513
2013-10-23,-0.8295107052158005
2013-10-24,-0.835492319656685
2013-10-25,-0.8401723407074371
2013-10-28,-0.8438315499254305
2013-10-29,-0.8466911086880575
2013-10-30,-0.8489248472040716
2013-10-31,-0.8506691660445279
2013-11-01,-0.8222753545929998
2013-11-04,-0.8274386768547051
2013-11-05,-0.8323473605087288
2013-11-06,-0.8367725357038434
2013-11-07,-0.8406203023505207
2013-11-08,-0.8438804239532895
2013-11-11,-0.8465901645420618
2013-11-12,-0.8488100732096024
2013-11-13,-0.8506087074384869
2013-11-14,-0.8520536786320463
2013-11-15,-0.8532069279198715
2013-11-18,-0.8541226772045896
2013-11-19,-0.8548469686076529
2013-11-20,-0.855418072677338
2013-11-21,-0.855867312595138
2013-11-22,-0.8562200345029463
2013-11-25,-0.856496573425605
2013-11-26,-0.8567131387519333
2013-11-27,-0.8568825876379011
2013-11-28,-0.8570150797508718
2013-11-29,-0.8571186198565137
2013-12-02,-0.857199500705942
2013-12-03,-0.7760018573956554
2013-12-04,-0.7922804728200966
2013-12-05,-0.8053285407259629
2013-12-06,-0.8157295401799983
2013-12-09,-0.8239834540390701
2013-12-10,-0.8305099571996031
2013-12-11,-0.8356557229081097
2013-12-12,-0.8397035667705125
2013-12-13,-0.8428819653572092
2013-12-16,-0.8453740893079871
2013-12-17,-0.8473259098310407
2013-12-18,-0.8488532090054473
2013-12-19,-0.8500474869895704
2013-12-20,-0.8509808472799218
2013-12-23,-0.8517099812547598
2013-12-24,-0.8522793845033833
2013-12-25,-0.8527239327145189
2013-12-26,-0.8530709323074468
2013-12-27,-0.8533417454152955
2013-12-30,-0.8535530730147779
2013-12-31,-0.8537179653484073
2014-01-01,-0.06638160878843452
2014-01-02,0.08717939539654786
2014-01-03,0.2221108827017342
2014-01-06,0.3386871651101716
2014-01-07,0.4378412882806074
2014-01-08,0.5209906330333006
2014-01-09,0.5898497198858051
2014-01-10,0.6462580343988167
2014-01-13,0.6920414514303672
2014-01-14,0.7289145690490036
2014-01-15,0.7584221269029497
2014-01-16,0.7819123782279374
2014-01-17,0.8005335116378063
2014-01-20,0.8152447831424579
2014-01-21,0.8268356929642088
2014-01-22,0.8359484571397047
2014-01-23,0.843100715104266
2014-01-24,0.848706711818129
2014-01-27,0.8530960946326883
2014-01-28,0.8565300412985577
2014-01-29,0.8592147730321384
2014-01-30,0.8613126826836254
2014-01-31,0.8629513823013218
2014-02-03,0.6746360912899568
2014-02-04,0.30661895226912805
2014-02-05,0.03264144842873214
2014-02-06,-0.17359639131956103
2014-02-07,-0.3301359043109908
2014-02-10,-0.44970113282856405
2014-02-11,-0.541463033052138
2014-02-12,-0.6121453407420272
2014-02-13,-0.6667440962396723
2014-02-14,-0.7090108636137405
2014-02-17,-0.7417860921479937
2014-02-18,-0.7672343735746195
2014-02-19,-0.7870136535550386
2014-02-20,-0.8023988768001487
2014-02-21,-0.8143735186782631
2014-02-24,-0.8236980667441045
2014-02-25,-0.8309616989027884
2014-02-26,-0.8366215516344375
2014-02-27,-0.8410327236633285
2014-02-28,-0.8444713018275171
2014-03-03,-0.8465276569595265
2014-03-04,-0.8487586559087428
2014-03-05,-0.850494486292299
2014-03-06,-0.8518457971812946
2014-03-07,-0.8528982195733867
2014-03-10,-0.8537181374013548
2014-03-11,-0.8543570829736251
2014-03-12,-0.8548551016895943
2014-03-13,-0.8552433380879961
2014-03-14,-0.8555460297453265
2014-03-17,-0.8557820484659321
2014-03-18,-0.8559660938976003
2014-03-19,-0.8561096193894155
2014-03-20,-0.8562215510280176
2014-03-21,-0.8563088465835187
2014-03-24,-0.8563769303316099
2014-03-25,-0.8564300315124372
2014-03-26,-0.856471447901534
2014-03-27,-0.8565037511355081
2014-03-28,-0.8565289467081537
2014-03-31,-0.8565485986713489
2014-04-01,-0.7621477193963284
2014-04-02,-0.7760893087702442
