date,ITA_public_finance_f1__ITA_public_finance_f2
2014-08-14,0.9014429085923223
2014-08-15,0.9014365707789805
2014-08-18,0.9014322623730588
2014-08-19,0.9014293332632795
2014-08-20,0.9014273417500313
2014-08-21,0.9014259876518208
2014-08-22,0.9014250669259636
2014-08-25,0.9014244408608502
2014-08-26,0.9014240151499375
2014-08-27,0.9014237256728329
2014-08-28,0.9014235288314143
2014-08-29,0.9014233949807051
2014-09-01,0.9014233039629389
2014-09-02,0.865757593337321
2014-09-03,0.8698639518658358
2014-09-04,0.8759011284788342
2014-09-05,0.8819703919419589
2014-09-08,0.8872074827880488
2014-09-09,0.8913626757418929
2014-09-10,0.8944930541313386
2014-09-11,0.8967734155527699
2014-09-12,0.8983978929783214
2014-09-15,0.8995379074065332
2014-09-16,0.9003298752142624
2014-09-17,0.9008762924803724
2014-09-18,0.9012515412152994
2014-09-19,0.9015084275099007
2014-09-22,0.9016839083506848
2014-09-23,0.9018036056737673
2014-09-24,0.9018851714880364
2014-09-25,0.9019407157126372
2014-09-26,0.9019785225568939
2014-09-29,0.9020042482152685
2014-09-30,0.9020217495216856
2014-10-01,0.8707990192193533
2014-10-02,0.8796345793713098
2014-10-03,0.8862164993365407
2014-10-06,0.8909369588631765
2014-10-07,0.8942545804227924
2014-10-08,0.896558832498863
2014-10-09,0.8981475962399189
2014-10-10,0.8992379355380545
2014-10-13,0.8999839401927461
2014-10-14,0.9004933256899317
2014-10-15,0.9008406759427712
2014-10-16,0.9010773204654652
2014-10-17,0.9012384446850342
2014-10-20,0.901348104214786
2014-10-21,0.9014227165793995
2014-10-22,0.9014734732442019
2014-10-23,0.9015079971232586
2014-10-24,0.9015314776709334
2014-10-27,0.9015474464284232
2014-10-28,0.9015583060962161
2014-10-29,0.9015656910888558
2014-10-30,0.901570713075022
2014-10-31,0.9015741281124112
2014-11-03,0.8569211048652491
2014-11-04,0.8619673758931542
2014-11-05,0.8693938748145313
2014-11-06,0.876905329924443
2014-11-07,0.8834265580804919
2014-11-10,0.8886272351667123
2014-11-11,0.8925609228492907
2014-11-12,0.8954349846037517
2014-11-13,0.8974867946209341
2014-11-14,0.8989288875111722
2014-11-17,0.8999317731144334
2014-11-18,0.9006242219649362
2014-11-19,0.901099997952694
2014-11-20,0.9014258159895575
2014-11-21,0.901648437497009
2014-11-24,0.9018003146075178
2014-11-25,0.9019038202722292
2014-11-26,0.9019743102849499
2014-11-27,0.9020222926221815
2014-11-28,0.9020549433328724
2014-12-01,0.9020771563182667
2014-12-02,0.8964773916569361
2014-12-03,0.8972742171298339
2014-12-04,0.8983367721925964
2014-12-05,0.8993238148799557
2014-12-08,0.900125739036098
2014-12-09,0.9007343853681444
2014-12-10,0.9011785150281871
2014-12-11,0.9014948261105172
2014-12-12,0.9017166331948505
2014-12-15,0.9018705998956926
2014-12-16,0.9019767585715147
2014-12-17,0.9020496254533551
2014-12-18,0.902099489915413
2014-12-19,0.902133543711099
2014-12-22,0.9021567678777218
2014-12-23,0.902172591587854
2014-12-24,0.9021833661783765
2014-12-25,0.9021906995895566
2014-12-26,0.9021956894011164
2014-12-29,0.9021990839014264
2014-12-30,0.9022013928211702
2014-12-31,0.9022029631908599
2015-01-01,0.9016511041399189
2015-01-02,0.9016146939698981
2015-01-05,0.9017060774655352
2015-01-06,0.9018243946204005
2015-01-07,0.9019316505105853
2015-01-08,0.9020172467927772
2015-01-09,0.9020813945204113
2015-01-12,0.9021277906101752
2015-01-13,0.9021606322936594
2015-01-14,0.9021835650307971
2015-01-15,0.9021994377990283
2015-01-16,0.9022103603397164
2015-01-19,0.9022178474292069
2015-01-20,0.9022229663094636
2015-01-21,0.902226459944889
2015-01-22,0.9022288415358832
2015-01-23,0.9022304637547649
2015-01-26,0.9022315681289493
2015-01-27,0.9022323196882226
2015-01-28,0.9022328310187394
2015-01-29,0.9022331788482821
2015-01-30,0.9022334154299664
2015-02-02,0.9022335763320692
2015-02-03,0.8219680362990771
2015-02-04,0.8350799669105254
2015-02-05,0.8495760170316229
2015-02-06,0.8626924302864214
2015-02-09,0.8734230750579361
2015-02-10,0.8816816724783466
2015-02-11,0.8877893064483163
2015-02-12,0.892186808343007
2015-02-13,0.8952959161199403
2015-02-16,0.8974670038651578
2015-02-17,0.8989702952489389
2015-02-18,0.9000052043643252
2015-02-19,0.9007148684029168
2015-02-20,0.9012002012381779
2015-02-23,0.9015315110277967
2015-02-24,0.9017573972025084
2015-02-25,0.9019112757757776
2015-02-26,0.9020160409811961
2015-02-27,0.9020873404383187
2015-03-02,0.9021358514035442
2015-03-03,0.8493059894035239
2015-03-04,0.8618117879438751
2015-03-05,0.8726029462805661
2015-03-06,0.8810571802613225
2015-03-09,0.8873474203979892
2015-03-10,0.8918846455327804
2015-03-11,0.8950934921721376
2015-03-12,0.8973337756357509
2015-03-13,0.8988844904770507
2015-03-16,0.8999517334574496
2015-03-17,0.9006833969301422
2015-03-18,0.9011836864163114
2015-03-19,0.9015251625961682
2015-03-20,0.9017579591302531
2015-03-23,0.9019165351821956
