date,FRA_public_finance_f1__FRA_public_finance_f2
1999-10-28,0.7113846977211216
1999-10-29,0.7119246242092924
1999-11-01,0.7123095960931769
1999-11-02,0.6627473489627717
1999-11-03,0.6742160832963144
1999-11-04,0.6826217301003368
1999-11-05,0.688730340772788
1999-11-08,0.6931424981855796
1999-11-09,0.6963152805768488
1999-11-10,0.6985895938951729
1999-11-11,0.7002161597176716
1999-11-12,0.7013775703272649
1999-11-15,0.7022058840641927
1999-11-16,0.7027961444669164
1999-11-17,0.7032165182747436
1999-11-18,0.7035157755681858
1999-11-19,0.7037287481126173
1999-11-22,0.7038802820176783
1999-11-23,0.7039880848233059
1999-11-24,0.7040647685825303
1999-11-25,0.7041193121262951
1999-11-26,0.7041581056802662
1999-11-29,0.7041856961376803
1999-11-30,0.7042053182710982
1999-12-01,0.5845365533961897
1999-12-02,0.5481850294007642
1999-12-03,0.5200943497406205
1999-12-06,0.4987768248080712
1999-12-07,0.482841737730057
1999-12-08,0.4710747380669114
1999-12-09,0.46246878831295823
1999-12-10,0.45622110973252145
1999-12-13,0.45171071265254487
1999-12-14,0.4484679871542884
1999-12-15,0.44614373460156986
1999-12-16,0.4444814938320092
1999-12-17,0.44329460943113197
1999-12-20,0.44244811942946716
1999-12-21,0.4418448993477006
1999-12-22,0.4414152911773058
1999-12-23,0.4411094573352732
1999-12-24,0.440891802923932
1999-12-27,0.44073693695902283
1999-12-28,0.44062676325591715
1999-12-29,0.4405483927710093
1999-12-30,0.4404926493778239
1999-12-31,0.44045300238287877
2000-01-03,-0.5489048047827928
2000-01-04,-0.5272341583519043
2000-01-05,-0.5134542660242442
2000-01-06,-0.5078618803908614
2000-01-07,-0.5100400205154365
2000-01-10,-0.5189260189878078
2000-01-11,-0.5329385871377167
2000-01-12,-0.5501830882393134
2000-01-13,-0.5687262642364697
2000-01-14,-0.5868818085712699
2000-01-17,-0.6034203319188471
2000-01-18,-0.6176435929326534
2000-01-19,-0.6293264063634487
2000-01-20,-0.6385812040970658
2000-01-21,-0.6457098924054205
2000-01-24,-0.6510850735450793
2000-01-25,-0.6550739059595458
2000-01-26,-0.6579992492200093
2000-01-27,-0.6601262174412116
2000-01-28,-0.661663044176316
2000-01-31,-0.6627684585180456
2000-02-01,-0.7171490095336619
2000-02-02,-0.7038756350042985
2000-02-03,-0.6938240161280571
2000-02-04,-0.686340461125942
2000-02-07,-0.6808389756874071
2000-02-08,-0.6768320298225085
2000-02-09,-0.673933274502428
2000-02-10,-0.671846426414394
2000-02-11,-0.6703493362496574
2000-02-14,-0.669278026538341
2000-02-15,-0.6685127767490114
2000-02-16,-0.6679668484228403
2000-02-17,-0.6675777388755774
2000-02-18,-0.667300581804515
2000-02-21,-0.6671032581561346
2000-02-22,-0.6669628186403598
2000-02-23,-0.6668628882077624
2000-02-24,-0.6667917940639347
2000-02-25,-0.6667412211008525
2000-02-28,-0.666705248954882
2000-02-29,-0.6666796637885011
2000-03-01,-0.5954287112785009
2000-03-02,-0.6164264425788206
2000-03-03,-0.6303892343172441
2000-03-06,-0.6398700825319147
2000-03-07,-0.6463988902540363
2000-03-08,-0.650938378842901
2000-03-09,-0.6541158411744723
2000-03-10,-0.6563503350089968
2000-03-13,-0.6579268560199508
2000-03-14,-0.6590417212463079
2000-03-15,-0.6598314046008081
2000-03-16,-0.6603914004494407
2000-03-17,-0.6607888407614404
2000-03-20,-0.6610710759128007
2000-03-21,-0.6612715827857125
2000-03-22,-0.6614140695598199
2000-03-23,-0.6615153464080379
2000-03-24,-0.6615873426790251
2000-03-27,-0.6616385291827848
2000-03-28,-0.6616749234832175
2000-03-29,-0.6617008017004308
2000-03-30,-0.6617192031372411
2000-03-31,-0.6617322883497132
2000-04-03,-0.2785476605863082
2000-04-04,-0.008536724685711662
2000-04-05,0.18992487457413337
2000-04-06,0.335486080824613
2000-04-07,0.44173167925609547
2000-04-10,0.5188697498619093
2000-04-11,0.5746060653618609
2000-04-12,0.6147186336613764
2000-04-13,0.6434969507730395
2000-04-14,0.664094584095474
2000-04-17,0.6788109098100628
2000-04-18,0.6893115501192656
2000-04-19,0.696797045641419
2000-04-20,0.7021295084312134
2000-04-21,0.7059263381348282
2000-04-24,0.7086288087837886
2000-04-25,0.710551861205861
2000-04-26,0.7119200401678107
2000-04-27,0.7128933224373409
2000-04-28,0.7135856233340565
2000-05-01,0.7140780285178742
2000-05-02,0.4113499140357534
2000-05-03,0.1621142433424581
2000-05-04,-0.03450483813481005
2000-05-05,-0.18602931136975917
2000-05-08,-0.3005687090494721
2000-05-09,-0.38582710772333606
2000-05-10,-0.44853612451102665
2000-05-11,-0.4942434645376543
2000-05-12,-0.5273341731231225
2000-05-15,-0.5511719046845267
2000-05-16,-0.5682818209146521
2000-05-17,-0.5805305149144347
2000-05-18,-0.5892825626821703
2000-05-19,-0.595527665280742
2000-05-22,-0.5999795829418209
2000-05-23,-0.6031509966343724
2000-05-24,-0.6054090975397277
2000-05-25,-0.6070163359342334
2000-05-26,-0.6081600248429768
2000-05-29,-0.608973712386539
2000-05-30,-0.6095525436946703
2000-05-31,-0.6099642684014351
2000-06-01,-0.6706279515388716
2000-06-02,-0.6623997682440664
2000-06-05,-0.6581284278656487
2000-06-06,-0.6564242921984969
2000-06-07,-0.6561996765606284
2000-06-08,-0.6567043845044371
2000-06-09,-0.6574792154933758
2000-06-12,-0.6582765548304796
2000-06-13,-0.6589834683972944
2000-06-14,-0.6595631726595272
2000-06-15,-0.6600168191020386
2000-06-16,-0.6603613056938027
2000-06-19,-0.6606177064335892
2000-06-20,-0.6608059530098339
2000-06-21,-0.6609428605768422
2000-06-22,-0.661041775458388
2000-06-23,-0.6611129105569932
2000-06-26,-0.6611639009541243
2000-06-27,-0.661200367188462
2000-06-28,-0.6612264037773019
2000-06-29,-0.6612449721726591
2000-06-30,-0.6612582036347712
2000-07-03,-0.39240872286453793
2000-07-04,-0.05537932635809736
2000-07-05,0.1744898836789197
2000-07-06,0.3332658799338589
2000-07-07,0.44389407268554887
2000-07-10,0.5214421385580046
2000-07-11,0.5760320095226551
2000-07-12,0.614574861491473
2000-07-13,0.6418449189938912
2000-07-14,0.6611678048770795
2000-07-17,0.6748739032290834
2000-07-18,0.684603144779417
2000-07-19,0.6915130733729562
2000-07-20,0.6964225031671203
2000-07-21,0.6999115298313127
2000-07-24,0.7023915760257368
2000-07-25,0.7041546628951754
2000-07-26,0.7054081769538691
2000-07-27,0.706299457141386
2000-07-28,0.7069332105426628
2000-07-31,0.7073838625301777
2000-08-01,0.645707776077468
2000-08-02,0.6542260285604404
2000-08-03,0.6603989178804818
2000-08-04,0.6648485671474276
2000-08-07,0.6680437582693753
2000-08-08,0.6703318179087109
2000-08-09,0.6719670372350306
2000-08-10,0.6731340286682863
2000-08-11,0.6739660192872542
2000-08-14,0.674558746104763
2000-08-15,0.6749807985714837
2000-08-16,0.6752812114419855
2000-08-17,0.6754949864171889
2000-08-18,0.6756470811665879
2000-08-21,0.675755277852693
2000-08-22,0.6758322392072511
2000-08-23,0.675886978891097
2000-08-24,0.6759259112863427
2000-08-25,0.6759536001548658
2000-08-28,0.6759732921083573
2000-08-29,0.6759872965220344
2000-08-30,0.6759972559811489
2000-08-31,0.6760043387456316
2000-09-01,0.46266556678457815
2000-09-04,0.4693753417703689
2000-09-05,0.4856338555798292
2000-09-06,0.5085837938721686
2000-09-07,0.5355557801543822
2000-09-08,0.5640383594519025
2000-09-11,0.591839084676739
2000-09-12,0.6172897937975226
2000-09-13,0.6393689404781111
2000-09-14,0.657681886145335
2000-09-15,0.6723232189227367
2000-09-18,0.6836911512457573
2000-09-19,0.6923186092773357
2000-09-20,0.6987535150625508
2000-09-21,0.7034910650961463
2000-09-22,0.7069456264623475
2000-09-25,0.7094470132887845
2000-09-26,0.7112490127984918
2000-09-27,0.7125424065988242
2000-09-28,0.7134682951556852
2000-09-29,0.714129847171208
2000-10-02,0.7146018896686139
2000-10-03,0.5995477908596244
2000-10-04,0.6272300507628497
2000-10-05,0.6483440218872123
2000-10-06,0.664172724755398
2000-10-09,0.6758787785437421
2000-10-10,0.6844460937814179
2000-10-11,0.6906673354537223
2000-10-12,0.695158859533022
2000-10-13,0.6983878777521626
2000-10-16,0.7007021384396619
2000-10-17,0.702357111650223
2000-10-18,0.7035387313037579
2000-10-19,0.7043814230821804
2000-10-20,0.7049819126445966
2000-10-23,0.7054095633994084
2000-10-24,0.7057139970674725
2000-10-25,0.7059306515243243
2000-10-26,0.706084804203416
2000-10-27,0.7061944695452328
2000-10-30,0.7062724779448606
2000-10-31,0.7063279635547302
2000-11-01,0.6787210810730855
2000-11-02,0.6830889001380073
2000-11-03,0.6862046001449489
2000-11-06,0.6884252120188539
2000-11-07,0.6900068906446519
2000-11-08,0.6911329674600584
2000-11-09,0.6919344187261793
2000-11-10,0.6925046952172202
2000-11-13,0.6929104109086635
2000-11-14,0.6931990178320026
2000-11-15,0.6934043018041326
2000-11-16,0.6935503099998712
2000-11-17,0.6936541538633385
2000-11-20,0.6937280073850363
2000-11-21,0.6937805307045367
2000-11-22,0.6938178837850181
2000-11-23,0.6938444479345254
2000-11-24,0.6938633392420784
2000-11-27,0.693876773872078
2000-11-28,0.6938863279259777
2000-11-29,0.6938931222842593
2000-11-30,0.6938979540774177
2000-12-01,0.571556097177021
2000-12-04,0.5821892901301318
2000-12-05,0.5982485329532586
2000-12-06,0.6166526976028639
2000-12-07,0.6350847090734729
2000-12-08,0.6519979105956083
2000-12-11,0.6665591578118998
2000-12-12,0.678503722275345
2000-12-13,0.6879463788998064
2000-12-14,0.6952047340128205
2000-12-15,0.70066786994144
2000-12-18,0.7047161021476408
2000-12-19,0.7076816815594408
2000-12-20,0.7098360844277815
2000-12-21,0.7113917610836882
2000-12-22,0.7125102224364881
2000-12-25,0.7133118368505351
2000-12-26,0.7138850795125212
2000-12-27,0.714294356449485
2000-12-28,0.7145862339800888
2000-12-29,0.7147942184506483
2001-01-01,0.7149423370444961
2001-01-02,0.37762028858046914
2001-01-03,0.2779392072228911
2001-01-04,0.18057799784227596
2001-01-05,0.09067019575743346
2001-01-08,0.011845123642539954
2001-01-09,-0.0541791186136501
2001-01-10,-0.10739894538558219
2001-01-11,-0.1489859343993024
2001-01-12,-0.18070114920011857
2001-01-15,-0.2044416969141875
2001-01-16,-0.22196621269221706
2001-01-17,-0.23476928167650357
2001-01-18,-0.24405251562785057
2001-01-19,-0.2507467622253014
2001-01-22,-0.25555498452318354
2001-01-23,-0.2589987341699745
2001-01-24,-0.2614601962112693
2001-01-25,-0.26321699342779814
2001-01-26,-0.2644695524227543
2001-01-29,-0.26536193786370155
2001-01-30,-0.2659973816498859
2001-01-31,-0.2664496938226266
2001-02-01,0.27870581697336133
2001-02-02,0.3008197784432628
2001-02-05,0.3293360956833618
