date,FRA_banking_system_f1__FRA_banking_system_f2
2000-07-19,-0.9020896029068786
2000-07-20,-0.9020794279769238
2000-07-21,-0.9020716551402319
2000-07-24,-0.9020657059358799
2000-07-25,-0.9020611456760006
2000-07-26,-0.9020576459923872
2000-07-27,-0.902054957778908
2000-07-28,-0.902052891418488
2000-07-31,-0.902051302188872
2000-08-01,-0.9032501613068407
2000-08-02,-0.9029362294035231
2000-08-03,-0.9027110106918457
2000-08-04,-0.9025476324852635
2000-08-07,-0.902427898640636
2000-08-08,-0.9023393509383857
2000-08-09,-0.902273352031508
2000-08-10,-0.9022238340582129
2000-08-11,-0.9021864779714641
2000-08-14,-0.9021581709882833
2000-08-15,-0.9021366440195944
2000-08-16,-0.9021202262577657
2000-08-17,-0.9021076767167895
2000-08-18,-0.902098066903331
2000-08-21,-0.90209069792007
2000-08-22,-0.9020850410968232
2000-08-23,-0.9020806949418612
2000-08-24,-0.9020773535828022
2000-08-25,-0.90207478341058
2000-08-28,-0.9020728056557219
2000-08-29,-0.9020712833039055
2000-08-30,-0.9020701112169325
2000-08-31,-0.9020692086413327
2000-09-01,-0.9045253185189418
2000-09-04,-0.9039688835509152
2000-09-05,-0.9035382862624552
2000-09-06,-0.9032054074057293
2000-09-07,-0.9029482696934888
2000-09-08,-0.9027497561319469
2000-09-11,-0.9025965698120646
2000-09-12,-0.9024784014914549
2000-09-13,-0.9023872700382776
2000-09-14,-0.9023170035490924
2000-09-15,-0.9022628332492812
2000-09-18,-0.902221076875137
2000-09-19,-0.9021888925223429
2000-09-20,-0.9021640876857321
2000-09-21,-0.9021449713537262
2000-09-22,-0.9021302395897778
2000-09-25,-0.9021188871011492
2000-09-26,-0.9021101389409892
2000-09-27,-0.902103397788445
2000-09-28,-0.902098203270479
2000-09-29,-0.9020942005849286
2000-10-02,-0.9020911163039385
2000-10-03,-0.9027394440277927
2000-10-04,-0.9025886123316458
2000-10-05,-0.9024724546814746
2000-10-06,-0.9023829898694394
2000-10-09,-0.9023140776127345
2000-10-10,-0.9022609925353029
2000-10-11,-0.902220097218201
2000-10-12,-0.9021885911305925
2000-10-13,-0.902164317717598
2000-10-16,-0.902145616095448
2000-10-17,-0.9021312069876067
2000-10-18,-0.9021201049630508
2000-10-19,-0.9021115508908102
2000-10-20,-0.9021049599409796
2000-10-23,-0.9020998815460676
2000-10-24,-0.9020959685668761
2000-10-25,-0.9020929535439604
2000-10-26,-0.9020906304046816
2000-10-27,-0.9020888403715277
2000-10-30,-0.9020874611061819
2000-10-31,-0.902086398345971
2000-11-01,-0.903993353539404
2000-11-02,-0.9035232889272429
2000-11-03,-0.9031748338788597
2000-11-06,-0.9029147952805677
2000-11-07,-0.9027195888898615
2000-11-08,-0.902572306735772
2000-11-09,-0.9024607106883442
2000-11-10,-0.9023758585922275
2000-11-13,-0.9023111585990451
2000-11-14,-0.9022617127469285
2000-11-15,-0.9022238565415288
2000-11-16,-0.9021948323005291
2000-11-17,-0.9021725546961775
2000-11-20,-0.9021554405914134
2000-11-21,-0.9021422842724015
2000-11-22,-0.9021321651360847
2000-11-23,-0.9021243788568941
2000-11-24,-0.902118385723664
2000-11-27,-0.9021137716534491
2000-11-28,-0.9021102186418775
2000-11-29,-0.9021074822865378
2000-11-30,-0.9021053746421277
2000-12-01,-0.9015734630852972
2000-12-04,-0.9016742876281183
2000-12-05,-0.9017596248169741
2000-12-06,-0.9018299204276202
2000-12-07,-0.9018867811245608
2000-12-08,-0.9019321945556966
2000-12-11,-0.9019681372660818
2000-12-12,-0.9019963964286712
2000-12-13,-0.9020185059631327
2000-12-14,-0.9020357409261381
2000-12-15,-0.9020491390789196
2000-12-18,-0.9020595328764185
2000-12-19,-0.9020675832417951
2000-12-20,-0.9020738110090712
2000-12-21,-0.9020786243677248
2000-12-22,-0.9020823419196884
2000-12-25,-0.9020852115795693
2000-12-26,-0.902087425811193
2000-12-27,-0.9020891337676177
2000-12-28,-0.9020904508827509
2000-12-29,-0.902091466402912
2001-01-01,-0.9020922492738075
2001-01-02,-0.9006545970885729
2001-01-03,-0.9009872814216782
2001-01-04,-0.901242237495262
2001-01-05,-0.901437871192538
2001-01-08,-0.901588130124743
2001-01-09,-0.9017036237985234
2001-01-10,-0.901792446299986
2001-01-11,-0.9018607867249528
2001-01-12,-0.9019133858389974
2001-01-15,-0.9019538799257802
2001-01-16,-0.9019850610190773
2001-01-17,-0.9020090746433187
2001-01-18,-0.9020275705406077
2001-01-19,-0.9020418178425589
2001-01-22,-0.9020527932411406
2001-01-23,-0.9020612485880233
2001-01-24,-0.9020677627811162
2001-01-25,-0.9020727816257048
2001-01-26,-0.9020766484780893
2001-01-29,-0.9020796278155891
2001-01-30,-0.9020819233731102
2001-01-31,-0.9020836921031911
2001-02-01,-0.9004010821525456
2001-02-02,-0.9007896300975466
2001-02-05,-0.9010880603121614
2001-02-06,-0.901317441437326
2001-02-07,-0.901493849211126
2001-02-08,-0.901629576537938
2001-02-09,-0.9017340397275372
2001-02-12,-0.9018144612508644
2001-02-13,-0.901876386608405
2001-02-14,-0.901924077124747
2001-02-15,-0.9019608093641179
2001-02-16,-0.901989103913835
2001-02-19,-0.902010900526364
2001-02-20,-0.9020276923935198
2001-02-21,-0.9020406292063661
2001-02-22,-0.9020505963271216
2001-02-23,-0.9020582756517238
2001-02-26,-0.9020641924221142
2001-02-27,-0.9020687512465602
2001-02-28,-0.9020722638247471
2001-03-01,-0.8989576292498498
2001-03-02,-0.8996096233189126
2001-03-05,-0.9001374803462827
2001-03-06,-0.900559146042692
2001-03-07,-0.9008928358336983
2001-03-08,-0.901155131347406
2001-03-09,-0.9013602950504473
2001-03-12,-0.9015201873305809
2001-03-13,-0.9016444588444456
2001-03-14,-0.9017408473356534
2001-03-15,-0.9018154930181889
2001-03-16,-0.9018732323581496
2001-03-19,-0.9019178542744052
2001-03-20,-0.9019523151219976
2001-03-21,-0.901978914713886
2001-03-22,-0.9019994380797098
2001-03-23,-0.902015268320991
2001-03-26,-0.9020274757162976
2001-03-27,-0.9020368876514
2001-03-28,-0.9020441432565227
2001-03-29,-0.902049735953083
2001-03-30,-0.9020540465024238
2001-04-02,-0.9020573686281999
2001-04-03,-0.9015697726751817
2001-04-04,-0.9016840986788763
2001-04-05,-0.9017720181030642
2001-04-06,-0.9018396607023008
2001-04-09,-0.9018917209523465
2001-04-10,-0.9019317991372022
2001-04-11,-0.9019626593564711
2001-04-12,-0.9019864254952654
2001-04-13,-0.9020047305539112
2001-04-16,-0.9020188307237493
2001-04-17,-0.9020296927020666
2001-04-18,-0.9020380606252262
2001-04-19,-0.9020445074379031
2001-04-20,-0.902049474353279
2001-04-23,-0.9020533011863618
2001-04-24,-0.902056249684053
2001-04-25,-0.902058521476355
2001-04-26,-0.9020602718933004
2001-04-27,-0.9020616206024021
2001-04-30,-0.9020626597998418
2001-05-01,-0.9017895625763767
2001-05-02,-0.9018328548777255
2001-05-03,-0.9018749527690684
2001-05-04,-0.9019125944823032
