date,ITA_commodities_f1__ITA_commodities_f2
2021-11-16,0.8715664948187638
2021-11-17,0.8715314296770765
2021-11-18,0.8715079472975316
2021-11-19,0.8714921735731103
2021-11-22,0.8714815554676584
2021-11-23,0.8714743974338598
2021-11-24,0.8714695671302942
2021-11-25,0.8714663053776761
2021-11-26,0.8714641017975318
2021-11-29,0.8714626126309429
2021-11-30,0.871461606046227
2021-12-01,0.8376685212960813
2021-12-02,0.8491229336677591
2021-12-03,0.8565421512619817
2021-12-06,0.8614114817211148
2021-12-07,0.8646377061290552
2021-12-08,0.8667893288789671
2021-12-09,0.8682307172904389
2021-12-10,0.8691992535601843
2021-12-13,0.8698514002293602
2021-12-14,0.870291124317176
2021-12-15,0.8705878977350264
2021-12-16,0.870788320446822
2021-12-17,0.8709237321987405
2021-12-20,0.8710152472614792
2021-12-21,0.8710771079232781
2021-12-22,0.8711189289350981
2021-12-23,0.8711472046587944
2021-12-24,0.8711663234066027
2021-12-27,0.8711792511610823
2021-12-28,0.8711879929210086
2021-12-29,0.8711939042190595
2021-12-30,0.8711979015709919
2021-12-31,0.8712006046931041
2022-01-03,0.8789225082221213
2022-01-04,0.8765778646538572
2022-01-05,0.8749258094857629
2022-01-06,0.8737768718510627
2022-01-07,0.8729849739451792
2022-01-10,0.8724424977121211
2022-01-11,0.872072428656535
2022-01-12,0.8718206857894639
2022-01-13,0.8716497631020251
2022-01-14,0.8715338642857862
2022-01-17,0.871455344865067
2022-01-18,0.8714021809133274
2022-01-19,0.8713661991081005
2022-01-20,0.8713418529393611
2022-01-21,0.8713253827539122
2022-01-24,0.871314242056745
2022-01-25,0.8713067069442222
2022-01-26,0.8713016107915957
2022-01-27,0.8712981642905497
2022-01-28,0.8712958335007318
2022-01-31,0.8712942572686073
2022-02-01,0.8738231268296351
2022-02-02,0.8705205577812396
2022-02-03,0.8692693045175748
2022-02-04,0.8691002804896094
2022-02-07,0.8693976612664657
2022-02-08,0.8698282515206716
2022-02-09,0.8702398040365467
2022-02-10,0.8705786106958245
2022-02-11,0.8708372420167044
2022-02-14,0.871026247143186
2022-02-15,0.8711607089193191
2022-02-16,0.8712547407790031
2022-02-17,0.8713197679309618
2022-02-18,0.8713644061978125
2022-02-21,0.871394898114403
2022-02-22,0.8714156583892737
2022-02-23,0.8714297617227078
2022-02-24,0.8714393284735077
2022-02-25,0.8714458114084979
2022-02-28,0.8714502016155065
2022-03-01,0.861578509936435
2022-03-02,0.8639882546513828
2022-03-03,0.8660397117788714
2022-03-04,0.8676202043447796
2022-03-07,0.8687776435445753
2022-03-08,0.8696010202664628
2022-03-09,0.870176468627716
2022-03-10,0.8705741548664063
2022-03-11,0.8708469996167952
2022-03-14,0.871033299637183
2022-03-15,0.8711601030236934
2022-03-16,0.8712462276709106
2022-03-17,0.8713046402167973
2022-03-18,0.8713442196220454
2022-03-21,0.8713710207103692
2022-03-22,0.8713891611058647
2022-03-23,0.8714014358821459
2022-03-24,0.8714097400153475
2022-03-25,0.8714153571759412
2022-03-28,0.8714191564449573
2022-03-29,0.8714217259925467
2022-03-30,0.8714234637746119
2022-03-31,0.871424639001728
2022-04-01,0.874106871331804
2022-04-04,0.8696806304394047
2022-04-05,0.8679210319348986
2022-04-06,0.8676839510864301
2022-04-07,0.8681499703359521
2022-04-08,0.8688342132886809
2022-04-11,0.8694983466599818
2022-04-12,0.8700515684987804
