country,series_code,train_r_squared,test_r_squared,train_nobs,test_nobs,top_contributions
Italy,DAX,0.5739215677668816,0.34124760258072073,3359,1440,CPIAUCSL:0.3882;ITACPIALLMINMEI:0.2914;FRACPIALLMINMEI:0.2414;BAMLC0A0CM:-0.2030;NAEXKP01FRQ661S:-0.1986;DEUCPIALLMINMEI:0.1938;BAMLC0A4CBBB:-0.1868;IBEX_35:0.1552;ITA_Equity:0.1478;SP500:0.1396
Italy,MABMM301EZM189S,0.13692312017957764,-0.009558805936253245,3359,1440,ITACPIALLMINMEI:0.1258;FRACPIALLMINMEI:0.0893;DEUCPIALLMINMEI:0.0768;CPIAUCSL:0.0730;ESPCPIALLMINMEI:0.0418;NAEXKP01FRQ661S:0.0251;NAEXKP01DEQ661S:0.0178;GDPC1:0.0174;NAEXKP01ESQ661S:0.0128;NAEXKP01ITQ661S:0.0122
Italy,DFF,0.016570143962333583,-0.02632613692190655,3359,1440,NAEXKP01FRQ661S:1.2654;ITACPIALLMINMEI:1.0093;NAEXKP01ESQ661S:0.8883;NAEXKP01ITQ661S:0.8791;GDPC1:0.8101;NAEXKP01DEQ661S:0.7172;CPIAUCSL:0.6343;DEUCPIALLMINMEI:0.5615;FRACPIALLMINMEI:0.4504;MABMM301EZM189S:0.3232
Italy,CPIAUCSL,0.3186783479536598,0.5353289435109824,3359,1440,ITACPIALLMINMEI:0.1913;FRACPIALLMINMEI:0.1470;DEUCPIALLMINMEI:0.1263;ESPCPIALLMINMEI:0.0706;MABMM301EZM189S:0.0521;NAEXKP01DEQ661S:0.0214;NAEXKP01FRQ661S:0.0210;LRHUTTTTDEM156S:-0.0185;GDPC1:0.0133;NAEXKP01ESQ661S:0.0131
Italy,ITA_Equity,0.5660911552935366,0.2736053741154407,3359,1440,CPIAUCSL:0.3686;ITACPIALLMINMEI:0.2494;BAMLC0A0CM:-0.2333;BAMLC0A4CBBB:-0.2161;NAEXKP01FRQ661S:-0.2057;DAX:0.1889;FRACPIALLMINMEI:0.1887;IBEX_35:0.1691;MABMM301EZM189S:-0.1658;SP500:0.1620
Italy,EUR_USD,0.02588290339043664,-0.1242660587985922,3359,1440,NAEXKP01FRQ661S:-0.0554;ITA_beta0:-0.0416;MABMM301EZM189S:-0.0346;CPIAUCSL:0.0319;LRHUTTTTFRM156S:-0.0306;NAEXKP01ESQ661S:-0.0292;DAX:0.0287;FRACPIALLMINMEI:0.0281;IBEX_35:0.0265;LRHUTTTTESM156S:-0.0257
Italy,UNRATE,0.14845936393973835,0.1853333838514596,3359,1440,NAEXKP01FRQ661S:-0.4814;NAEXKP01ITQ661S:-0.4433;NAEXKP01ESQ661S:-0.3913;GDPC1:-0.2903;NAEXKP01DEQ661S:-0.2501;LRHUTTTTESM156S:0.1356;LRHUTTTTFRM156S:0.1226;CPIAUCSL:-0.0988;MABMM301EZM189S:0.0973;ITACPIALLMINMEI:0.0948
Italy,BAMLH0A1HYBB,0.6177243335984501,0.6035527743770974,3359,1440,ITA_beta0:-0.7025;FRACPIALLMINMEI:0.3665;NAEXKP01FRQ661S:-0.2446;DEUCPIALLMINMEI:0.2315;BAMLC0A3CAEY:-0.2237;BAMLC0A4CBBB:0.2177;BAMLC0A0CM:0.2035;BAMLH0A0HYM2:0.1771;MABMM301EZM189S:-0.1731;GDPC1:-0.1623
Italy,NAEXKP01FRQ661S,0.6361809167858563,0.6654373767175635,3359,1440,NAEXKP01ESQ661S:0.1443;NAEXKP01ITQ661S:0.1422;GDPC1:0.1252;NAEXKP01DEQ661S:0.1092;MABMM301EZM189S:0.0343;FRACPIALLMINMEI:-0.0340;ITACPIALLMINMEI:0.0235;LRHUTTTTFRM156S:-0.0220;LRHUTTTTDEM156S:-0.0197;LRHUTTTTESM156S:-0.0158
Italy,LRHUTTTTFRM156S,0.12889503322287332,-1.2531675442109536,3359,1440,NAEXKP01FRQ661S:-0.2163;NAEXKP01ITQ661S:-0.1688;NAEXKP01ESQ661S:-0.1588;GDPC1:-0.1496;CPIAUCSL:-0.1188;NAEXKP01DEQ661S:-0.1183;ITACPIALLMINMEI:-0.1034;DEUCPIALLMINMEI:-0.0677;LRHUTTTTESM156S:0.0502;FRACPIALLMINMEI:-0.0483
Italy,IBEX_35,0.5505178219155196,0.19635474075161663,3359,1440,CPIAUCSL:0.3428;BAMLC0A0CM:-0.2190;ITACPIALLMINMEI:0.2173;BAMLC0A4CBBB:-0.2023;NAEXKP01FRQ661S:-0.1895;DAX:0.1785;MABMM301EZM189S:-0.1768;NAEXKP01ITQ661S:-0.1547;NAEXKP01ESQ661S:-0.1535;ITA_Equity:0.1523
Italy,BAMLH0A0HYM2,0.6760907399568801,0.6294953227557969,3359,1440,ITA_beta0:-0.5857;FRACPIALLMINMEI:0.3616;NAEXKP01FRQ661S:-0.2870;DEUCPIALLMINMEI:0.2163;BAMLC0A4CBBB:0.1892;MABMM301EZM189S:-0.1878;GDPC1:-0.1866;BAMLC0A3CAEY:-0.1833;BAMLC0A0CM:0.1806;NAEXKP01ESQ661S:-0.1610
Italy,NAEXKP01ESQ661S,0.5785697978888993,0.8242491483758198,3359,1440,NAEXKP01FRQ661S:0.2526;NAEXKP01ITQ661S:0.1743;GDPC1:0.1595;NAEXKP01DEQ661S:0.1378;FRACPIALLMINMEI:-0.0543;ITACPIALLMINMEI:0.0276;LRHUTTTTFRM156S:-0.0273;LRHUTTTTESM156S:-0.0242;MABMM301EZM189S:0.0213;LRHUTTTTDEM156S:-0.0212
Italy,ESPCPIALLMINMEI,0.32792406427044274,0.3115212645158061,3359,1440,ITACPIALLMINMEI:0.3887;FRACPIALLMINMEI:0.2648;DEUCPIALLMINMEI:0.2414;CPIAUCSL:0.2175;MABMM301EZM189S:0.0898;LRHUTTTTDEM156S:-0.0357;NAEXKP01ITQ661S:-0.0237;NAEXKP01ESQ661S:-0.0096;NAEXKP01DEQ661S:0.0094;LRHUTTTTESM156S:0.0086
