date,USA_financial_markets_f1__USA_financial_markets_f2
2020-01-15,-0.5506374910602523
2020-01-16,-0.5505305655458032
2020-01-17,-0.5504322584127959
2020-01-20,-0.5503418707212355
2020-01-21,-0.5502587608111758
2020-01-22,-0.5501823395300207
2020-01-23,-0.5501120658667297
2020-01-24,-0.5500474429573926
2020-01-27,-0.5499880144297751
2020-01-28,-0.5499333610572722
2020-01-29,-0.549883097695352
2020-01-30,-0.5498368704759496
2020-01-31,-0.5497943542374747
2020-02-03,-0.534605527966896
2020-02-04,-0.5357800803833332
2020-02-05,-0.5368832993857029
2020-02-06,-0.5379178282020183
2020-02-07,-0.5388864875832321
2020-02-10,-0.539792217397313
2020-02-11,-0.5406380268756912
2020-02-12,-0.5414269526766383
2020-02-13,-0.5421620239515025
2020-02-14,-0.5428462336332542
2020-02-17,-0.5434825152095303
2020-02-18,-0.5440737242915235
2020-02-19,-0.5446226243432138
2020-02-20,-0.5451318759905103
2020-02-21,-0.5456040293851452
2020-02-24,-0.5460415191523253
2020-02-25,-0.5464466615031482
2020-02-26,-0.5468216531419334
2020-02-27,-0.5471685716443857
2020-02-28,-0.5474893770246647
2020-03-02,-0.5477859142477969
2020-03-03,-0.29517187138728906
2020-03-04,-0.24360080159311942
2020-03-05,-0.19514027163839853
2020-03-06,-0.14966323063544654
2020-03-09,-0.10704009011094709
2020-03-10,-0.06713990441459704
2020-03-11,-0.02983144468498508
2020-03-12,0.005015838250945232
2020-03-13,0.03753096374937342
2020-03-16,0.06784068312304631
2020-03-17,0.09606885026420431
2020-03-18,0.12233589628866329
2020-03-19,0.1467584019999539
2020-03-20,0.16944876098079079
2020-03-23,0.1905149254743245
2020-03-24,0.21006022687744325
2020-03-25,0.22818326258674193
2020-03-26,0.24497784106784976
2020-03-27,0.2605329773154985
2020-03-30,0.27493293129335716
2020-03-31,0.2882572824520955
2020-04-01,0.3828013213174743
2020-04-02,0.38683753796868653
2020-04-03,0.39068673521931796
2020-04-06,0.3943495769929183
2020-04-07,0.39782781342836077
2020-04-08,0.40112416787433436
2020-04-09,0.40424222073204263
2020-04-10,0.4071862929438833
2020-04-13,0.40996133156255254
2020-04-14,0.4125727994409116
2020-04-15,0.415026570680199
2020-04-16,0.4173288330813003
2020-04-17,0.4194859984753047
2020-04-20,0.4215046214759472
2020-04-21,0.4233913269043592
2020-04-22,0.42515274588912544
2020-04-23,0.4267954604424592
2020-04-24,0.4283259561546805
2020-04-27,0.42975058253089204
2020-04-28,0.431075520411511
2020-04-29,0.43230675586735534
2020-04-30,0.4334500599352782
2020-05-01,0.416667947930532
2020-05-04,0.41907284317009885
2020-05-05,0.4212899865514861
2020-05-06,0.4233337090129115
2020-05-07,0.4252172958201608
2020-05-08,0.42695305582063064
2020-05-11,0.4285523871390631
2020-05-12,0.4300258393433089
2020-05-13,0.4313831721356652
2020-05-14,0.432633410647817
2020-05-15,0.43378489743557297
2020-05-18,0.4348453412838297
2020-05-19,0.43582186294296654
2020-05-20,0.4367210379255928
2020-05-21,0.4375489364976549
2020-05-22,0.43831116100075007
2020-05-25,0.4390128806434316
2020-05-26,0.4396588638986726
2020-05-27,0.44025350864273083
2020-05-28,0.4408008701677198
2020-05-29,0.44130468719643706
2020-06-01,0.4417684060236198
2020-06-02,0.42585643750092256
2020-06-03,0.42750868933436265
2020-06-04,0.42902375029385226
2020-06-05,0.43041338564495063
2020-06-08,0.4316882934870144
2020-06-09,0.43285821051846785
2020-06-10,0.43393200596872183
2020-06-11,0.43491776521686676
2020-06-12,0.43582286439459095
2020-06-15,0.43665403708451034
2020-06-16,0.4374174340687411
2020-06-17,0.43811867695084533
2020-06-18,0.4387629063629491
2020-06-19,0.43935482537544823
2020-06-22,0.43989873864640255
2020-06-23,0.4403985877792016
2020-06-24,0.44085798329841924
2020-06-25,0.4412802336034287
2020-06-26,0.44166837121598107
2020-06-29,0.4420251766005199
2020-06-30,0.4423531998035858
2020-07-01,0.44470423827779465
2020-07-02,0.44481593409152775
2020-07-03,0.4449188027110922
2020-07-06,0.4450135337342834
2020-07-07,0.4451007641191067
2020-07-08,0.44518108201066386
2020-07-09,0.44525503032004154
2020-07-10,0.44532311006629854
2020-07-13,0.4453857834930657
2020-07-14,0.4454434769714576
2020-07-15,0.4454965837010091
2020-07-16,0.44554546622021907
2020-07-17,0.4455904587380432
2020-07-20,0.445631869297357
2020-07-21,0.4456699817810247
2020-07-22,0.4457050577707853
2020-07-23,0.44573733826870554
2020-07-24,0.4457670452904809
2020-07-27,0.44579438333937765
2020-07-28,0.4458195407691334
2020-07-29,0.4458426910436472
2020-07-30,0.44586399390083165
2020-07-31,0.44588359642753783
2020-08-03,0.4144987518673168
2020-08-04,0.3514593631770243
2020-08-05,0.2925235919824172
2020-08-06,0.23747577544439474
2020-08-07,0.1861058218565374
2020-08-10,0.13820963926693097
2020-08-11,0.09358952798713475
2020-08-12,0.05205452540331063
2020-08-13,0.013420695255011956
2020-08-14,-0.02248864317239258
2020-08-17,-0.05584274771225832
2020-08-18,-0.08680334732331463
2020-08-19,-0.11552459511604533
2020-08-20,-0.1421530767111981
2020-08-21,-0.1668278692738685
2020-08-24,-0.18968064594204073
2020-08-25,-0.21083582003439202
2020-08-26,-0.23041072332565185
2020-08-27,-0.2485158127690746
2020-08-28,-0.2652549002794729
2020-08-31,-0.280725400527049
2020-09-01,-0.2817138153851319
2020-09-02,-0.2855750017996195
2020-09-03,-0.2892170701708705
2020-09-04,-0.29264707856155014
2020-09-07,-0.29587255131258394
2020-09-08,-0.2989013753069488
2020-09-09,-0.30174170215598994
2020-09-10,-0.30440185743502485
2020-09-11,-0.3068902577572545
2020-09-14,-0.3092153361657489
2020-09-15,-0.3113854760499439
2020-09-16,-0.3134089535598417
2020-09-17,-0.3152938882993205
2020-09-18,-0.31704820192875804
