date,ESP_financial_markets_f1,ESP_financial_markets_f2
2019-11-26,0.8995255126940875,0.5440233629185355
2019-11-27,0.8995255126940875,0.5440233629185355
2019-11-28,0.8995255126940875,0.5440233629185355
2019-11-29,0.8995255126940875,0.5440233629185355
2019-12-02,0.8995255126940875,0.5440233629185355
2019-12-03,0.9345759683998733,0.5254972784304781
2019-12-04,0.9345759683998733,0.5254972784102576
2019-12-05,0.9345759683998733,0.5254972784102576
2019-12-06,0.9345759683998733,0.5254972784102576
2019-12-09,0.9345759683998733,0.5254972784102576
2019-12-10,0.9345759683998733,0.5254972784102576
2019-12-11,0.9345759683998733,0.5254972784102576
2019-12-12,0.9345759683998733,0.5254972784102576
2019-12-13,0.9345759683998733,0.5254972784102576
2019-12-16,0.9345759683998733,0.5254972784102576
2019-12-17,0.9345759683998733,0.5254972784102576
2019-12-18,0.9345759683998733,0.5254972784102576
2019-12-19,0.9345759683998733,0.5254972784102576
2019-12-20,0.9345759683998733,0.5254972784102576
2019-12-23,0.9345759683998733,0.5254972784102576
2019-12-24,0.9345759683998733,0.5254972784102576
2019-12-25,0.9345759683998733,0.5254972784102576
2019-12-26,0.9345759683998733,0.5254972784102576
2019-12-27,0.9345759683998733,0.5254972784102576
2019-12-30,0.9345759683998733,0.5254972784102576
2019-12-31,0.9345759683998733,0.5254972784102576
2020-01-01,0.9549156708686696,0.4485099044977583
2020-01-02,0.9549156708686696,0.44850990440809857
2020-01-03,0.9549156708686696,0.44850990440809857
2020-01-06,0.9549156708686696,0.44850990440809857
2020-01-07,0.9549156708686696,0.44850990440809857
2020-01-08,0.9549156708686696,0.44850990440809857
2020-01-09,0.9549156708686696,0.44850990440809857
2020-01-10,0.9549156708686696,0.44850990440809857
2020-01-13,0.9549156708686696,0.44850990440809857
2020-01-14,0.9549156708686696,0.44850990440809857
2020-01-15,0.9549156708686696,0.44850990440809857
2020-01-16,0.9549156708686696,0.44850990440809857
2020-01-17,0.9549156708686696,0.44850990440809857
2020-01-20,0.9549156708686696,0.44850990440809857
2020-01-21,0.9549156708686696,0.44850990440809857
2020-01-22,0.9549156708686696,0.44850990440809857
2020-01-23,0.9549156708686696,0.44850990440809857
2020-01-24,0.9549156708686696,0.44850990440809857
2020-01-27,0.9549156708686696,0.44850990440809857
