date,ESP_financial_markets_f1__ESP_financial_markets_f2
2005-11-11,-0.8898884879319597
2005-11-14,-0.890036348898906
2005-11-15,-0.8901365941178179
2005-11-16,-0.8902046225346707
2005-11-17,-0.8902508180381465
2005-11-18,-0.8902822015078579
2005-11-21,-0.8903035286457261
2005-11-22,-0.8903180247994108
2005-11-23,-0.8903278792678926
2005-11-24,-0.8903345789555481
2005-11-25,-0.8903391341165777
2005-11-28,-0.8903422313349884
2005-11-29,-0.8903443373079645
2005-11-30,-0.8903457693062659
2005-12-01,-0.8640521897695446
2005-12-02,-0.8700203785706169
2005-12-05,-0.8748032809143867
2005-12-06,-0.8784219360441822
2005-12-07,-0.8810631124381301
2005-12-08,-0.8829463842280166
2005-12-09,-0.8842686362566764
2005-12-12,-0.8851874329160718
2005-12-13,-0.8858214425596446
2005-12-14,-0.886256879177641
2005-12-15,-0.8865549826994148
2005-12-16,-0.8867586252361855
2005-12-19,-0.8868975345033357
2005-12-20,-0.8869921931133221
2005-12-21,-0.8870566536988237
2005-12-22,-0.8871005297989231
2005-12-23,-0.8871303853848516
2005-12-26,-0.8871506963513237
2005-12-27,-0.887164512042869
2005-12-28,-0.8871739086672175
2005-12-29,-0.8871802992725678
2005-12-30,-0.8871846452987932
2006-01-02,-0.8871876007869971
2006-01-03,-0.8628275927795532
2006-01-04,-0.8677967502532284
2006-01-05,-0.8731726290612104
2006-01-06,-0.8780089469419985
2006-01-09,-0.8819502422498671
2006-01-10,-0.8849730726878798
2006-01-11,-0.8872019630825538
2006-01-12,-0.88880294933722
2006-01-13,-0.8899328281182167
2006-01-16,-0.8907207768301465
2006-01-17,-0.8912658467342425
2006-01-18,-0.8916408384901933
2006-01-19,-0.8918978608133487
2006-01-20,-0.8920735797538054
2006-01-23,-0.8921935069136387
2006-01-24,-0.8922752606187149
2006-01-25,-0.8923309472825321
2006-01-26,-0.8923688577898554
2006-01-27,-0.8923946570917258
2006-01-30,-0.8924122099355581
2006-01-31,-0.8924241501747127
2006-02-01,-0.8735713094989698
2006-02-02,-0.8747011787266953
2006-02-03,-0.8776998662898199
2006-02-06,-0.8811561211741272
2006-02-07,-0.8843321727878498
2006-02-08,-0.8869426321210564
