date,FRA_banking_system_f1__FRA_banking_system_f2
2013-10-15,-0.9161595705915223
2013-10-16,-0.9161880567573373
2013-10-17,-0.9162070150493205
2013-10-18,-0.9162196163390262
2013-10-21,-0.9162279852327038
2013-10-22,-0.9162335401970474
2013-10-23,-0.9162372260311267
2013-10-24,-0.9162396710666831
2013-10-25,-0.9162412927458712
2013-10-28,-0.9162423682165193
2013-10-29,-0.9162430814005265
2013-10-30,-0.9162435543169045
2013-10-31,-0.9162438679007437
2013-11-01,-0.9093692693666705
2013-11-04,-0.9109482641755167
2013-11-05,-0.9124064577436922
2013-11-06,-0.9135586063984678
2013-11-07,-0.9144054980240381
2013-11-08,-0.9150039753887014
2013-11-11,-0.9154171836561562
2013-11-12,-0.9156984094406448
2013-11-13,-0.9158880753276835
2013-11-14,-0.9160152432870833
2013-11-15,-0.916100182798468
2013-11-18,-0.9161567750477055
2013-11-19,-0.9161944186025983
2013-11-20,-0.9162194309077851
2013-11-21,-0.9162360384698817
2013-11-22,-0.9162470602660059
2013-11-25,-0.9162543727124476
2013-11-26,-0.9162592231713862
2013-11-27,-0.9162624401132068
2013-11-28,-0.916264573472357
2013-11-29,-0.9162659881532588
2013-12-02,-0.9162669262240273
2013-12-03,-0.9162072060264619
2013-12-04,-0.9162162678659205
2013-12-05,-0.9162291914527332
2013-12-06,-0.9162408046286076
2013-12-09,-0.916249844283735
2013-12-10,-0.9162564272814031
2013-12-11,-0.9162610512886081
2013-12-12,-0.9162642311903225
2013-12-13,-0.9162663897251087
2013-12-16,-0.916267842966265
2013-12-17,-0.9162688162186843
2013-12-18,-0.9162694657881897
2013-12-19,-0.9162698983545621
2013-12-20,-0.9162701859887544
2013-12-23,-0.9162703770650659
2013-12-24,-0.9162705039163488
2013-12-25,-0.9162705880943901
2013-12-26,-0.9162706439389583
2013-12-27,-0.9162706809799299
2013-12-30,-0.916270705545698
2013-12-31,-0.9162707218365163
2014-01-01,-0.9140148732876416
2014-01-02,-0.9146988313722823
2014-01-03,-0.9151941605992187
2014-01-06,-0.9155406030592514
2014-01-07,-0.9157781253009994
2014-01-08,-0.915939019026438
2014-01-09,-0.9160471874603959
2014-01-10,-0.9161195599602902
2014-01-13,-0.9161678320800497
