date,DEU_public_finance_f1__DEU_public_finance_f2
2022-04-13,-0.6422466880696057
2022-04-14,-0.6882981669860032
2022-04-15,-0.7240091657097626
2022-04-18,-0.7517375298820316
2022-04-19,-0.7732893486079709
2022-04-20,-0.7900535689708876
2022-04-21,-0.803101658960522
2022-04-22,-0.8132621813298812
2022-04-25,-0.82117707546121
2022-04-26,-0.8273444280289288
2022-04-27,-0.8321511555900554
2022-04-28,-0.8358980881681781
2022-04-29,-0.8388192875845433
2022-05-02,-0.841096966445337
2022-05-03,0.7216501937088057
2022-05-04,0.7283842507645747
2022-05-05,0.7361634470688937
2022-05-06,0.7449567953800283
2022-05-09,0.7546559135222546
2022-05-10,0.7650694639381543
2022-05-11,0.7759315449652036
2022-05-12,0.7869253435379402
2022-05-13,0.7977184759392874
2022-05-16,0.8080020983050645
2022-05-17,0.8175243736097366
2022-05-18,0.8261110941782472
2022-05-19,0.8336709259097596
2022-05-20,0.8401874443531359
2022-05-23,0.8457029386450011
2022-05-24,0.8502993704796978
2022-05-25,0.8540806076193522
2022-05-26,0.8571582045798465
2022-05-27,0.8596413968593005
2022-05-30,0.8616309483951524
2022-05-31,0.8632160254382124
2022-06-01,0.8476073040671733
2022-06-02,0.8525255852044984
2022-06-03,0.8561642697952974
2022-06-06,0.8588904096828648
2022-06-07,0.860952202292351
2022-06-08,0.8625226865652438
2022-06-09,0.8637254357148979
2022-06-10,0.8646503834766174
2022-06-13,0.8653639646863907
2022-06-14,0.8659158349011528
2022-06-15,0.8663434526502792
2022-06-16,0.866675281211951
2022-06-17,0.8669330722344474
2022-06-20,0.8671335227048171
2022-06-21,0.8672894944420387
2022-06-22,0.8674109221487211
2022-06-23,0.8675054960060312
2022-06-24,0.8675791787361177
2022-06-27,0.8676365996890318
2022-06-28,0.8676813566783321
2022-06-29,0.8677162480623328
2022-06-30,0.8677434517419383
2022-07-01,0.8490090165093167
2022-07-04,0.8526896794254014
2022-07-05,0.855593785929878
2022-07-06,0.8578783690125605
2022-07-07,0.8596717708035937
2022-07-08,0.8610774112168998
2022-07-11,0.8621778641583855
2022-07-12,0.86303864844862
2022-07-13,0.863711522825773
2022-07-14,0.8642372469949592
2022-07-15,0.8646478448914462
2022-07-18,0.8649684337998681
2022-07-19,0.8652186885327896
2022-07-20,0.8654140056713704
2022-07-21,0.8655664248848505
2022-07-22,0.8656853554659275
2022-07-25,0.8657781477768226
2022-07-26,0.8658505418372207
2022-07-27,0.8659070189492559
2022-07-28,0.8659510770088727
2022-07-29,0.8659854458807125
2022-08-01,0.8660122557735744
2022-08-02,0.7878045921782881
2022-08-03,0.7828830880942486
2022-08-04,0.7820726851104551
2022-08-05,0.7847002651572369
2022-08-08,0.789963984724573
2022-08-09,0.7970249200092888
2022-08-10,0.8050919677737972
2022-08-11,0.8134873191628498
2022-08-12,0.8216846011797486
2022-08-15,0.8293187379491893
2022-08-16,0.8361728961597161
2022-08-17,0.8421513281253844
2022-08-18,0.8472470395140557
2022-08-19,0.851511027231581
2022-08-22,0.855026890184018
2022-08-23,0.8578920699321373
2022-08-24,0.8602053212337161
2022-08-25,0.8620592208351254
2022-08-26,0.8635363401312369
2022-08-29,0.8647078548989616
2022-08-30,0.8656336377099472
2022-08-31,0.8663631573606394
2022-09-01,0.8435537458540684
2022-09-02,0.7459161697814074
2022-09-05,0.6621299326937676
2022-09-06,0.5901161581713166
2022-09-07,0.5282292971968461
2022-09-08,0.4751361633336844
2022-09-09,0.4297315253323806
2022-09-12,0.3910770809586551
2022-09-13,0.3583565992402433
2022-09-14,0.3308434920995148
2022-09-15,0.30787883527609183
2022-09-16,0.2888583445560964
2022-09-19,0.2732265161865111
2022-09-20,0.2604756501861467
2022-09-21,0.2501472920098931
2022-09-22,0.24183395299824592
2022-09-23,0.2351796802536271
2022-09-26,0.2298788554666233
2022-09-27,0.2256732573504324
2022-09-28,0.22234780920740146
2022-09-29,0.21972556666979792
2022-09-30,0.21766246219284321
2022-10-03,0.9051585092877953
2022-10-04,0.9012416327539555
2022-10-05,0.8967259390362909
2022-10-06,0.8916508690772085
2022-10-07,0.8861190285905699
2022-10-10,0.8803051530784747
2022-10-11,0.8744531742273912
2022-10-12,0.8688568519256328
2022-10-13,0.8638236473293613
