date,ITA_financial_markets_f1__ITA_financial_markets_f2
2021-04-01,0.2543412210830992
2021-04-02,0.3250168416995124
2021-04-05,0.3942743365671247
2021-04-06,0.4602951285242441
2021-04-07,0.521574267584467
2021-04-08,0.5770433364063636
2021-04-09,0.6261084934766792
2021-04-12,0.6686181494118583
2021-04-13,0.7047814381218853
2021-04-14,0.7350640334846338
2021-04-15,0.76008457336412
2021-04-16,0.7805269156201238
2021-04-19,0.7970748551199766
2021-04-20,0.8103694028441907
2021-04-21,0.8209850343189569
2021-04-22,0.8294200039529486
2021-04-23,0.8360960133727531
2021-04-26,0.8413634129644944
2021-04-27,0.8455091706541301
2021-04-28,0.8487657827428062
2021-04-29,0.8513200284558136
2021-04-30,0.8533209800085665
2021-05-03,0.8599367378360796
2021-05-04,0.8600504995205155
2021-05-05,0.8601451013854468
2021-05-06,0.8602228359316911
2021-05-07,0.860285972743969
2021-05-10,0.8603367941745302
2021-05-11,0.8603774181671597
2021-05-12,0.8604097153965496
2021-05-13,0.8604352846259483
2021-05-14,0.8604554610989262
2021-05-17,0.860471341562786
2021-05-18,0.8604838158722784
2021-05-19,0.8604935994118844
2021-05-20,0.860501263318966
2021-05-21,0.8605072611597903
2021-05-24,0.860511951672658
2021-05-25,0.8605156177087381
2021-05-26,0.8605184817479843
2021-05-27,0.8605207184584232
2021-05-28,0.8605224647729388
2021-05-31,0.8605238279210746
2021-06-01,0.8446689763196227
2021-06-02,0.8484910577945773
2021-06-03,0.8512905868649056
2021-06-04,0.8533688768506087
2021-06-07,0.8549299332094911
2021-06-08,0.856112837924119
2021-06-09,0.8570151806328519
2021-06-10,0.8577070060097259
2021-06-11,0.8582394938112607
2021-06-14,0.8586505693485121
2021-06-15,0.8589686490206042
2021-06-16,0.859215210686535
2021-06-17,0.8594065993014537
2021-06-18,0.859555320545368
2021-06-21,0.8596709829645304
2021-06-22,0.8597609934934933
2021-06-23,0.8598310766455362
2021-06-24,0.8598856655847593
2021-06-25,0.8599281988429095
2021-06-28,0.8599613467603153
2021-06-29,0.8599871850986722
2021-06-30,0.860007328641032
2021-07-01,0.8888217417692377
2021-07-02,0.8839445252317526
2021-07-05,0.8796834650227426
2021-07-06,0.8760440269117435
2021-07-07,0.8729933151887537
2021-07-08,0.8704753001303643
2021-07-09,0.8684226996767239
2021-07-12,0.8667659477860309
2021-07-13,0.8654390249807732
2021-07-14,0.8643826490030532
2021-07-15,0.863545564595365
2021-07-16,0.8628846264040549
2021-07-19,0.8623642094203261
2021-07-20,0.8619553097306413
2021-07-21,0.8616345583405219
2021-07-22,0.8613832717373251
2021-07-23,0.8611865990373999
2021-07-26,0.8610327874942656
2021-07-27,0.8609125671377794
2021-07-28,0.8608186448685944
2021-07-29,0.8607452940584833
2021-07-30,0.8606880248291039
2021-08-02,0.860643321026253
2021-08-03,0.8464107194077882
2021-08-04,0.8497634790202787
2021-08-05,0.8522374470331168
2021-08-06,0.8540845413997601
2021-08-09,0.8554778675152919
2021-08-10,0.8565370794560097
2021-08-11,0.857347050522905
2021-08-12,0.8579692213369116
2021-08-13,0.858448788526256
2021-08-16,0.8588194220964336
2021-08-17,0.8591064557036964
2021-08-18,0.8593291001758199
2021-08-19,0.8595020129601835
2021-08-20,0.8596364312973667
2021-08-23,0.8597410028269906
2021-08-24,0.8598224020145403
2021-08-25,0.8598857922792814
2021-08-26,0.8599351752941392
2021-08-27,0.8599736567472324
2021-08-30,0.8600036496098846
2021-08-31,0.8600270302577253
2021-09-01,0.8869207529038097
2021-09-02,0.8820694830744108
2021-09-03,0.8779113398179283
2021-09-06,0.8744275689679244
2021-09-07,0.8715617929519682
2021-09-08,0.869238329111934
2021-09-09,0.867375349024431
2021-09-10,0.8658938512515766
2021-09-13,0.8647227173795448
2021-09-14,0.8638008171798742
2021-09-15,0.8630772266812343
2021-09-16,0.8625104214972671
2021-09-17,0.862067031015716
2021-09-20,0.8617205000034341
2021-09-21,0.8614498359500574
2021-09-22,0.8612385169153076
2021-09-23,0.8610735776079472
2021-09-24,0.860944863579142
2021-09-27,0.8608444321504002
2021-09-28,0.8607660760423569
2021-09-29,0.8607049470323536
2021-09-30,0.8606572598916937
2021-10-01,0.8448307988948589
2021-10-04,0.8485746858623807
2021-10-05,0.8513243151929366
2021-10-06,0.8533692200017813
2021-10-07,0.8549072596439162
2021-10-08,0.856073904010303
2021-10-11,0.8569645292607059
2021-10-12,0.857647773898271
2021-10-13,0.8581738958223254
2021-10-14,0.858580199079054
2021-10-15,0.8588946711370722
2021-10-18,0.8591384874257241
2021-10-19,0.8593277757715672
2021-10-20,0.8594748835512518
2021-10-21,0.8595893023946191
2021-10-22,0.8596783519550374
2021-10-25,0.8597476910112407
2021-10-26,0.8598017028639496
2021-10-27,0.859843788001065
2021-10-28,0.8598765876018465
2021-10-29,0.8599021549927707
2021-11-01,0.8599220876454411
2021-11-02,0.8442872456356005
2021-11-03,0.8467380462251516
2021-11-04,0.8489927524680562
2021-11-05,0.8509725317872877
2021-11-08,0.8526572031732697
2021-11-09,0.8540597193456877
2021-11-10,0.855209031495494
2021-11-11,0.856139926301627
2021-11-12,0.8568873445066874
2021-11-15,0.8574834836175824
2021-11-16,0.8579565624528721
2021-11-17,0.8583305286009149
2021-11-18,0.8586252631067449
2021-11-19,0.8588570158771417
2021-11-22,0.8590389192281583
2021-11-23,0.8591814973078072
2021-11-24,0.8592931311558692
2021-11-25,0.8593804633646493
2021-11-26,0.8594487395621578
2021-11-29,0.8595020906617895
2021-11-30,0.8595437627663104
2021-12-01,0.8319457862983287
2021-12-02,0.8382613643179521
2021-12-03,0.8430263469862004
2021-12-06,0.8466426816332727
2021-12-07,0.8494043539306398
2021-12-08,0.8515234377199621
2021-12-09,0.8531554416938059
2021-12-10,0.8544158985456487
2021-12-13,0.8553915385917408
2021-12-14,0.8561480082323453
2021-12-15,0.8567353190599916
2021-12-16,0.857191766757892
2021-12-17,0.8575467936731853
2021-12-20,0.8578231069534253
2021-12-21,0.8580382625403498
2021-12-22,0.8582058599753897
2021-12-23,0.8583364499341696
2021-12-24,0.8584382274164889
2021-12-27,0.8585175635773558
2021-12-28,0.8585794152034593
2021-12-29,0.8586276408662538
2021-12-30,0.8586652455592443
2021-12-31,0.8586945703251867
2022-01-03,0.7774056748493259
2022-01-04,0.7814815707007183
2022-01-05,0.7879161623957716
2022-01-06,0.795665459924602
2022-01-07,0.8038952511702692
2022-01-10,0.8119924859835038
2022-01-11,0.8195493410396951
2022-01-12,0.826331501011003
2022-01-13,0.8322386108968914
2022-01-14,0.8372645073267512
2022-01-17,0.8414625082205072
2022-01-18,0.8449182586816376
2022-01-19,0.8477304107747938
2022-01-20,0.8499981002971135
2022-01-21,0.8518136667376092
2022-01-24,0.8532590643579228
2022-01-25,0.8544046672184668
2022-01-26,0.8553094975848515
2022-01-27,0.8560222087531179
2022-01-28,0.8565823925959158
2022-01-31,0.8570219547820245
2022-02-01,0.8188428180996389
2022-02-02,0.45400437617790584
2022-02-03,0.16872927608690147
2022-02-04,-0.052966331005527015
2022-02-07,-0.22577210031826236
2022-02-08,-0.3606695762053027
2022-02-09,-0.4660415355164858
2022-02-10,-0.5483649745217608
2022-02-11,-0.6126779001476758
2022-02-14,-0.6629125484540733
2022-02-15,-0.7021429625292042
2022-02-16,-0.7327736403730358
2022-02-17,-0.7566854123705187
2022-02-18,-0.7753491466642509
2022-02-21,-0.7899147229264308
2022-02-22,-0.8012807633158001
2022-02-23,-0.8101493002982065
2022-02-24,-0.8170686228327944
2022-02-25,-0.822466838646838
2022-02-28,-0.8266781476293148
2022-03-01,0.09017850307232568
2022-03-02,0.1836501134637979
2022-03-03,0.27059106820630696
2022-03-04,0.3508410325598941
2022-03-07,0.4241076119672039
2022-03-08,0.4901089565792757
2022-03-09,0.5486831440698348
2022-03-10,0.5998593949103525
2022-03-11,0.6438831780136757
2022-03-14,0.6811988236431321
2022-03-15,0.7124025115492433
2022-03-16,0.7381820861173138
2022-03-17,0.759258156627436
2022-03-18,0.7763358069056161
2022-03-21,0.7900707320847201
2022-03-22,0.8010494866797007
2022-03-23,0.8097812596301208
2022-03-24,0.8166978685295271
2022-03-25,0.8221588927649659
2022-03-28,0.8264595142344017
2022-03-29,0.8298393591054574
2022-03-30,0.8324912616485748
2022-03-31,0.8345693445500003
2022-04-01,0.90315926407474
2022-04-04,0.896017537906628
2022-04-05,0.8884546730739604
2022-04-06,0.880753798458553
2022-04-07,0.8732623375447868
2022-04-08,0.8663485491754054
2022-04-11,0.8603478142728614
2022-04-12,0.8555094375675911
2022-04-13,0.8519588913709253
2022-04-14,0.8496862155904321
2022-04-15,0.8485625165463856
2022-04-18,0.8483773043954796
2022-04-19,0.8488839739035114
2022-04-20,0.8498408828260297
2022-04-21,0.8510399767392243
2022-04-22,0.8523207707992979
2022-04-25,0.8535720425024748
2022-04-26,0.8547256648134186
2022-04-27,0.8557469443247033
2022-04-28,0.8566246275816061
2022-04-29,0.8573623228713079
2022-05-02,0.857971969047553
2022-05-03,0.8215734897043887
2022-05-04,0.824271755361397
2022-05-05,0.8270604588052455
2022-05-06,0.8296612875661434
2022-05-09,0.8319541692705178
2022-05-10,0.8339063792226077
2022-05-11,0.8355303531695382
2022-05-12,0.8368594951842234
2022-05-13,0.8379346436844137
2022-05-16,0.8387968466258923
2022-05-17,0.8394838207892658
2022-05-18,0.8400285071247919
2022-05-19,0.8404587696602123
2022-05-20,0.8407976762139888
2022-05-23,0.8410640378922111
2022-05-24,0.8412730284072737
2022-05-25,0.8414367896672259
2022-05-26,0.8415649795392822
2022-05-27,0.8416652454026446
2022-05-30,0.841743621891689
