date,ESP_financial_markets_f1__ESP_financial_markets_f2
2019-02-04,-0.1356554401526967
2019-02-05,0.07452807035149747
2019-02-06,0.24162642583278796
2019-02-07,0.37396739282518165
2019-02-08,0.47845519200270853
2019-02-11,0.5607444382555894
2019-02-12,0.6254202763271133
2019-02-13,0.6761707238614054
2019-02-14,0.7159430370736674
2019-02-15,0.7470803648626259
2019-02-18,0.7714379621715791
2019-02-19,0.790480036592621
2019-02-20,0.8053592325416915
2019-02-21,0.8169811127536873
2019-02-22,0.8260560062079058
2019-02-25,0.8331404139402193
2019-02-26,0.8386699019744034
2019-02-27,0.8429851252891901
2019-02-28,0.8463523523065445
2019-03-01,0.8434740098645647
2019-03-04,0.8454943638939703
2019-03-05,0.8474911271709202
2019-03-06,0.8493356849281721
2019-03-07,0.8509659145422868
2019-03-08,0.8523628688268396
2019-03-11,0.8535333642092647
2019-03-12,0.8544978862255329
2019-03-13,0.855282736758739
2019-03-14,0.8559152864098505
2019-03-15,0.8564213501154027
2019-03-18,0.8568239296948017
2019-03-19,0.8571427846800018
2019-03-20,0.857394470306339
2019-03-21,0.8575926128661572
2019-03-22,0.8577482834940109
2019-03-25,0.8578703911782959
2019-03-26,0.8579660533552318
2019-03-27,0.8580409250665564
2019-03-28,0.8580994806432133
2019-03-29,0.8581452488564927
2019-04-01,0.8581810058551443
2019-04-02,0.8573005983475422
2019-04-03,0.8575155996549356
2019-04-04,0.8576869351098126
2019-04-05,0.8578227741477229
2019-04-08,0.8579300589949025
2019-04-09,0.8580145475270545
2019-04-10,0.858080937715258
2019-04-11,0.8581330189597397
2019-04-12,0.8581738226318064
2019-04-15,0.8582057590310873
2019-04-16,0.8582307359849658
2019-04-17,0.8582502584661102
2019-04-18,0.858265510595103
2019-04-19,0.8582774222075205
2019-04-22,0.858286722355629
2019-04-23,0.8582939819979947
2019-04-24,0.8582996478791524
2019-04-25,0.8583040693091107
2019-04-26,0.8583075192660711
2019-04-29,0.8583102109870381
2019-04-30,0.8583123109878186
2019-05-01,0.844368253742276
2019-05-02,0.8451063576003985
2019-05-03,0.8464091862170822
2019-05-06,0.8479510795530977
2019-05-07,0.8495216599640601
2019-05-08,0.8509973099920971
2019-05-09,0.8523152358230401
2019-05-10,0.8534523835337796
2019-05-13,0.854409700865974
2019-05-14,0.8552011949980679
2019-05-15,0.8558468040074139
2019-05-16,0.856368054742309
2019-05-17,0.856785625549754
2019-05-20,0.8571181377445514
2019-05-21,0.8573816954604075
2019-05-22,0.8575898520475664
2019-05-23,0.8577537979485342
2019-05-24,0.8578826455923836
2019-05-27,0.8579837397970064
2019-05-28,0.8580629555024686
2019-05-29,0.8581249648003729
2019-05-30,0.8581734668515036
2019-05-31,0.8582113806078464
2019-06-03,0.8015093017197337
