date,ITA_public_finance_f1__ITA_public_finance_f2
2006-01-23,0.8766745116596512
2006-01-24,0.8768337962237049
2006-01-25,0.8769581801396336
2006-01-26,0.8770552858996927
2006-01-27,0.8771310808639292
2006-01-30,0.8771902328355861
2006-01-31,0.8772363907646751
2006-02-01,0.8532472882934101
2006-02-02,0.8567190443631586
2006-02-03,0.8600927021592046
2006-02-06,0.8631705328809964
2006-02-07,0.8658653110957404
2006-02-08,0.8681580600421747
2006-02-09,0.8700686694330662
2006-02-10,0.8716364699382636
2006-02-13,0.87290809491856
2006-02-14,0.8739303965408284
2006-02-15,0.8747466911583133
2006-02-16,0.8753950861093106
2006-02-17,0.8759080339024374
2006-02-20,0.8763125571142182
2006-02-21,0.8766307976744816
2006-02-22,0.8768806855771432
2006-02-23,0.8770766130121032
2006-02-24,0.8772300561170854
2006-02-27,0.8773501198313874
2006-02-28,0.8774440000560898
2006-03-01,0.8748002548600877
2006-03-02,0.8752836199286964
2006-03-03,0.8757289867796605
2006-03-06,0.8761187631265771
2006-03-07,0.8764489813000435
2006-03-08,0.8767226848224313
2006-03-09,0.8769460855161495
2006-03-10,0.8771264152034551
2006-03-13,0.877270792218913
2006-03-14,0.877385680267305
2006-03-15,0.8774766816051375
2006-03-16,0.8775485099751338
2006-03-17,0.8776050527878595
2006-03-20,0.8776494710854991
2006-03-21,0.8776843092045459
2006-03-22,0.8777115997774438
2006-03-23,0.8777329575646433
2006-03-24,0.8777496599446483
2006-03-27,0.8777627141584633
2006-03-28,0.8777729124847262
2006-03-29,0.87778087693848
2006-03-30,0.8777870951496597
2006-03-31,0.877791948965931
2006-04-03,0.8294446085073679
2006-04-04,0.8370886789205304
2006-04-05,0.8440803922589573
2006-04-06,0.8502190850591256
2006-04-07,0.8554566923128248
2006-04-10,0.8598329240607449
2006-04-11,0.8634325015377802
2006-04-12,0.8663580872627717
2006-04-13,0.868714145140709
2006-04-14,0.8705981290090928
2006-04-17,0.872096359547882
2006-04-18,0.8732827376136866
2006-04-19,0.8742190540396089
2006-04-20,0.8749561040162022
2006-04-21,0.875535125239907
2006-04-24,0.8759892850093269
2006-04-25,0.8763450720108189
2006-04-26,0.8766235276933599
2006-04-27,0.8768412977451875
2006-04-28,0.8770115087349349
2006-05-01,0.8771444868022056
2006-05-02,0.8394213461136729
2006-05-03,0.8463998984296501
2006-05-04,0.8522976152407937
2006-05-05,0.8571838894923955
2006-05-08,0.8611743387819045
2006-05-09,0.8643985448306767
2006-05-10,0.8669827068364998
2006-05-11,0.8690411788499717
2006-05-12,0.8706731754643278
2006-05-15,0.8719623506155857
2006-05-16,0.8729778533081195
2006-05-17,0.8737760347961265
2006-05-18,0.8744023394640082
2006-05-19,0.8748931309838871
2006-05-22,0.8752773359393297
2006-05-23,0.8755778619479379
2006-05-24,0.8758127879305817
2006-05-25,0.8759963443561084
2006-05-26,0.8761397096815808
2006-05-29,0.876251651103507
2006-05-30,0.876339036296791
2006-05-31,0.8764072398778584
2006-06-01,0.8733507549746196
2006-06-02,0.8739436550521367
2006-06-05,0.874417286432158
2006-06-06,0.8747934211683989
2006-06-07,0.8750908406131528
2006-06-08,0.8753252620430887
2006-06-09,0.8755095822640044
2006-06-12,0.8756542428207579
2006-06-13,0.875767617886181
2006-06-14,0.8758563778594877
2006-06-15,0.875925809357038
2006-06-16,0.8759800865898122
2006-06-19,0.8760224961275539
2006-06-20,0.8760556201016663
2006-06-21,0.8760814838656762
2006-06-22,0.87610167405068
2006-06-23,0.8761174323928995
2006-06-26,0.8761297299766045
2006-06-27,0.8761393257851181
