date,USA_financial_markets_f1__USA_financial_markets_f2
2006-03-10,0.8493122978102154
2006-03-13,0.8492554408457176
2006-03-14,0.8492110635705581
2006-03-15,0.8491764317481355
2006-03-16,0.8491494082537397
2006-03-17,0.8491283234386237
2006-03-20,0.8491118733383564
2006-03-21,0.8490990398635557
2006-03-22,0.8490890282977954
2006-03-23,0.849081218393182
2006-03-24,0.849075126131886
2006-03-27,0.8490703738435106
2006-03-28,0.8490666668621764
2006-03-29,0.8490637752980777
2006-03-30,0.8490615198065411
2006-03-31,0.8490597604801265
2006-04-03,0.8514694481518685
2006-04-04,0.8509464511111272
2006-04-05,0.8505382337374158
2006-04-06,0.8502196852123186
2006-04-07,0.8499711481943615
2006-04-10,0.8497772547729746
2006-04-11,0.8496260005590994
2006-04-12,0.849508013506543
2006-04-13,0.8494159791424349
2006-04-14,0.8493441900483515
2006-04-17,0.8492881933714588
2006-04-18,0.8492445153485434
2006-04-19,0.8492104461705088
2006-04-20,0.8491838720455676
2006-04-21,0.8491631441430829
2006-04-24,0.8491469763368561
2006-04-25,0.8491343654281888
2006-04-26,0.8491245289113024
2006-04-27,0.849116856425922
2006-04-28,0.8491108718879591
2006-05-01,0.8491062039502023
2006-05-02,0.848975786362829
2006-05-03,0.8489996368770648
2006-05-04,0.84901879690473
2006-05-05,0.8490340801072416
2006-05-08,0.8490462067470127
2006-05-09,0.849055790637178
2006-05-10,0.8490633421588104
2006-05-11,0.8490692786221368
2006-05-12,0.8490739372104374
2006-05-15,0.849077588029816
2006-05-16,0.8490804460827801
2006-05-17,0.849082681698544
2006-05-18,0.8490844293318844
2006-05-19,0.8490857948295294
2006-05-22,0.849086861343177
2006-05-23,0.8490876940908092
2006-05-24,0.8490883441612309
2006-05-25,0.849088851536794
2006-05-26,0.8490892474846881
2006-05-29,0.8490895564425646
2006-05-30,0.8490897975017437
2006-05-31,0.8490899855716751
2006-06-01,0.8319542732093906
2006-06-02,0.8358890853591348
2006-06-05,0.8388556021144239
2006-06-06,0.8411097385328452
2006-06-07,0.8428328329614441
2006-06-08,0.84415602825544
2006-06-09,0.8451757106147499
2006-06-12,0.8459636311943445
2006-06-13,0.8465737430120253
2006-06-14,0.8470469387433132
2006-06-15,0.8474144059683781
2006-06-16,0.8477000471231122
2006-06-19,0.8479222516296072
2006-06-20,0.8480952100091466
2006-06-21,0.8482298983936565
2006-06-22,0.848334822256426
2006-06-23,0.8484165820165542
2006-06-26,0.848480305484102
2006-06-27,0.8485299799046985
2006-06-28,0.8485687077744515
2006-06-29,0.8485989044512534
2006-06-30,0.8486224511256983
2006-07-03,0.8573080667739319
2006-07-04,0.8554876899586777
2006-07-05,0.8540590653915645
2006-07-06,0.8529412939776926
2006-07-07,0.8520683814728337
2006-07-10,0.851387433618048
2006-07-11,0.8508565431643667
2006-07-12,0.850442751387745
2006-07-13,0.8501202543332215
2006-07-14,0.8498689031251582
2006-07-17,0.8496729874510893
2006-07-18,0.8495202665061097
2006-07-19,0.8494012053783083
2006-07-20,0.8493083771009298
2006-07-21,0.8492359960652551
2006-07-24,0.8491795545890825
2006-07-25,0.8491355400573155
2006-07-26,0.8491012148193571
2006-07-27,0.8490744449045143
2006-07-28,0.8490535666967052
2006-07-31,0.8490372831265074
2006-08-01,0.8426762363702235
2006-08-02,0.8440666125958894
2006-08-03,0.8451361176577524
2006-08-04,0.8459613524401167
2006-08-07,0.8465996383864497
2006-08-08,0.8470942487128258
2006-08-09,0.8474780803743884
2006-08-10,0.847776280777597
2006-08-11,0.8480081573449972
2006-08-14,0.8481885846723061
2006-08-15,0.8483290531786455
2006-08-16,0.8484384578202228
2006-08-17,0.848523695754301
2006-08-18,0.8485901219695289
2006-08-21,0.848641898316793
2006-08-22,0.8486822619099758
2006-08-23,0.8487137321528536
2006-08-24,0.8487382708110572
2006-08-25,0.8487574060137527
2006-08-28,0.8487723284564207
2006-08-29,0.8487839661241654
2006-08-30,0.8487930423846218
2006-08-31,0.848800121184181
2006-09-01,0.8550668561882647
2006-09-04,0.8536716703427962
2006-09-05,0.8526035614323383
2006-09-06,0.8517852308137309
2006-09-07,0.8511572834544109
2006-09-08,0.8506744811760448
2006-09-11,0.8503025078806644
2006-09-12,0.8500153532024118
2006-09-13,0.8497932766169257
2006-09-14,0.8496212586553561
2006-09-15,0.8494878369324602
2006-09-18,0.8493842359241356
2006-09-19,0.8493037167779418
2006-09-20,0.8492410904456236
2006-09-21,0.8491923517157313
2006-09-22,0.8491544028675627
2006-09-25,0.8491248440158666
2006-09-26,0.8491018133380024
2006-09-27,0.849083864820989
2006-09-28,0.8490698743862118
2006-09-29,0.8490589675876615
