date,DEU_macro_f1__DEU_macro_f2
2019-06-14,-0.8478676087458749
2019-06-17,-0.8478691531553061
2019-06-18,-0.8478701092579393
2019-06-19,-0.8478707011022388
2019-06-20,-0.847871067443826
2019-06-21,-0.8478712941952392
2019-06-24,-0.8478714345426852
2019-06-25,-0.847871521409379
2019-06-26,-0.8478715751742387
2019-06-27,-0.8478716084510383
2019-06-28,-0.8478716290470542
2019-07-01,-0.8478716417945258
2019-07-02,-0.8471379331668227
2019-07-03,-0.8474168438825984
2019-07-04,-0.847589770484583
2019-07-05,-0.8476969135066417
2019-07-08,-0.8477632706085851
2019-07-09,-0.8478043573612765
2019-07-10,-0.847829793385423
2019-07-11,-0.8478455388462974
2019-07-12,-0.8478552850630392
2019-07-15,-0.8478613176143579
2019-07-16,-0.8478650514591537
2019-07-17,-0.8478673624886297
2019-07-18,-0.8478687928671749
2019-07-19,-0.8478696781747658
2019-07-22,-0.8478702261184989
2019-07-23,-0.8478705652568144
2019-07-24,-0.8478707751591195
2019-07-25,-0.8478709050734977
2019-07-26,-0.8478709854810833
2019-07-29,-0.847871035247537
2019-07-30,-0.8478710660493507
2019-07-31,-0.8478710851134296
2019-08-01,-0.8472668578570055
2019-08-02,-0.8474902595399167
2019-08-05,-0.8476316625467146
2019-08-06,-0.8477203751194295
2019-08-07,-0.8477757378747741
2019-08-08,-0.8478101777859783
2019-08-09,-0.847831560309585
2019-08-12,-0.8478448200760071
2019-08-13,-0.847853036684957
2019-08-14,-0.847858125912205
2019-08-15,-0.8478612772072356
2019-08-16,-0.8478632281784748
2019-08-19,-0.8478644358978321
2019-08-20,-0.8478651834686377
2019-08-21,-0.8478656461913151
2019-08-22,-0.8478659325947273
2019-08-23,-0.8478661098620781
2019-08-26,-0.8478662195793726
2019-08-27,-0.8478662874870388
2019-08-28,-0.8478663295171852
2019-08-29,-0.8478663555308771
2019-08-30,-0.8478663716314918
2019-09-02,-0.8478663815966125
2019-09-03,-0.8479279515630141
2019-09-04,-0.8479043258733537
2019-09-05,-0.8478897554623055
2019-09-06,-0.8478807574365377
2019-09-09,-0.8478751959776124
2019-09-10,-0.8478717567762439
2019-09-11,-0.8478696292863419
2019-09-12,-0.8478683129562308
2019-09-13,-0.8478674984090078
2019-09-16,-0.847866994326941
2019-09-17,-0.847866682361142
2019-09-18,-0.8478664892863514
2019-09-19,-0.8478663697906964
2019-09-20,-0.8478662958329648
2019-09-23,-0.8478662500590464
2019-09-24,-0.84786622172853
2019-09-25,-0.8478662041940832
2019-09-26,-0.8478661933415695
2019-09-27,-0.8478661866246665
2019-09-30,-0.8478661824673979
2019-10-01,-0.8525795888609058
2019-10-02,-0.8508150611414782
2019-10-03,-0.8497074838423387
2019-10-04,-0.8490159534649202
2019-10-07,-0.8485856167904348
2019-10-08,-0.8483183716930414
2019-10-09,-0.8481526211054313
2019-10-10,-0.8480499009649902
2019-10-11,-0.8479862738138272
2019-10-14,-0.8479468737412071
2019-10-15,-0.8479224804934431
2019-10-16,-0.8479073799873286
2019-10-17,-0.8478980327778051
2019-10-18,-0.8478922471163941
2019-10-21,-0.8478886660529162
2019-10-22,-0.847886449574137
2019-10-23,-0.8478850777118199
2019-10-24,-0.8478842286200657
2019-10-25,-0.847883703090742
2019-10-28,-0.8478833778250994
