date,ITA_real_estate_f1,ITA_real_estate_f2
2007-01-05,2.1799858639472687,0.22970496734331045
2007-01-08,2.1799858639472687,0.22970496734331045
2007-01-09,2.1799858639472687,0.22970496734331045
2007-01-10,2.1799858639472687,0.22970496734331045
2007-01-11,2.1799858639472687,0.22970496734331045
2007-01-12,2.1799858639472687,0.22970496734331045
2007-01-15,2.1799858639472687,0.22970496734331045
2007-01-16,2.1799858639472687,0.22970496734331045
2007-01-17,2.1799858639472687,0.22970496734331045
2007-01-18,2.1799858639472687,0.22970496734331045
2007-01-19,2.1799858639472687,0.22970496734331045
2007-01-22,2.1799858639472687,0.22970496734331045
2007-01-23,2.1799858639472687,0.22970496734331045
2007-01-24,2.1799858639472687,0.22970496734331045
2007-01-25,2.1799858639472687,0.22970496734331045
2007-01-26,2.1799858639472687,0.22970496734331045
2007-01-29,2.1799858639472687,0.22970496734331045
2007-01-30,2.1799858639472687,0.22970496734331045
2007-01-31,2.1799858639472687,0.22970496734331045
2007-02-01,2.2499626590256825,0.12086465545886985
2007-02-02,2.2499626590256825,0.12086465545886985
2007-02-05,2.2499626590256825,0.12086465545886985
2007-02-06,2.2499626590256825,0.12086465545886985
2007-02-07,2.2499626590256825,0.12086465545886985
2007-02-08,2.2499626590256825,0.12086465545886985
2007-02-09,2.2499626590256825,0.12086465545886985
2007-02-12,2.2499626590256825,0.12086465545886985
2007-02-13,2.2499626590256825,0.12086465545886985
2007-02-14,2.2499626590256825,0.12086465545886985
2007-02-15,2.2499626590256825,0.12086465545886985
2007-02-16,2.2499626590256825,0.12086465545886985
2007-02-19,2.2499626590256825,0.12086465545886985
2007-02-20,2.2499626590256825,0.12086465545886985
2007-02-21,2.2499626590256825,0.12086465545886985
2007-02-22,2.2499626590256825,0.12086465545886985
2007-02-23,2.2499626590256825,0.12086465545886985
2007-02-26,2.2499626590256825,0.12086465545886985
2007-02-27,2.2499626590256825,0.12086465545886985
2007-02-28,2.2499626590256825,0.12086465545886985
2007-03-01,2.2787935132016504,0.07769892572739547
2007-03-02,2.2787935132016504,0.07769892572739547
2007-03-05,2.2787935132016504,0.07769892572739547
2007-03-06,2.2787935132016504,0.07769892572739547
2007-03-07,2.2787935132016504,0.07769892572739547
2007-03-08,2.2787935132016504,0.07769892572739547
2007-03-09,2.2787935132016504,0.07769892572739547
2007-03-12,2.2787935132016504,0.07769892572739547
2007-03-13,2.2787935132016504,0.07769892572739547
2007-03-14,2.2787935132016504,0.07769892572739547
2007-03-15,2.2787935132016504,0.07769892572739547
2007-03-16,2.2787935132016504,0.07769892572739547
2007-03-19,2.2787935132016504,0.07769892572739547
2007-03-20,2.2787935132016504,0.07769892572739547
2007-03-21,2.2787935132016504,0.07769892572739547
2007-03-22,2.2787935132016504,0.07769892572739547
2007-03-23,2.2787935132016504,0.07769892572739547
2007-03-26,2.2787935132016504,0.07769892572739547
2007-03-27,2.2787935132016504,0.07769892572739547
2007-03-28,2.2787935132016504,0.07769892572739547
2007-03-29,2.2787935132016504,0.07769892572739547
2007-03-30,2.2787935132016504,0.07769892572739547
2007-04-02,2.2787935132016504,0.07769892572739547
2007-04-03,2.2644780252874877,0.02776485915381737
2007-04-04,2.2644780252874877,0.02776485915381737
2007-04-05,2.2644780252874877,0.02776485915381737
2007-04-06,2.2644780252874877,0.02776485915381737
2007-04-09,2.2644780252874877,0.02776485915381737
2007-04-10,2.2644780252874877,0.02776485915381737
2007-04-11,2.2644780252874877,0.02776485915381737
2007-04-12,2.2644780252874877,0.02776485915381737
2007-04-13,2.2644780252874877,0.02776485915381737
2007-04-16,2.2644780252874877,0.02776485915381737
2007-04-17,2.2644780252874877,0.02776485915381737
2007-04-18,2.2644780252874877,0.02776485915381737
2007-04-19,2.2644780252874877,0.02776485915381737
2007-04-20,2.2644780252874877,0.02776485915381737
2007-04-23,2.2644780252874877,0.02776485915381737
2007-04-24,2.2644780252874877,0.02776485915381737
2007-04-25,2.2644780252874877,0.02776485915381737
2007-04-26,2.2644780252874877,0.02776485915381737
2007-04-27,2.2644780252874877,0.02776485915381737
2007-04-30,2.2644780252874877,0.02776485915381737
2007-05-01,2.3079045104617997,0.07852061429810211
2007-05-02,2.3079045104617997,0.07852061429810211
2007-05-03,2.3079045104617997,0.07852061429810211
2007-05-04,2.3079045104617997,0.07852061429810211
2007-05-07,2.3079045104617997,0.07852061429810211
2007-05-08,2.3079045104617997,0.07852061429810211
2007-05-09,2.3079045104617997,0.07852061429810211
2007-05-10,2.3079045104617997,0.07852061429810211
2007-05-11,2.3079045104617997,0.07852061429810211
2007-05-14,2.3079045104617997,0.07852061429810211
2007-05-15,2.3079045104617997,0.07852061429810211
2007-05-16,2.3079045104617997,0.07852061429810211
2007-05-17,2.3079045104617997,0.07852061429810211
2007-05-18,2.3079045104617997,0.07852061429810211
2007-05-21,2.3079045104617997,0.07852061429810211
2007-05-22,2.3079045104617997,0.07852061429810211
2007-05-23,2.3079045104617997,0.07852061429810211
2007-05-24,2.3079045104617997,0.07852061429810211
2007-05-25,2.3079045104617997,0.07852061429810211
2007-05-28,2.3079045104617997,0.07852061429810211
2007-05-29,2.3079045104617997,0.07852061429810211
2007-05-30,2.3079045104617997,0.07852061429810211
2007-05-31,2.3079045104617997,0.07852061429810211
2007-06-01,2.347542611308668,0.13787826695382893
2007-06-04,2.347542611308668,0.13787826695382893
2007-06-05,2.347542611308668,0.13787826695382893
2007-06-06,2.347542611308668,0.13787826695382893
2007-06-07,2.347542611308668,0.13787826695382893
2007-06-08,2.347542611308668,0.13787826695382893
2007-06-11,2.347542611308668,0.13787826695382893
2007-06-12,2.347542611308668,0.13787826695382893
2007-06-13,2.347542611308668,0.13787826695382893
2007-06-14,2.347542611308668,0.13787826695382893
2007-06-15,2.347542611308668,0.13787826695382893
2007-06-18,2.347542611308668,0.13787826695382893
2007-06-19,2.347542611308668,0.13787826695382893
2007-06-20,2.347542611308668,0.13787826695382893
2007-06-21,2.347542611308668,0.13787826695382893
2007-06-22,2.347542611308668,0.13787826695382893
2007-06-25,2.347542611308668,0.13787826695382893
2007-06-26,2.347542611308668,0.13787826695382893
2007-06-27,2.347542611308668,0.13787826695382893
2007-06-28,2.347542611308668,0.13787826695382893
2007-06-29,2.347542611308668,0.13787826695382893
2007-07-02,2.347542611308668,0.13787826695382893
2007-07-03,2.380533010044162,0.1905176920870902
2007-07-04,2.380533010044162,0.1905176920870902
2007-07-05,2.380533010044162,0.1905176920870902
2007-07-06,2.380533010044162,0.1905176920870902
2007-07-09,2.380533010044162,0.1905176920870902
2007-07-10,2.380533010044162,0.1905176920870902
2007-07-11,2.380533010044162,0.1905176920870902
2007-07-12,2.380533010044162,0.1905176920870902
2007-07-13,2.380533010044162,0.1905176920870902
2007-07-16,2.380533010044162,0.1905176920870902
2007-07-17,2.380533010044162,0.1905176920870902
2007-07-18,2.380533010044162,0.1905176920870902
2007-07-19,2.380533010044162,0.1905176920870902
2007-07-20,2.380533010044162,0.1905176920870902
2007-07-23,2.380533010044162,0.1905176920870902
2007-07-24,2.380533010044162,0.1905176920870902
2007-07-25,2.380533010044162,0.1905176920870902
2007-07-26,2.380533010044162,0.1905176920870902
2007-07-27,2.380533010044162,0.1905176920870902
2007-07-30,2.380533010044162,0.1905176920870902
2007-07-31,2.380533010044162,0.1905176920870902
2007-08-01,2.3931394111104183,0.261280191553419
2007-08-02,2.3931394111104183,0.261280191553419
2007-08-03,2.3931394111104183,0.261280191553419
2007-08-06,2.3931394111104183,0.261280191553419
2007-08-07,2.3931394111104183,0.261280191553419
2007-08-08,2.3931394111104183,0.261280191553419
2007-08-09,2.3931394111104183,0.261280191553419
2007-08-10,2.3931394111104183,0.261280191553419
2007-08-13,2.3931394111104183,0.261280191553419
2007-08-14,2.3931394111104183,0.261280191553419
2007-08-15,2.3931394111104183,0.261280191553419
2007-08-16,2.3931394111104183,0.261280191553419
2007-08-17,2.3931394111104183,0.261280191553419
2007-08-20,2.3931394111104183,0.261280191553419
2007-08-21,2.3931394111104183,0.261280191553419
2007-08-22,2.3931394111104183,0.261280191553419
2007-08-23,2.3931394111104183,0.261280191553419
2007-08-24,2.3931394111104183,0.261280191553419
2007-08-27,2.3931394111104183,0.261280191553419
2007-08-28,2.3931394111104183,0.261280191553419
2007-08-29,2.3931394111104183,0.261280191553419
2007-08-30,2.3931394111104183,0.261280191553419
2007-08-31,2.3931394111104183,0.261280191553419
2007-09-03,2.400347370342451,0.27207739020762334
2007-09-04,2.400347370342451,0.27207739020762334
2007-09-05,2.400347370342451,0.27207739020762334
2007-09-06,2.400347370342451,0.27207739020762334
2007-09-07,2.400347370342451,0.27207739020762334
2007-09-10,2.400347370342451,0.27207739020762334
2007-09-11,2.400347370342451,0.27207739020762334
2007-09-12,2.400347370342451,0.27207739020762334
2007-09-13,2.400347370342451,0.27207739020762334
2007-09-14,2.400347370342451,0.27207739020762334
2007-09-17,2.400347370342451,0.27207739020762334
2007-09-18,2.400347370342451,0.27207739020762334
2007-09-19,2.400347370342451,0.27207739020762334
2007-09-20,2.400347370342451,0.27207739020762334
2007-09-21,2.400347370342451,0.27207739020762334
2007-09-24,2.400347370342451,0.27207739020762334
2007-09-25,2.400347370342451,0.27207739020762334
2007-09-26,2.400347370342451,0.27207739020762334
2007-09-27,2.400347370342451,0.27207739020762334
2007-09-28,2.400347370342451,0.27207739020762334
2007-10-01,2.400347370342451,0.27207739020762334
2007-10-02,2.399367647008253,0.2754691514456588
2007-10-03,2.399367647008253,0.2754691514456588
2007-10-04,2.399367647008253,0.2754691514456588
2007-10-05,2.399367647008253,0.2754691514456588
2007-10-08,2.399367647008253,0.2754691514456588
2007-10-09,2.399367647008253,0.2754691514456588
2007-10-10,2.399367647008253,0.2754691514456588
2007-10-11,2.399367647008253,0.2754691514456588
2007-10-12,2.399367647008253,0.2754691514456588
2007-10-15,2.399367647008253,0.2754691514456588
2007-10-16,2.399367647008253,0.2754691514456588
2007-10-17,2.399367647008253,0.2754691514456588
2007-10-18,2.399367647008253,0.2754691514456588
2007-10-19,2.399367647008253,0.2754691514456588
2007-10-22,2.399367647008253,0.2754691514456588
2007-10-23,2.399367647008253,0.2754691514456588
2007-10-24,2.399367647008253,0.2754691514456588
2007-10-25,2.399367647008253,0.2754691514456588
2007-10-26,2.399367647008253,0.2754691514456588
2007-10-29,2.399367647008253,0.2754691514456588
2007-10-30,2.399367647008253,0.2754691514456588
2007-10-31,2.399367647008253,0.2754691514456588
2007-11-01,2.4410660682189493,0.31323984201756855
2007-11-02,2.4410660682189493,0.31323984201756855
2007-11-05,2.4410660682189493,0.31323984201756855
2007-11-06,2.4410660682189493,0.31323984201756855
2007-11-07,2.4410660682189493,0.31323984201756855
2007-11-08,2.4410660682189493,0.31323984201756855
2007-11-09,2.4410660682189493,0.31323984201756855
