date,USA_public_finance_f1__USA_public_finance_f2
2013-08-21,-0.9258113854193708
2013-08-22,-0.9267891075028899
2013-08-23,-0.9274593723484924
2013-08-26,-0.9279176780863049
2013-08-27,-0.9282305008543735
2013-08-28,-0.9284437657654153
2013-08-29,-0.9285890387636916
2013-08-30,-0.928687941507646
2013-09-02,-0.9287552495653207
2013-09-03,-0.9196375790938741
2013-09-04,-0.9212320773006385
2013-09-05,-0.9230070542211766
2013-09-06,-0.9245646698531593
2013-09-09,-0.9257971905588392
2013-09-10,-0.9267193237643119
2013-09-11,-0.9273865206290155
2013-09-12,-0.9278592039026792
2013-09-13,-0.9281895471512033
2013-09-16,-0.9284183487537162
2013-09-17,-0.9285758752822874
2013-09-18,-0.9286838954834452
2013-09-19,-0.9287577677680035
2013-09-20,-0.9288081948847577
2013-09-23,-0.9288425751394331
2013-09-24,-0.9288659952777338
2013-09-25,-0.9288819401987131
2013-09-26,-0.9288927916353064
2013-09-27,-0.9289001747213261
2013-09-30,-0.9289051971181881
2013-10-01,-0.9294849668786233
2013-10-02,-0.9286831611828074
2013-10-03,-0.9284240775693055
2013-10-04,-0.9284112625386629
2013-10-07,-0.9284899067072535
2013-10-08,-0.9285880309712286
2013-10-09,-0.9286768681521941
2013-10-10,-0.9287479949356352
2013-10-11,-0.9288014788673652
2013-10-14,-0.9288402668681478
2013-10-15,-0.9288677780683361
2013-10-16,-0.9288870160435464
2013-10-17,-0.928900344806057
2013-10-18,-0.9289095230856159
2013-10-21,-0.928915817530623
2013-10-22,-0.9289201224117437
2013-10-23,-0.9289230611486873
2013-10-24,-0.9289250647738667
2013-10-25,-0.9289264296834319
2013-10-28,-0.9289273589523785
2013-10-29,-0.9289279913778753
2013-10-30,-0.9289284216687388
2013-10-31,-0.9289287143780992
2013-11-01,-0.9286594622078006
2013-11-04,-0.9284977107151179
2013-11-05,-0.928514832760776
2013-11-06,-0.928589860501723
2013-11-07,-0.9286717553697649
2013-11-08,-0.9287422410826514
2013-11-11,-0.9287971833523936
2013-11-12,-0.9288378411887735
2013-11-13,-0.9288670306049875
2013-11-14,-0.9288875980362838
2013-11-15,-0.9289019179444054
2013-11-18,-0.9289118105032834
2013-11-19,-0.9289186092985391
2013-11-20,-0.9289232657587086
2013-11-21,-0.9289264475561387
2013-11-22,-0.9289286183060101
2013-11-25,-0.9289300977128312
2013-11-26,-0.9289311052340746
2013-11-27,-0.928931791053376
2013-11-28,-0.9289322577362815
2013-11-29,-0.9289325752311803
2013-12-02,-0.9289327911972269
2013-12-03,-0.9324971502953938
2013-12-04,-0.9313683243902812
2013-12-05,-0.9305933037749968
2013-12-06,-0.930064055958105
2013-12-09,-0.9297035905322969
2013-12-10,-0.9294583705279273
2013-12-11,-0.9292916291320109
2013-12-12,-0.9291782675152528
2013-12-13,-0.9291011981868477
2013-12-16,-0.9290488007059414
2013-12-17,-0.9290131755355316
2013-12-18,-0.9289889529976092
2013-12-19,-0.9289724829348397
2013-12-20,-0.9289612839011592
2013-12-23,-0.9289536688494741
2013-12-24,-0.9289484907531945
2013-12-25,-0.9289449697140617
2013-12-26,-0.9289425754393399
2013-12-27,-0.9289409473480267
2013-12-30,-0.9289398402535881
2013-12-31,-0.9289390874332346
2014-01-01,-0.9261021388883341
2014-01-02,-0.9268125916126004
2014-01-03,-0.9274025724850459
2014-01-06,-0.9278524607483548
2014-01-07,-0.9281806945722832
2014-01-08,-0.9284141469104424
2014-01-09,-0.9285776165657544
2014-01-10,-0.9286909535313632
2014-01-13,-0.9287690277518772
2014-01-14,-0.9288225823882754
2014-01-15,-0.9288592139806132
2014-01-16,-0.9288842225546865
2014-01-17,-0.9289012741803644
2014-01-20,-0.9289128904512122
2014-01-21,-0.9289207992971944
2014-01-22,-0.9289261818327438
2014-01-23,-0.9289298440453708
2014-01-24,-0.9289323353145471
2014-01-27,-0.928934029822878
2014-01-28,-0.9289351822939513
2014-01-29,-0.9289359660689281
2014-01-30,-0.9289364990794506
2014-01-31,-0.9289368615465844
2014-02-03,-0.9262883180011335
2014-02-04,-0.9270163910796884
2014-02-05,-0.9275772767354785
2014-02-06,-0.9279880320643225
2014-02-07,-0.9282805971073301
2014-02-10,-0.9284855707958389
2014-02-11,-0.9286277107239957
2014-02-12,-0.9287256317060149
2014-02-13,-0.9287928003554565
2014-02-14,-0.9288387434016111
2014-02-17,-0.928870108466704
2014-02-18,-0.9288914938547879
2014-02-19,-0.9289060623077565
2014-02-20,-0.9289159810450566
2014-02-21,-0.9289227314171069
2014-02-24,-0.928927324270909
2014-02-25,-0.9289304486125083
2014-02-26,-0.9289325737191567
2014-02-27,-0.9289340190473743
2014-02-28,-0.928935001988371
2014-03-03,-0.928116608370665
2014-03-04,-0.9282822659265573
2014-03-05,-0.9284467481823511
2014-03-06,-0.9285827747996075
2014-03-07,-0.9286865226099077
2014-03-10,-0.9287622955656183
2014-03-11,-0.9288162442059871
2014-03-12,-0.9288540519946524
2014-03-13,-0.9288802811588809
2014-03-14,-0.9288983576027543
2014-03-17,-0.9289107609118759
2014-03-18,-0.9289192466593366
2014-03-19,-0.9289250407847449
2014-03-20,-0.9289289918036652
2014-03-21,-0.9289316835888088
2014-03-24,-0.9289335163568205
2014-03-25,-0.9289347637271498
2014-03-26,-0.9289356124417645
2014-03-27,-0.9289361897999546
2014-03-28,-0.928936582510753
2014-03-31,-0.9289368496035662
2014-04-01,-0.9221040174792154
2014-04-02,-0.92407483686494
2014-04-03,-0.925538186066693
2014-04-04,-0.9265848451884003
2014-04-07,-0.9273188822409933
2014-04-08,-0.927827887014004
2014-04-09,-0.9281784316838274
2014-04-10,-0.9284188043828878
2014-04-11,-0.9285831706509261
2014-04-14,-0.9286953577321708
2014-04-15,-0.9287718369514304
2014-04-16,-0.928823931188552
2014-04-17,-0.9288593959931615
2014-04-18,-0.9288835308419715
2014-04-21,-0.9288999512047342
2014-04-22,-0.9289111210498314
2014-04-23,-0.9289187183889498
2014-04-24,-0.9289238854298582
2014-04-25,-0.9289273994092507
2014-04-28,-0.9289297890952521
2014-04-29,-0.9289314141642717
2014-04-30,-0.9289325192488991
2014-05-01,-0.9282014642564259
2014-05-02,-0.9283430812655018
2014-05-05,-0.9284890805646209
2014-05-06,-0.9286115754351282
2014-05-07,-0.928705683693482
2014-05-08,-0.9287747015765215
2014-05-09,-0.9288239649380866
2014-05-12,-0.9288585445056897
2014-05-13,-0.9288825590245989
2014-05-14,-0.9288991205368924
2014-05-15,-0.9289104895510719
2014-05-16,-0.9289182700654898
2014-05-19,-0.9289235837490034
2014-05-20,-0.928927207659299
2014-05-21,-0.92892967682202
2014-05-22,-0.9289313581196812
2014-05-23,-0.9289325024499466
2014-05-26,-0.9289332810787491
2014-05-27,-0.9289338107700221
2014-05-28,-0.9289341710633697
2014-05-29,-0.9289344161105005
2014-05-30,-0.9289345827645148
2014-06-02,-0.9289346960993529
2014-06-03,-0.9274744109663536
2014-06-04,-0.9278654567086076
2014-06-05,-0.9281727362608257
2014-06-06,-0.9284004752196907
2014-06-09,-0.9285639223766855
2014-06-10,-0.928679004228912
2014-06-11,-0.9287590708693937
2014-06-12,-0.9288143505044634
2014-06-13,-0.9288523254756837
2014-06-16,-0.9288783260869323
2014-06-17,-0.9288960885378685
2014-06-18,-0.9289082049030594
2014-06-19,-0.9289164615429238
2014-06-20,-0.9289220841500667
2014-06-23,-0.9289259112621386
2014-06-24,-0.9289285154259666
2014-06-25,-0.9289302870553772
2014-06-26,-0.9289314921318357
2014-06-27,-0.928932311753846
2014-06-30,-0.9289328691751909
2014-07-01,-0.9277623064622343
2014-07-02,-0.9280796133284132
2014-07-03,-0.9283265500493997
2014-07-04,-0.9285086477555885
2014-07-07,-0.9286389607104417
2014-07-08,-0.9287305510855753
2014-07-09,-0.9287942025896725
2014-07-10,-0.9288381170008845
2014-07-11,-0.9288682700841308
2014-07-14,-0.9288889086555027
2014-07-15,-0.928903004994528
2014-07-16,-0.9289126192005592
2014-07-17,-0.928919170120285
2014-07-18,-0.9289236308730426
2014-07-21,-0.9289266670162792
2014-07-22,-0.9289287329018245
2014-07-23,-0.9289301383082224
2014-07-24,-0.9289310942635418
2014-07-25,-0.9289317444418724
2014-07-28,-0.928932186622465
2014-07-29,-0.9289324873325729
2014-07-30,-0.9289326918279853
2014-07-31,-0.9289328308906047
