label,n_series,n_observations,dcc_a,dcc_b,a_plus_b,adcc_gamma,correlation_model_used,garch_quality_gate_triggered,garch_quality_gate_min_convergence_rate,garch_quality_gate_shrinkage,dcc_max_a,dcc_a_at_upper_bound,dcc_large_a_penalty_lambda,dcc_large_a_penalty_threshold,adcc_max_a,adcc_a_at_upper_bound,adcc_large_a_penalty_lambda,adcc_large_a_penalty_threshold,adcc_guardrail_triggered,adcc_ll_improvement_per_obs,update_success_rate,smoothness_mean,smoothness_75pct,successful_updates,total_updates,spd_projection_dates,garch_converged,garch_total,garch_convergence_rate,validation_checks_passed,validation_checks_total,overfitting_flag,status,block_label,block_id,country,block_key,series_covered,missing_series,already_assigned
ita_public_finance (Italy:public_finance),2,6980,0.2,0.7799990048723214,0.9799990048723215,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.010659979504038943,0.002744991614311465,6980,6980,0,2,2,1.0,3,3,False,completed,ita_public_finance (Italy:public_finance),ita_public_finance,Italy,public_finance,2,,
ita_external_fx (Italy:external_fx),2,6980,0.07563590166600465,0.9043628200245061,0.9799987216905107,,dcc,False,0.5,0.2,0.2,False,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0071779835117406175,0.002338458176194491,6980,6980,0,2,2,1.0,3,3,False,completed,ita_external_fx (Italy:external_fx),ita_external_fx,Italy,external_fx,2,,
ita_financial_markets (Italy:financial_markets),2,6980,0.2,0.7799990709088326,0.9799990709088326,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.018335000437666386,0.0078546978502807,6980,6980,0,2,2,1.0,3,3,False,completed,ita_financial_markets (Italy:financial_markets),ita_financial_markets,Italy,financial_markets,2,,
ita_banking_system (Italy:banking_system),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0023192444404870395,0.0003646100391428708,6980,6980,0,2,2,1.0,3,3,False,completed,ita_banking_system (Italy:banking_system),ita_banking_system,Italy,banking_system,2,,
ita_systemic_stress (Italy:systemic_stress),2,6980,0.2,0.7799990933270761,0.9799990933270761,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.009119088075189373,0.0017349546015094641,6980,6980,0,2,2,1.0,3,3,False,completed,ita_systemic_stress (Italy:systemic_stress),ita_systemic_stress,Italy,systemic_stress,2,,
ita_commodities (Italy:commodities),2,6980,0.2,0.7799989999998023,0.9799989999998022,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.007070412812337675,0.0015831976682803006,6567,6567,0,2,2,1.0,3,3,False,completed,ita_commodities (Italy:commodities),ita_commodities,Italy,commodities,2,,
esp_macro (Spain:macro),2,6980,0.2,0.7799990791883556,0.9799990791883557,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0039760295010319606,0.0003108453621559759,6980,6980,0,2,2,1.0,3,3,False,completed,esp_macro (Spain:macro),esp_macro,Spain,macro,2,,
esp_real_estate (Spain:real_estate),2,6980,0.2,0.7799990276736861,0.9799990276736861,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0019046127998673464,0.00010750803721754076,6720,6720,0,1,2,0.5,2,3,False,completed,esp_real_estate (Spain:real_estate),esp_real_estate,Spain,real_estate,2,,
esp_public_finance (Spain:public_finance),2,6980,0.04,0.92,0.9600000000000001,,dcc,False,0.5,0.2,0.2,False,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.004068142496113494,0.0012476872160606667,6980,6980,0,2,2,1.0,3,3,False,completed,esp_public_finance (Spain:public_finance),esp_public_finance,Spain,public_finance,2,,
esp_external_fx (Spain:external_fx),2,6980,0.07563590166600465,0.9043628200245061,0.9799987216905107,,dcc,False,0.5,0.2,0.2,False,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.0071779835117406175,0.002338458176194491,6980,6980,0,2,2,1.0,3,3,False,completed,esp_external_fx (Spain:external_fx),esp_external_fx,Spain,external_fx,2,,
esp_financial_markets (Spain:financial_markets),2,6980,0.2,0.7799990017366607,0.9799990017366607,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.019201014254614342,0.008792478133930026,6980,6980,0,2,2,1.0,3,3,False,completed,esp_financial_markets (Spain:financial_markets),esp_financial_markets,Spain,financial_markets,2,,
esp_banking_system (Spain:banking_system),2,6980,0.19999999999297197,0.7656561726291942,0.9656561726221662,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.006064921903072042,0.0008408248192665058,6980,6980,0,1,2,0.5,2,3,False,completed,esp_banking_system (Spain:banking_system),esp_banking_system,Spain,banking_system,2,,
esp_systemic_stress (Spain:systemic_stress),2,6980,0.2,0.7799990933270761,0.9799990933270761,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.009119088075189373,0.0017349546015094641,6980,6980,0,2,2,1.0,3,3,False,completed,esp_systemic_stress (Spain:systemic_stress),esp_systemic_stress,Spain,systemic_stress,2,,
esp_commodities (Spain:commodities),2,6980,0.2,0.7799989999998023,0.9799989999998022,,dcc,False,0.5,0.2,0.2,True,50.0,0.12,0.2,False,0.0,0.2,False,,1.0,0.007070412812337675,0.0015831976682803006,6567,6567,0,2,2,1.0,3,3,False,completed,esp_commodities (Spain:commodities),esp_commodities,Spain,commodities,2,,
