date,DEU_public_finance_f1__DEU_public_finance_f2
2014-02-13,-0.8277986271834913
2014-02-14,-0.8459953322853307
2014-02-17,-0.8583130272232612
2014-02-18,-0.8666621890679629
2014-02-19,-0.8723265002857613
2014-02-20,-0.8761716778074922
2014-02-21,-0.8787830308341281
2014-02-24,-0.880556962739826
2014-02-25,-0.8817622519926139
2014-02-26,-0.8825812861271104
2014-02-27,-0.8831378961595449
2014-02-28,-0.8835161872320486
2014-03-03,-0.8831731742613436
2014-03-04,-0.8835347507219597
2014-03-05,-0.8837797899699956
2014-03-06,-0.8839460110798514
2014-03-07,-0.8840588395326703
2014-03-10,-0.8841354596192108
2014-03-11,-0.8841875067514721
2014-03-12,-0.8842228689638483
2014-03-13,-0.8842468983218252
2014-03-14,-0.8842632283060489
2014-03-17,-0.884274326623257
2014-03-18,-0.8842818696800435
2014-03-19,-0.8842869965281471
2014-03-20,-0.8842904812028625
2014-03-21,-0.8842928497387263
2014-03-24,-0.8842944596491598
2014-03-25,-0.8842955539234688
2014-03-26,-0.884296297717267
2014-03-27,-0.8842968032859544
2014-03-28,-0.8842971469298573
2014-03-31,-0.884297380510959
2014-04-01,-0.7480971152988432
2014-04-02,-0.7836134940248649
2014-04-03,-0.809168287291138
2014-04-04,-0.8272425569097426
2014-04-07,-0.839870865772379
2014-04-08,-0.8486188484097753
2014-04-09,-0.8546428431518379
2014-04-10,-0.8587740470089568
2014-04-11,-0.8615992063576208
2014-04-14,-0.8635274867447268
2014-04-15,-0.8648418769149281
2014-04-16,-0.865737009923165
2014-04-17,-0.8663462445442647
2014-04-18,-0.866760721427733
2014-04-21,-0.8670426198952028
2014-04-22,-0.8672343106738428
2014-04-23,-0.8673646431588272
2014-04-24,-0.8674532496090023
2014-04-25,-0.8675134849850629
2014-04-28,-0.8675544317867165
2014-04-29,-0.8675822658208285
2014-04-30,-0.8676011859475263
2014-05-01,-0.8217256070347883
2014-05-02,-0.8360051533113659
2014-05-05,-0.8478930705993873
2014-05-06,-0.8571632879711392
2014-05-07,-0.8640847626339697
2014-05-08,-0.8691018771715007
2014-05-09,-0.8726655138288391
2014-05-12,-0.8751617286343276
2014-05-13,-0.8768936316611521
2014-05-14,-0.8780874231267897
2014-05-15,-0.8789066348724632
2014-05-16,-0.8794670924178581
2014-05-19,-0.8798497313472154
2014-05-20,-0.8801106005201779
2014-05-21,-0.880288280851012
2014-05-22,-0.8804092214944313
2014-05-23,-0.8804915049034077
2014-05-26,-0.880547470495026
2014-05-27,-0.8805855280370591
2014-05-28,-0.8806114041918492
2014-05-29,-0.880628996285474
2014-05-30,-0.8806409556277738
2014-06-02,-0.8806490853932876
2014-06-03,-0.7126113080310928
2014-06-04,-0.7236335123808219
2014-06-05,-0.7446367910113932
2014-06-06,-0.7696127465517958
2014-06-09,-0.7943630061729431
2014-06-10,-0.8163542366694833
2014-06-11,-0.8344679483574127
2014-06-12,-0.8485883372384257
2014-06-13,-0.8591620618537922
2014-06-16,-0.866853290764972
2014-06-17,-0.8723331701158432
2014-06-18,-0.8761809799427449
2014-06-19,-0.8788554676567919
2014-06-20,-0.8807013826758393
2014-06-23,-0.8819692662605948
2014-06-24,-0.882837236515333
2014-06-25,-0.8834300855669474
2014-06-26,-0.8838343917129265
2014-06-27,-0.8841098258551937
2014-06-30,-0.8842973308165737
2014-07-01,-0.8143778601566356
2014-07-02,-0.8338463604186115
2014-07-03,-0.8484490414007547
2014-07-04,-0.85901526117027
2014-07-07,-0.866498241396187
2014-07-08,-0.8717257010048091
2014-07-09,-0.875344888139171
2014-07-10,-0.8778356730662346
2014-07-11,-0.8795430064907284
2014-07-14,-0.8807101500551083
2014-07-15,-0.881506555866553
2014-07-16,-0.882049312631277
2014-07-17,-0.8824188941082013
2014-07-18,-0.882670410779345
2014-07-21,-0.8828415126184552
2014-07-22,-0.8829578791234035
2014-07-23,-0.8830370058948136
2014-07-24,-0.8830908038777923
2014-07-25,-0.8831273778882444
2014-07-28,-0.8831522409574634
2014-07-29,-0.8831691422642279
2014-07-30,-0.8831806310608334
2014-07-31,-0.8831884405229835
2014-08-01,-0.8543630616623694
2014-08-04,-0.8623171669270737
2014-08-05,-0.8678646035674378
2014-08-06,-0.8716974262532372
2014-08-07,-0.8743305352217462
2014-08-08,-0.8761329406702704
2014-08-11,-0.8773638333927862
2014-08-12,-0.8782031357294828
2014-08-13,-0.8787748392962873
2014-08-14,-0.879163996028129
2014-08-15,-0.8794287710193
2014-08-18,-0.8796088626186503
2014-08-19,-0.8797313293006801
2014-08-20,-0.8798145976772073
2014-08-21,-0.8798712085622505
2014-08-22,-0.879909693525751
2014-08-25,-0.8799358550301587
2014-08-26,-0.8799536386884058
2014-08-27,-0.8799657271349306
2014-08-28,-0.8799739441440304
2014-08-29,-0.8799795295260954
2014-09-01,-0.8799833260765844
2014-09-02,-0.7037372443309018
2014-09-03,-0.7151671282110178
2014-09-04,-0.7369171615690359
2014-09-05,-0.7629008227003871
2014-09-08,-0.7887964675369578
2014-09-09,-0.8119340254437952
2014-09-10,-0.8310859006545073
2014-09-11,-0.8460760016964516
2014-09-12,-0.8573363612063211
2014-09-15,-0.8655463657779261
2014-09-16,-0.871405905046239
2014-09-17,-0.8755253341390777
2014-09-18,-0.8783910758143614
2014-09-19,-0.8803701746824546
2014-09-22,-0.8817300973705021
2014-09-23,-0.8826613396613432
2014-09-24,-0.8832975287238475
2014-09-25,-0.8837314489984319
2014-09-26,-0.884027084516591
2014-09-29,-0.8842283541850239
2014-09-30,-0.8843653094937078
2014-10-01,-0.6664461012385794
2014-10-02,-0.713180371256689
2014-10-03,-0.7506215208366198
2014-10-06,-0.7793244840344652
2014-10-07,-0.8005930648974813
2014-10-08,-0.8159585998427347
2014-10-09,-0.8268572406306333
2014-10-10,-0.8344870607424577
2014-10-13,-0.8397796474302942
2014-10-14,-0.8434276078973911
2014-10-15,-0.8459309461317642
2014-10-16,-0.847643622102992
2014-10-17,-0.8488129371108699
2014-10-20,-0.8496101486176909
2014-10-21,-0.8501531446646371
2014-10-22,-0.8505227467242604
2014-10-23,-0.8507742118775471
2014-10-24,-0.8509452484725112
2014-10-27,-0.8510615566769163
2014-10-28,-0.8511406373776976
2014-10-29,-0.8511944010701603
2014-10-30,-0.8512309503983526
2014-10-31,-0.8512557960557042
2014-11-03,-0.6331076104778324
2014-11-04,-0.644916880578308
2014-11-05,-0.6690926919322282
2014-11-06,-0.7003464554628184
2014-11-07,-0.7339967316988764
2014-11-10,-0.7662939656767385
2014-11-11,-0.7947561229967671
2014-11-12,-0.8182209905332111
2014-11-13,-0.8365860686400319
2014-11-14,-0.8504003210074225
2014-11-17,-0.8604887419860284
2014-11-18,-0.8676994064996771
2014-11-19,-0.8727746116276706
2014-11-20,-0.8763083386144608
2014-11-21,-0.8787502990894812
2014-11-24,-0.8804290280634536
2014-11-25,-0.8815789426791356
2014-11-26,-0.8823646914316385
2014-11-27,-0.8829007010448967
2014-11-28,-0.8832659289112147
2014-12-01,-0.8835145947709904
2014-12-02,-0.8438241205316306
2014-12-03,-0.8495974535637065
2014-12-04,-0.8568186186093267
2014-12-05,-0.8636389694088
2014-12-08,-0.8693230224848321
2014-12-09,-0.8737352620164428
2014-12-10,-0.8770115282703441
2014-12-11,-0.8793748468623808
2014-12-12,-0.8810470718747526
2014-12-15,-0.8822150670680505
2014-12-16,-0.8830237663155556
2014-12-17,-0.8835803867680782
2014-12-18,-0.8839619667298375
2014-12-19,-0.8842228384166144
2014-12-22,-0.8844008562610657
2014-12-23,-0.8845221821256282
2014-12-24,-0.8846047995703212
2014-12-25,-0.8846610256328009
2014-12-26,-0.8846992756834452
2014-12-29,-0.8847252898401383
2014-12-30,-0.8847429790418869
2014-12-31,-0.8847550059183661
2015-01-01,-0.8759479034411934
2015-01-02,-0.8786199561404046
2015-01-05,-0.8805156601316877
2015-01-06,-0.8818362619376445
2015-01-07,-0.8827473938856103
2015-01-08,-0.8833725566456119
2015-01-09,-0.8838000787257396
2015-01-12,-0.8840918339086656
2015-01-13,-0.8842906708525111
2015-01-14,-0.8844260635904885
