date,DEU_real_estate_f1__DEU_real_estate_f2
2014-03-18,-0.8414148222630051
2014-03-19,-0.8414143624257067
2014-03-20,-0.8414140046124157
2014-03-21,-0.8414137260412463
2014-03-24,-0.8414135090741167
2014-03-25,-0.8414133400335106
2014-03-26,-0.8414132082997576
2014-03-27,-0.8414131056192026
2014-03-28,-0.8414130255720591
2014-03-31,-0.8414129631618853
2014-04-01,-0.6952855985188406
2014-04-02,-0.44015609746698064
2014-04-03,-0.21923028663203617
2014-04-04,-0.030442494351352586
2014-04-07,0.1290465639411352
2014-04-08,0.26227684544720276
2014-04-09,0.372397118167482
2014-04-10,0.46254110509891205
2014-04-11,0.5357052672741479
2014-04-14,0.5946522792535545
2014-04-15,0.6418500325921727
2014-04-16,0.679445203592844
2014-04-17,0.7092644794825821
2014-04-18,0.7328346804163
2014-04-21,0.7514136932919672
2014-04-22,0.76602593380131
2014-04-23,0.7774980415037389
2014-04-24,0.7864922190705121
2014-04-25,0.7935358983248436
2014-04-28,0.7990472691207882
2014-04-29,0.8033567267972489
2014-04-30,0.8067245753382126
2014-05-01,0.8132575081557037
2014-05-02,0.8177704430736363
2014-05-05,0.8212773377693383
2014-05-06,0.8239986438729421
2014-05-07,0.8261126057072239
2014-05-08,0.8277562404952306
2014-05-09,0.8290350849909176
2014-05-12,0.8300306457746323
2014-05-13,0.8308060056642721
2014-05-14,0.8314100706411497
2014-05-15,0.8318808061392419
2014-05-16,0.8322477151517489
2014-05-19,0.8325337431642714
2014-05-20,0.8327567470321535
2014-05-21,0.832930630408643
2014-05-22,0.8330662231285534
2014-05-23,0.8331719633314959
2014-05-26,0.8332544272116396
2014-05-27,0.8333187408208064
2014-05-28,0.8333689004227448
2014-05-29,0.8334080218513116
2014-05-30,0.8334385346947316
2014-06-02,0.8334623335676354
2014-06-03,0.8387159966895062
2014-06-04,0.8408929175331177
2014-06-05,0.8426388916232451
2014-06-06,0.8440352526582833
2014-06-09,0.8451446743920535
2014-06-10,0.846021961404555
2014-06-11,0.8467133297816622
2014-06-12,0.8472568249310287
2014-06-13,0.8476832850748037
2014-06-16,0.848017447742659
2014-06-17,0.848279013273842
2014-06-18,0.84848358932602
2014-06-19,0.8486434943845934
2014-06-20,0.8487684236895254
2014-06-23,0.848865991833345
2014-06-24,0.8489421697771333
2014-06-25,0.849001633967794
2014-06-26,0.8490480435978307
2014-06-27,0.8490842598466368
2014-06-30,0.8491125186858957
2014-07-01,0.7410053099292601
2014-07-02,0.6476760584724734
2014-07-03,0.5653643234602534
2014-07-04,0.4930376952464036
2014-07-07,0.42981748240841616
2014-07-08,0.3749243112172248
2014-07-09,0.3276402017730786
2014-07-10,0.2872767932327721
2014-07-11,0.25315434546546167
2014-07-14,0.22459393020782642
2014-07-15,0.20092179316874345
2014-07-16,0.18148200702145226
2014-07-17,0.16565233850376868
2014-07-18,0.15285882630031455
2014-07-21,0.14258621688327067
2014-07-22,0.1343832355676373
2014-07-23,0.1278630607966417
2014-07-24,0.12270011796849277
2014-07-25,0.11862450912253267
2014-07-28,0.1154152549064868
2014-07-29,0.11289323973592086
2014-07-30,0.11091444923766117
2014-07-31,0.10936383546970181
2014-08-01,0.2565368829092979
2014-08-04,0.3529482030281017
2014-08-05,0.4224612828715043
2014-08-06,0.4737448649720052
2014-08-07,0.5121583648673234
2014-08-08,0.5412355556162575
2014-08-11,0.5634111458597315
2014-08-12,0.5804158768582208
2014-08-13,0.5935083332405524
2014-08-14,0.6036192266721422
2014-08-15,0.6114454876920408
2014-08-18,0.6175139437222152
2014-08-19,0.622225707121449
2014-08-20,0.6258878547615638
2014-08-21,0.6287364658504592
2014-08-22,0.6309536268786188
2014-08-25,0.6326801325570076
2014-08-26,0.634025061005996
2014-08-27,0.6350730457356717
2014-08-28,0.6358898304783307
2014-08-29,0.6365265316760468
2014-09-01,0.6370229209719609
2014-09-02,0.6596620021315474
2014-09-03,0.6741175680733545
2014-09-04,0.6851965583431016
2014-09-05,0.6937308243340271
2014-09-08,0.7003247213034668
2014-09-09,0.7054308029585799
2014-09-10,0.7093914257397798
2014-09-11,0.712467476543288
2014-09-12,0.7148588473095561
2014-09-15,0.7167193283495017
2014-09-16,0.7181676127104841
2014-09-17,0.7192955260436119
2014-09-18,0.7201742394350936
2014-09-19,0.7208589937470342
2014-09-22,0.7213927123998597
2014-09-23,0.7218087762580528
2014-09-24,0.7221331622217678
2014-09-25,0.7223860958038621
2014-09-26,0.7225833307811758
2014-09-29,0.7227371416691329
2014-09-30,0.7228570944314134
2014-10-01,0.7474939555869125
2014-10-02,0.7676339796208667
2014-10-03,0.7833596760490679
2014-10-06,0.7956161363594677
2014-10-07,0.8051557649086574
2014-10-08,0.8125788774391287
2014-10-09,0.8183560214856256
2014-10-10,0.8228535332779544
2014-10-13,0.8263559822637391
2014-10-14,0.8290843334215264
2014-10-15,0.8312102181475659
2014-10-16,0.8328670234512578
2014-10-17,0.8341584760739831
2014-10-20,0.83516528257992
2014-10-21,0.835950268438605
2014-10-22,0.8365623593654623
2014-10-23,0.8370396690937209
2014-10-24,0.8374118965748218
2014-10-27,0.8377021887159745
2014-10-28,0.8379285889059869
2014-10-29,0.8381051641356823
2014-10-30,0.838242882469328
2014-10-31,0.8383502964385756
2014-11-03,0.8415598363354526
2014-11-04,0.8426552923959755
2014-11-05,0.8435233351357615
2014-11-06,0.844212772194182
2014-11-07,0.8447579822416914
2014-11-10,0.8451877067077062
2014-11-11,0.8455255716290582
2014-11-12,0.8457907207533332
2014-11-13,0.8459985118343162
2014-11-14,0.8461611783855884
2014-11-17,0.8462884152711986
2014-11-18,0.8463878764214586
2014-11-19,0.8464655873750607
2014-11-20,0.8465262815844871
2014-11-21,0.8465736714407561
2014-11-24,0.8466106649092641
2014-11-25,0.8466395376631826
2014-11-26,0.8466620692550759
2014-11-27,0.8466796504849726
2014-11-28,0.8466933678466787
2014-12-01,0.8467040698198703
2014-12-02,0.8506232600354425
2014-12-03,0.851986104991597
2014-12-04,0.8530731896173057
2014-12-05,0.8539408653257557
2014-12-08,0.8546294531495094
2014-12-09,0.8551735844186691
2014-12-10,0.8556022166510225
2014-12-11,0.8559390789667493
2014-12-12,0.8562033553001737
2014-12-15,0.8564104108097235
2014-12-16,0.8565724704764576
2014-12-17,0.8566992139236524
2014-12-18,0.8567982780262179
2014-12-19,0.8568756719017491
2014-12-22,0.8569361143095977
2014-12-23,0.8569833050392658
2014-12-24,0.8570201415355748
2014-12-25,0.8570488908462908
2014-12-26,0.8570713255416316
2014-12-29,0.8570888308208284
2014-12-30,0.8571024887151633
2014-12-31,0.8571131441664791
2015-01-01,0.8421995342315793
2015-01-02,0.8495761152476939
2015-01-05,0.8553709418145323
2015-01-06,0.8599185307881877
2015-01-07,0.8634826513209097
2015-01-08,0.8662730934295917
2015-01-09,0.8684560228828552
2015-01-12,0.8701626112725906
2015-01-13,0.8714961339903586
2015-01-14,0.8725377361432786
2015-01-15,0.8733510725833693
2015-01-16,0.8739860153375103
2015-01-19,0.8744815997602968
2015-01-20,0.8748683559360982
2015-01-21,0.8751701476534556
2015-01-22,0.8754056193411542
2015-01-23,0.8755893323411862
2015-01-26,0.875732655880716
2015-01-27,0.8758444648849626
2015-01-28,0.8759316860118239
2015-01-29,0.875999724619583
2015-01-30,0.8760527984478345
2015-02-02,0.8760941982820494
2015-02-03,0.8786835001892408
2015-02-04,0.8786552264408765
2015-02-05,0.8786212365311695
2015-02-06,0.8785944609874667
2015-02-09,0.8785735633203853
2015-02-10,0.8785572589524506
2015-02-11,0.8785445392350543
2015-02-12,0.8785346165325886
2015-02-13,0.8785268760596208
2015-02-16,0.8785208380449391
2015-02-17,0.8785161281322018
2015-02-18,0.8785124542464376
2015-02-19,0.8785095885247171
2015-02-20,0.8785073532080823
2015-02-23,0.8785056096293784
2015-02-24,0.8785042496192831
2015-02-25,0.8785031888004304
2015-02-26,0.8785023613553296
2015-02-27,0.878501715944466
2015-03-02,0.8785012125219049
2015-03-03,0.8785008198511545
2015-03-04,0.8785005135673576
2015-03-05,0.8785002746656931
2015-03-06,0.8785000883222644
2015-03-09,0.8784999429743523
2015-03-10,0.8784998296029903
2015-03-11,0.8784997411733593
2015-03-12,0.8784996721982857
2015-03-13,0.8784996183977669
2015-03-16,0.8784995764333983
2015-03-17,0.8784995437012214
2015-03-18,0.8784995181701498
2015-03-19,0.8784994982559353
2015-03-20,0.8784994827228658
2015-03-23,0.8784994706070857
2015-03-24,0.8784994611567886
2015-03-25,0.8784994537855656
2015-03-26,0.8784994480360189
2015-03-27,0.878499443551378
2015-03-30,0.8784994400533626
2015-03-31,0.8784994373249139
2015-04-01,0.8782429722609874
2015-04-02,0.8786834790065271
2015-04-03,0.8790554701594645
2015-04-06,0.8793631668041411
2015-04-07,0.8796140510197953
2015-04-08,0.8798164704686378
2015-04-09,0.8799785053909343
2015-04-10,0.8801074418310519
2015-04-13,0.8802095755241497
2015-04-14,0.8802901967982001
2015-04-15,0.8803536664399163
2015-04-16,0.8804035300405049
2015-04-17,0.8804426416508888
2015-04-20,0.8804732816371571
2015-04-21,0.8804972618401257
2015-04-22,0.8805160157511156
2015-04-23,0.8805306738565911
2015-04-24,0.880542125476626
2015-04-27,0.8805510688774759
2015-04-28,0.8805580515075488
2015-04-29,0.8805635020824936
2015-04-30,0.8805677560392553
2015-05-01,0.8804465923015736
2015-05-04,0.8805329638400672
2015-05-05,0.8806132743178217
2015-05-06,0.8806788356983726
2015-05-07,0.8807316353566883
2015-05-08,0.8807738275543094
2015-05-11,0.8808073509586539
2015-05-12,0.8808338724581067
2015-05-13,0.880854786306699
2015-05-14,0.8808712372605902
2015-05-15,0.8808841530535287
2015-05-18,0.8808942785049261
2015-05-19,0.8809022074642153
2015-05-20,0.8809084109763986
2015-05-21,0.8809132612278757
2015-05-22,0.8809170514268434
2015-05-25,0.880920012041709
2015-05-26,0.8809223239122278
2015-05-27,0.8809241287470334
2015-05-28,0.8809255374764959
2015-05-29,0.8809266368681999
2015-06-01,0.8809274947480126
2015-06-02,0.8822457056745455
2015-06-03,0.8820552011521253
2015-06-04,0.8818988357719489
2015-06-05,0.8817764085598813
2015-06-08,0.8816807247038431
2015-06-09,0.8816059771474551
2015-06-10,0.8815476045759137
2015-06-11,0.8815020316713382
2015-06-12,0.8814664590612147
2015-06-15,0.8814386967607172
2015-06-16,0.8814170326376547
2015-06-17,0.8814001288271096
2015-06-18,0.8813869403322293
2015-06-19,0.8813766511654983
2015-06-22,0.8813686243150967
2015-06-23,0.8813623625823296
2015-06-24,0.8813574779518115
2015-06-25,0.881353667649672
2015-06-26,0.8813506954382
2015-06-29,0.8813483770069498
2015-06-30,0.8813465685664139
2015-07-01,0.8613665125183066
2015-07-02,0.8644994981297841
2015-07-03,0.8669500282279766
2015-07-06,0.8688565724895816
2015-07-07,0.8703405986447001
2015-07-08,0.8714962685523974
2015-07-09,0.8723965553030272
2015-07-10,0.8730980889647558
2015-07-13,0.8736448658373117
2015-07-14,0.8740710967939028
2015-07-15,0.8744034018291577
2015-07-16,0.8746625053741927
2015-07-17,0.8748645486883171
2015-07-20,0.875022107488939
2015-07-21,0.8751449820403983
2015-07-22,0.8752408111994614
2015-07-23,0.8753155500199186
2015-07-24,0.8753738414632246
2015-07-27,0.8754193058337514
2015-07-28,0.8754547662348303
2015-07-29,0.8754824242399127
2015-07-30,0.8755039968037986
2015-07-31,0.875520822985087
2015-08-03,0.8709265818695916
2015-08-04,0.8711339626384271
2015-08-05,0.871310813285789
2015-08-06,0.8714524658733375
2015-08-07,0.8715651044461702
2015-08-10,0.8716542693509801
2015-08-11,0.8717246137027788
2015-08-12,0.8717799667516875
2015-08-13,0.8718234370278473
2015-08-14,0.8718575233298076
2015-08-17,0.8718842198755966
2015-08-18,0.8719051096492255
2015-08-19,0.8719214441157015
2015-08-20,0.8719342096055456
2015-08-21,0.8719441816569958
2015-08-24,0.8719519689631817
2015-08-25,0.8719580486008238
2015-08-26,0.8719627940868482
2015-08-27,0.8719664976144791
2015-08-28,0.8719693876115769
2015-08-31,0.8719716425664797
2015-09-01,0.869556650990145
2015-09-02,0.8695147047455583
2015-09-03,0.8694908737485814
2015-09-04,0.8694746198681829
2015-09-07,0.8694633032670047
2015-09-08,0.8694553051852109
2015-09-09,0.8694495718795409
2015-09-10,0.8694454077148145
2015-09-11,0.8694423471556724
2015-09-14,0.8694400740908136
2015-09-15,0.8694383706110387
2015-09-16,0.869437084210603
2015-09-17,0.8694361065731828
2015-09-18,0.869435359690683
2015-09-21,0.8694347866614305
2015-09-22,0.8694343455034871
2015-09-23,0.8694340049326218
2015-09-24,0.8694337414367505
2015-09-25,0.8694335372178482
2015-09-28,0.8694333787229194
2015-09-29,0.8694332555811104
2015-09-30,0.8694331598251481
2015-10-01,0.8664890009233392
2015-10-02,0.8688299608662396
2015-10-05,0.8706764340034021
2015-10-06,0.8721318532760098
2015-10-07,0.8732764752440136
2015-10-08,0.8741750603128158
2015-10-09,0.8748795035688285
2015-10-12,0.8754311417499502
2015-10-13,0.875862748136963
2015-10-14,0.8762002126965933
2015-10-15,0.8764639303393791
2015-10-16,0.8766699321350693
2015-10-19,0.8768307976095607
2015-10-20,0.8769563848065128
2015-10-21,0.8770544110919355
2015-10-22,0.8771309131481402
2015-10-23,0.8771906100345745
2015-10-26,0.8772371889833769
2015-10-27,0.8772735299128177
2015-10-28,0.8773018815198156
2015-10-29,0.8773239992248423
2015-10-30,0.8773412531302133
2015-11-02,0.8773547124476421
2015-11-03,0.876780629311295
2015-11-04,0.8768211975983622
2015-11-05,0.8768525409767609
2015-11-06,0.8768770025008664
2015-11-09,0.8768960968115778
2015-11-10,0.8769109992105517
2015-11-11,0.876922628455928
2015-11-12,0.8769317025337116
2015-11-13,0.8769387822992868
2015-11-16,0.8769443057223093
2015-11-17,0.8769486147246108
2015-11-18,0.8769519761909675
2015-11-19,0.8769545984044304
2015-11-20,0.8769566438944273
2015-11-23,0.8769582394756361
2015-11-24,0.8769594840888602
2015-11-25,0.8769604549233287
2015-11-26,0.8769612121959937
2015-11-27,0.8769618028817542
2015-11-30,0.8769622636244747
2015-12-01,0.8775664114920885
2015-12-02,0.8775283377715931
2015-12-03,0.877496110624686
2015-12-04,0.8774709024977613
2015-12-07,0.8774512273486976
2015-12-08,0.877435873597168
2015-12-09,0.8774238933449714
2015-12-10,0.8774145461180312
2015-12-11,0.8774072536822757
2015-12-14,0.8774015646110512
2015-12-15,0.8773971265456676
2015-12-16,0.8773936644967415
2015-12-17,0.8773909638815566
2015-12-18,0.8773888572702631
2015-12-21,0.8773872140339425
2015-12-22,0.8773859322616003
2015-12-23,0.8773849324502463
2015-12-24,0.8773841525800133
2015-12-25,0.8773835442708323
2015-12-28,0.8773830697834795
2015-12-29,0.8773826996796829
2015-12-30,0.8773824109965764
2015-12-31,0.8773821858225126
2016-01-01,0.8770780696286367
2016-01-04,0.8771428426916935
2016-01-05,0.8772001084231237
2016-01-06,0.8772451894466585
2016-01-07,0.8772805229202297
2016-01-08,0.8773081845626667
2016-01-11,0.8773298222374631
2016-01-12,0.8773467370282194
2016-01-13,0.8773599532879632
2016-01-14,0.8773702757779865
2016-01-15,0.8773783357115683
2016-01-18,0.8773846275600565
2016-01-19,0.877389538301968
2016-01-20,0.8773933705649352
2016-01-21,0.8773963608752441
2016-01-22,0.8773986940131918
2016-01-25,0.877400514283583
2016-01-26,0.8774019343512721
2016-01-27,0.8774030421599632
2016-01-28,0.8774039063453327
2016-01-29,0.8774045804672733
2016-02-01,0.8774051063171283
2016-02-02,0.8769481499437747
2016-02-03,0.8771550493125402
2016-02-04,0.877332785562803
2016-02-05,0.8774738073188453
2016-02-08,0.8775850793931655
2016-02-09,0.8776726403670739
2016-02-10,0.8777414040269378
2016-02-11,0.8777953225280787
2016-02-12,0.8778375506942018
2016-02-15,0.8778705929788374
2016-02-16,0.8778964293433444
2016-02-17,0.8779166202280565
2016-02-18,0.8779323925324836
2016-02-19,0.8779447091636652
2016-02-22,0.8779543247892211
2016-02-23,0.8779618302378238
2016-02-24,0.8779676876857893
2016-02-25,0.8779722584391835
2016-02-26,0.8779758248083359
2016-02-29,0.8779786072942143
2016-03-01,0.878176261459754
2016-03-02,0.8781610340637503
2016-03-03,0.878148266078035
2016-03-04,0.8781382854875474
2016-03-07,0.8781304983210227
2016-03-08,0.8781244231644825
2016-03-09,0.8781196838388707
2016-03-10,0.8781159867379587
2016-03-11,0.8781131027402854
2016-03-14,0.8781108530651703
2016-03-15,0.8781090982235966
2016-03-16,0.8781077293897671
2016-03-17,0.8781066616647594
2016-03-18,0.8781058288184267
2016-03-21,0.8781051791858016
2016-03-22,0.8781046724649018
2016-03-23,0.8781042772181787
2016-03-24,0.8781039689231329
2016-03-25,0.8781037284514825
2016-03-28,0.8781035408827279
2016-03-29,0.8781033945786128
2016-03-30,0.8781032804611396
2016-03-31,0.8781031914493758
2016-04-01,0.7640934283720218
2016-04-04,0.7707185291294499
2016-04-05,0.7800790309577912
2016-04-06,0.791060890424359
2016-04-07,0.8026997452134728
2016-04-08,0.8142324788630219
2016-04-11,0.8251098950836037
2016-04-12,0.8349847379476877
2016-04-13,0.8436812199025201
2016-04-14,0.8511551020522236
2016-04-15,0.8574528720878226
2016-04-18,0.8626759548926449
2016-04-19,0.8669528050167007
2016-04-20,0.8704192674227591
2016-04-21,0.8732061291612341
2016-04-22,0.8754322019742846
2016-04-25,0.8772012676510039
2016-04-26,0.8786014914026526
2016-04-27,0.8797062628895866
2016-04-28,0.8805757524917814
2016-04-29,0.8812587303624299
2016-05-02,0.8817943827961043
2016-05-03,0.8813235094093
2016-05-04,0.8818243611541743
2016-05-05,0.8822332828182455
2016-05-06,0.8825547837572909
2016-05-09,0.8828069045879413
2016-05-10,0.8830043727660158
2016-05-11,0.8831588914946601
2016-05-12,0.8832797156305944
2016-05-13,0.8833741403260391
2016-05-16,0.8834479020577679
2016-05-17,0.8835055033262955
2016-05-18,0.8835504731016902
2016-05-19,0.8835855743137279
2016-05-20,0.8836129683238201
2016-05-23,0.8836343448071436
2016-05-24,0.8836510240277404
2016-05-25,0.8836640372001278
2016-05-26,0.88367418952787
2016-05-27,0.8836821095902688
2016-05-30,0.8836882879956127
2016-05-31,0.8836931076107206
2016-06-01,0.8844535851324145
2016-06-02,0.8843054512111971
2016-06-03,0.8841814950418435
2016-06-06,0.8840843497629263
2016-06-07,0.8840083967735557
2016-06-08,0.8839490460017526
2016-06-09,0.8839026869349007
2016-06-10,0.883866486969578
2016-06-13,0.8838382266977012
2016-06-14,0.8838161688913618
2016-06-15,0.8837989547983708
2016-06-16,0.8837855223277553
2016-06-17,0.8837750416689729
2016-06-20,0.8837668647295818
2016-06-21,0.8837604854859271
2016-06-22,0.8837555089282049
2016-06-23,0.8837516267593141
2016-06-24,0.8837485983922669
2016-06-27,0.8837462360991236
2016-06-28,0.8837443934094789
2016-06-29,0.883742956050517
2016-06-30,0.8837418348737086
2016-07-01,0.8805909175765002
2016-07-04,0.8812241386385279
2016-07-05,0.8817328379706794
2016-07-06,0.8821322434499835
2016-07-07,0.8824452008100871
2016-07-08,0.882690145867167
2016-07-11,0.8828817019176808
2016-07-12,0.8830314139769686
2016-07-13,0.8831483684438499
2016-07-14,0.8832397007062729
2016-07-15,0.8833110048875004
2016-07-18,0.8833666614363318
2016-07-19,0.8834100973151015
