date,DEU_real_estate_f1,DEU_real_estate_f2
2005-08-11,0.029463749673117556,1.0087175934795478
2005-08-12,0.02946374967554927,1.0087175934795478
2005-08-15,0.02946374967560213,1.0087175934795478
2005-08-16,0.02946374967560328,1.0087175934795478
2005-08-17,0.029463749675603303,1.0087175934795478
2005-08-18,0.029463749675603303,1.0087175934795478
2005-08-19,0.029463749675603303,1.0087175934795478
2005-08-22,0.029463749675603303,1.0087175934795478
2005-08-23,0.029463749675603303,1.0087175934795478
2005-08-24,0.029463749675603303,1.0087175934795478
2005-08-25,0.029463749675603303,1.0087175934795478
2005-08-26,0.029463749675603303,1.0087175934795478
2005-08-29,0.029463749675603303,1.0087175934795478
2005-08-30,0.029463749675603303,1.0087175934795478
2005-08-31,-0.245168056012396,1.0073666495503737
2005-09-01,-0.23834712672158823,1.0087158344031506
2005-09-02,-0.23820512063317636,1.0087162372243694
2005-09-05,-0.23820203673725304,1.008716237344397
2005-09-06,-0.23820196970551197,1.0087162373444327
2005-09-07,-0.23820196824847784,1.0087162373444327
2005-09-08,-0.23820196821680706,1.0087162373444327
2005-09-09,-0.23820196821611864,1.0087162373444327
2005-09-12,-0.23820196821610368,1.0087162373444327
2005-09-13,-0.23820196821610334,1.0087162373444327
2005-09-14,-0.23820196821610334,1.0087162373444327
2005-09-15,-0.23820196821610334,1.0087162373444327
2005-09-16,-0.23820196821610334,1.0087162373444327
2005-09-19,-0.23820196821610334,1.0087162373444327
2005-09-20,-0.23820196821610334,1.0087162373444327
2005-09-21,-0.23820196821610334,1.0087162373444327
2005-09-22,-0.23820196821610334,1.0087162373444327
2005-09-23,-0.23820196821610334,1.0087162373444327
2005-09-26,-0.23820196821610334,1.0087162373444327
2005-09-27,-0.23820196821610334,1.0087162373444327
2005-09-28,-0.23820196821610334,1.0087162373444327
2005-09-29,-0.23820196821610334,1.0087162373444327
2005-09-30,1.9946883980276195,1.16646577867938
2005-10-03,0.9063410393533721,1.0088819049496156
2005-10-04,0.898624079617572,1.0088440388167537
2005-10-05,0.8984585219930542,1.0088440275345194
2005-10-06,0.8984549243675389,1.0088440275311576
2005-10-07,0.8984548461682698,1.0088440275311565
2005-10-10,0.8984548444684924,1.0088440275311565
2005-10-11,0.8984548444315453,1.0088440275311565
2005-10-12,0.8984548444307422,1.0088440275311565
2005-10-13,0.8984548444307247,1.0088440275311565
2005-10-14,0.8984548444307243,1.0088440275311565
2005-10-17,0.8984548444307243,1.0088440275311565
2005-10-18,0.8984548444307243,1.0088440275311565
2005-10-19,0.8984548444307243,1.0088440275311565
2005-10-20,0.8984548444307243,1.0088440275311565
2005-10-21,0.8984548444307243,1.0088440275311565
2005-10-24,0.8984548444307243,1.0088440275311565
2005-10-25,0.8984548444307243,1.0088440275311565
2005-10-26,0.8984548444307243,1.0088440275311565
2005-10-27,0.8984548444307243,1.0088440275311565
2005-10-28,0.8984548444307243,1.0088440275311565
2005-10-31,2.113464780873478,1.0043702623148096
2005-11-01,0.9868780420712168,1.0088393026210163
2005-11-02,0.9785964546460583,1.0088406431525967
2005-11-03,0.9784187500053253,1.008840643552032
2005-11-04,0.978414888405222,1.008840643552151
2005-11-07,0.9784148044680999,1.008840643552151
2005-11-08,0.9784148026436019,1.008840643552151
2005-11-09,0.9784148026039436,1.008840643552151
2005-11-10,0.9784148026030816,1.008840643552151
2005-11-11,0.9784148026030629,1.008840643552151
2005-11-14,0.9784148026030625,1.008840643552151
2005-11-15,0.9784148026030624,1.008840643552151
2005-11-16,0.9784148026030624,1.008840643552151
2005-11-17,0.9784148026030624,1.008840643552151
2005-11-18,0.9784148026030624,1.008840643552151
2005-11-21,0.9784148026030624,1.008840643552151
2005-11-22,0.9784148026030624,1.008840643552151
2005-11-23,0.9784148026030624,1.008840643552151
2005-11-24,0.9784148026030624,1.008840643552151
2005-11-25,0.9784148026030624,1.008840643552151
2005-11-28,0.9784148026030624,1.008840643552151
2005-11-29,0.9784148026030624,1.008840643552151
2005-11-30,1.1731583102012897,1.0129604044699596
2005-12-01,0.9877593314962312,1.0088449668313544
2005-12-02,0.984649134746006,1.0088437480306354
2005-12-05,0.9845818558529156,1.0088437476674732
2005-12-06,0.9845803935991061,1.008843747667365
2005-12-07,0.9845803618149142,1.008843747667365
2005-12-08,0.9845803611240374,1.008843747667365
2005-12-09,0.9845803611090201,1.008843747667365
2005-12-12,0.9845803611086937,1.008843747667365
2005-12-13,0.9845803611086866,1.008843747667365
2005-12-14,0.9845803611086864,1.008843747667365
2005-12-15,0.9845803611086864,1.008843747667365
2005-12-16,0.9845803611086864,1.008843747667365
2005-12-19,0.9845803611086864,1.008843747667365
2005-12-20,0.9845803611086864,1.008843747667365
2005-12-21,0.9845803611086864,1.008843747667365
2005-12-22,0.9845803611086864,1.008843747667365
2005-12-23,0.9845803611086864,1.008843747667365
2005-12-26,0.9845803611086864,1.008843747667365
2005-12-27,0.9845803611086864,1.008843747667365
2005-12-28,0.9845803611086864,1.008843747667365
2005-12-29,0.9845803611086864,1.008843747667365
2005-12-30,0.9845803611086864,1.008843747667365
2006-01-02,0.1261925383913388,0.9264242850941857
2006-01-03,0.4927004372810068,1.0087453606358467
2006-01-04,0.5929758947028981,1.0087732570516466
2006-01-05,0.5958873826582964,1.0087732653642116
2006-01-06,0.5959511452752609,1.0087732653666885
2006-01-09,0.595952531478013,1.0087732653666892
2006-01-10,0.5959525616093018,1.0087732653666892
2006-01-11,0.5959525622642503,1.0087732653666892
2006-01-12,0.5959525622784866,1.0087732653666892
2006-01-13,0.5959525622787961,1.0087732653666892
2006-01-16,0.5959525622788028,1.0087732653666892
2006-01-17,0.5959525622788029,1.0087732653666892
2006-01-18,0.5959525622788029,1.0087732653666892
2006-01-19,0.5959525622788029,1.0087732653666892
2006-01-20,0.5959525622788029,1.0087732653666892
2006-01-23,0.5959525622788029,1.0087732653666892
2006-01-24,0.5959525622788029,1.0087732653666892
2006-01-25,0.5959525622788029,1.0087732653666892
2006-01-26,0.5959525622788029,1.0087732653666892
2006-01-27,0.5959525622788029,1.0087732653666892
2006-01-30,0.5959525622788029,1.0087732653666892
2006-01-31,-2.349709553459159,1.0238201801946807
2006-02-01,-0.9542968994212734,1.0087907678993095
2006-02-02,-0.9457522448533116,1.0087863877815826
2006-02-03,-0.9455690543690215,1.008786386476459
2006-02-06,-0.9455650736329958,1.0087863864760702
2006-02-07,-0.9455649871063276,1.0087863864760702
2006-02-08,-0.9455649852255419,1.0087863864760702
2006-02-09,-0.9455649851846603,1.0087863864760702
2006-02-10,-0.9455649851837715,1.0087863864760702
2006-02-13,-0.9455649851837522,1.0087863864760702
