date,USA_real_estate_f1__USA_real_estate_f2
2021-09-07,-0.824304908038664
2021-09-08,-0.8242515635107927
2021-09-09,-0.8242195962093642
2021-09-10,-0.8242006327881083
2021-09-13,-0.824189525111153
2021-09-14,-0.8241831269385979
2021-09-15,-0.8241795267087103
2021-09-16,-0.8241775700817484
2021-09-17,-0.8241765647071936
2021-09-20,-0.8241760986601738
2021-09-21,-0.8241759293197831
2021-09-22,-0.8241759156648387
2021-09-23,-0.8241759772068659
2021-09-24,-0.824176069198217
2021-09-27,-0.8241761677456657
2021-09-28,-0.8241762609292357
2021-09-29,-0.8241763435465139
2021-09-30,-0.8241764140352547
2021-10-01,-0.823504805923866
2021-10-04,-0.8234251730577711
2021-10-05,-0.8234480662483211
2021-10-06,-0.8235206140040274
2021-10-07,-0.8236115956264881
2021-10-08,-0.8237040424999378
2021-10-11,-0.8237894932897979
2021-10-12,-0.8238643954996357
2021-10-13,-0.8239279034561215
2021-10-14,-0.8239805640681486
2021-10-15,-0.8240235552127547
2021-10-18,-0.8240582610976018
2021-10-19,-0.8240860486458692
2021-10-20,-0.8241081607673596
2021-10-21,-0.8241256753790345
2021-10-22,-0.8241394996841332
2021-10-25,-0.8241503819303242
2021-10-26,-0.8241589305717737
2021-10-27,-0.8241656353524812
2021-10-28,-0.8241708875130077
2021-10-29,-0.8241749978537293
2021-11-01,-0.8241782122310924
2021-11-02,-0.8254036448813421
2021-11-03,-0.8251090191723738
2021-11-04,-0.8248898129028265
2021-11-05,-0.824725717785801
2021-11-08,-0.8246019774428205
2021-11-09,-0.8245080791832048
2021-11-10,-0.8244364470750937
2021-11-11,-0.8243815598694435
2021-11-12,-0.8243393510862759
2021-11-15,-0.8243067968972925
2021-11-16,-0.824281629714065
2021-11-17,-0.8242621366305081
2021-11-18,-0.8242470157516851
2021-11-19,-0.8242352724925037
2021-11-22,-0.8242261438369509
2021-11-23,-0.8242190424193605
2021-11-24,-0.8242135148431979
2021-11-25,-0.824209210353613
2021-11-26,-0.8242058571253646
2021-11-29,-0.8242032442089408
2021-11-30,-0.8242012077178498
2021-12-01,-0.8258325156808447
2021-12-02,-0.8254581211233782
2021-12-03,-0.8251714248932416
2021-12-06,-0.824951397658018
2021-12-07,-0.8247820029570098
2021-12-08,-0.8246512484556459
2021-12-09,-0.8245501045219653
2021-12-10,-0.8244717304281102
2021-12-13,-0.824410915970832
2021-12-14,-0.8243636747580357
2021-12-15,-0.8243269451589313
2021-12-16,-0.8242983684258449
2021-12-17,-0.8242761227058151
2021-12-20,-0.8242587979484404
2021-12-21,-0.8242453010332625
2021-12-22,-0.8242347834282215
2021-12-23,-0.8242265857806869
2021-12-24,-0.824220195321322
2021-12-27,-0.8242152130198769
2021-12-28,-0.8242113281992454
2021-12-29,-0.8242082988763276
2021-12-30,-0.8242059365144313
2021-12-31,-0.8242040941828844
2022-01-03,-0.8256420151106698
2022-01-04,-0.8252882922113288
2022-01-05,-0.8250260047750899
2022-01-06,-0.8248302704185694
2022-01-07,-0.8246830845245504
2022-01-10,-0.8245716675116475
2022-01-11,-0.8244868475114903
2022-01-12,-0.8244219681456115
2022-01-13,-0.8243721466796768
2022-01-14,-0.8243337658449499
2022-01-17,-0.8243041220409248
2022-01-18,-0.8242811788930728
2022-01-19,-0.8242633924440455
2022-01-20,-0.8242495855945291
2022-01-21,-0.8242388568269078
2022-01-24,-0.8242305131066731
2022-01-25,-0.8242240200597002
2022-01-26,-0.8242189646504641
2022-01-27,-0.8242150270128636
2022-01-28,-0.8242119590536142
2022-01-31,-0.8242095681140515
2022-02-01,-0.8224295885599829
2022-02-02,-0.8226357302492107
2022-02-03,-0.8228660059139248
2022-02-04,-0.8230895315757427
2022-02-07,-0.823291113966597
2022-02-08,-0.8234651708186985
2022-02-09,-0.823611294223585
2022-02-10,-0.8237316331827051
2022-02-11,-0.8238293977228871
2022-02-14,-0.8239080408990412
2022-02-15,-0.8239708414266262
2022-02-16,-0.8240207166036938
2022-02-17,-0.8240601627088134
2022-02-18,-0.8240912620407472
2022-02-21,-0.8241157214681422
2022-02-22,-0.8241349228485366
2022-02-23,-0.8241499748504162
2022-02-24,-0.824161761031235
2022-02-25,-0.824170982022862
2022-02-28,-0.8241781912988282
2022-03-01,-0.8240258546894554
2022-03-02,-0.823986069336839
2022-03-03,-0.8239850557532632
2022-03-04,-0.8240032364837959
2022-03-07,-0.8240291124905259
2022-03-08,-0.8240564853355821
2022-03-09,-0.8240822462186292
2022-03-10,-0.8241050400971025
2022-03-11,-0.8241244705462143
2022-03-14,-0.824140634877251
2022-03-15,-0.8241538585747927
2022-03-16,-0.8241645484457821
2022-03-17,-0.8241731153609719
2022-03-18,-0.824179936970637
2022-03-21,-0.8241853427434354
2022-03-22,-0.824189610955452
2022-03-23,-0.8241929716420774
2022-03-24,-0.8241956121407474
2022-03-25,-0.8241976833930641
2022-03-28,-0.8241993060678612
2022-03-29,-0.8242005760734608
2022-03-30,-0.8242015693059782
2022-03-31,-0.8242023456263902
2022-04-01,-0.8200925872358082
2022-04-04,-0.8207802338763842
2022-04-05,-0.8213996181074942
2022-04-06,-0.821934499592909
2022-04-07,-0.8223835419005379
2022-04-08,-0.8227533338554329
2022-04-11,-0.8230537431159167
2022-04-12,-0.8232953868320924
2022-04-13,-0.823488345029332
2022-04-14,-0.8236415852622686
2022-04-15,-0.8237627798991917
2022-04-18,-0.8238583282689386
2022-04-19,-0.8239334755113529
2022-04-20,-0.8239924677656713
2022-04-21,-0.8240387115683693
2022-04-22,-0.8240749216786356
2022-04-25,-0.8241032507550798
2022-04-26,-0.8241253992856815
2022-04-27,-0.8241427066942341
2022-04-28,-0.8241562256736773
2022-04-29,-0.8241667821598688
2022-05-02,-0.8241750233260866
2022-05-03,-0.822624441090496
2022-05-04,-0.8228931267732095
2022-05-05,-0.823132975644211
2022-05-06,-0.8233388857904601
2022-05-09,-0.8235109968476901
2022-05-10,-0.8236522635906703
2022-05-11,-0.8237667338679857
2022-05-12,-0.82385863141462
2022-05-13,-0.8239319024883086
2022-05-16,-0.8239900231382671
2022-05-17,-0.8240359475126301
2022-05-18,-0.8240721279265767
2022-05-19,-0.8241005674423957
2022-05-20,-0.8241228834397403
2022-05-23,-0.8241403709690572
2022-05-24,-0.8241540605655914
2022-05-25,-0.8241647684641892
2022-05-26,-0.8241731388867403
2022-05-27,-0.8241796789268905
2022-05-30,-0.8241847869175183
2022-05-31,-0.824188775262063
2022-06-01,-0.8247673127114867
2022-06-02,-0.8246397963898621
2022-06-03,-0.8245415502645812
2022-06-06,-0.8244657711801814
2022-06-07,-0.8244071850858425
2022-06-08,-0.8243618065453377
2022-06-09,-0.8243266057396874
2022-06-10,-0.8242992677119272
2022-06-13,-0.8242780163484246
2022-06-14,-0.8242614843397686
2022-06-15,-0.8242486162097264
2022-06-16,-0.8242385954126101
2022-06-17,-0.8242307891434076
2022-06-20,-0.8242247063131867
2022-06-21,-0.8242199653949673
2022-06-22,-0.8242162697249031
2022-06-23,-0.824213388469786
2022-06-24,-0.824211141923455
2022-06-27,-0.8242093901243659
2022-06-28,-0.8242080240298987
2022-06-29,-0.82420695866435
2022-06-30,-0.8242061277938725
2022-07-01,-0.8214147160852984
2022-07-04,-0.8219843372085903
2022-07-05,-0.8224456093239427
2022-07-06,-0.8228157235038526
2022-07-07,-0.8231106333658436
2022-07-08,-0.823344420296399
2022-07-11,-0.823529047145228
2022-07-12,-0.8236744329652566
2022-07-13,-0.823788668747601
2022-07-14,-0.8238782792258521
2022-07-15,-0.8239484829516098
2022-07-18,-0.8240034286640778
2022-07-19,-0.8240463998230808
2022-07-20,-0.8240799863087305
2022-07-21,-0.824106225698763
2022-07-22,-0.8241267179145619
2022-07-25,-0.8241427173413987
2022-07-26,-0.8241552063175531
2022-07-27,-0.8241649534483283
2022-07-28,-0.8241725596936745
2022-07-29,-0.8241784946826609
2022-08-01,-0.8241831252612517
2022-08-02,-0.8227630257952717
2022-08-03,-0.822993552155982
2022-08-04,-0.8232069801302082
2022-08-05,-0.8233938737059983
2022-08-08,-0.8235521506971788
2022-08-09,-0.8236832493562128
2022-08-10,-0.8237901743691874
2022-08-11,-0.8238764247740064
2022-08-12,-0.823945437613803
2022-08-15,-0.824000326777181
2022-08-16,-0.8240437856827888
2022-08-17,-0.8240780767266447
2022-08-18,-0.8241050631191758
2022-08-19,-0.8241262582450428
2022-08-22,-0.8241428791583092
2022-08-23,-0.8241558974661701
2022-08-24,-0.8241660846063912
2022-08-25,-0.824174050571535
2022-08-26,-0.8241802761909929
2022-08-29,-0.8241851395765183
2022-08-30,-0.8241889375205678
2022-08-31,-0.8241919026563866
2022-09-01,-0.822603335150469
2022-09-02,-0.8229577454103283
2022-09-05,-0.8232331716895426
2022-09-06,-0.823447244265921
2022-09-07,-0.8236137606403542
2022-09-08,-0.8237433644024981
2022-09-09,-0.8238442860499992
2022-09-12,-0.823922902153041
2022-09-13,-0.8239841602760922
2022-09-14,-0.8240319036662778
2022-09-15,-0.8240691204407102
2022-09-16,-0.8240981354943056
2022-09-19,-0.8241207587005589
2022-09-20,-0.8241383996071878
2022-09-21,-0.824152156352433
2022-09-22,-0.8241628846882708
2022-09-23,-0.8241712516172442
2022-09-26,-0.8241777771069209
2022-09-27,-0.82418286655287
2022-09-28,-0.8241868360546185
2022-09-29,-0.824189932103435
2022-09-30,-0.8241923469221017
2022-10-03,-0.8169426168188861
2022-10-04,-0.8184552745306531
2022-10-05,-0.8196684405564538
2022-10-06,-0.8206343984969847
2022-10-07,-0.8213995168139931
2022-10-10,-0.8220032687925881
2022-10-11,-0.8224783643908568
2022-10-12,-0.8228514450532395
2022-10-13,-0.8231439584734774
2022-10-14,-0.8233730312530668
2022-10-17,-0.8235522599168597
2022-10-18,-0.823692392549767
2022-10-19,-0.8238018986600727
2022-10-20,-0.8238874363765989
2022-10-21,-0.8239542304292857
2022-10-24,-0.8240063751129937
2022-10-25,-0.8240470754970205
2022-10-26,-0.824078838522916
2022-10-27,-0.8241036238462497
2022-10-28,-0.8241229625738039
2022-10-31,-0.8241380505333524
2022-11-01,-0.8222958371343103
2022-11-02,-0.822704081521512
2022-11-03,-0.823025668558974
2022-11-04,-0.8232783891957236
2022-11-07,-0.8234766419823865
2022-11-08,-0.8236319601334723
2022-11-09,-0.8237535193294037
2022-11-10,-0.8238485840303871
2022-11-11,-0.823922884965332
2022-11-14,-0.8239809308866117
2022-11-15,-0.8240262620157134
2022-11-16,-0.8240616538634957
2022-11-17,-0.8240892798849202
2022-11-18,-0.8241108405591479
2022-11-21,-0.8241276654037735
2022-11-22,-0.8241407933502839
2022-11-23,-0.8241510359235075
2022-11-24,-0.8241590268162995
2022-11-25,-0.8241652607364803
2022-11-28,-0.8241701238158538
2022-11-29,-0.8241739173950506
2022-11-30,-0.824176876615679
2022-12-01,-0.8235622046971959
2022-12-02,-0.8236179027222943
2022-12-05,-0.823693495284858
2022-12-06,-0.8237721434427893
2022-12-07,-0.8238455949449984
2022-12-08,-0.8239103151689573
2022-12-09,-0.8239653465599003
2022-12-12,-0.8240110536710956
2022-12-13,-0.8240484051946986
2022-12-14,-0.8240785770118925
2022-12-15,-0.8241027439277343
2022-12-16,-0.8241219799416484
2022-12-19,-0.8241372191279098
2022-12-20,-0.8241492488968817
2022-12-21,-0.8241587193226119
2022-12-22,-0.8241661593485315
2022-12-23,-0.8241719948884778
2022-12-26,-0.8241765662808404
2022-12-27,-0.8241801439382752
2022-12-28,-0.8241829417958565
2022-12-29,-0.8241851285573013
2022-12-30,-0.8241868369280566
2023-01-02,-0.8241881710979178
2023-01-03,-0.8236491482374056
2023-01-04,-0.8237513333984452
2023-01-05,-0.8238381024674473
2023-01-06,-0.8239099535993208
2023-01-09,-0.8239685344055093
2023-01-10,-0.8240157705394892
2023-01-11,-0.8240535533914006
2023-01-12,-0.8240835950294024
2023-01-13,-0.8241073748776014
2023-01-16,-0.824126134482366
2023-01-17,-0.8241408955339564
2023-01-18,-0.8241524873647583
2023-01-19,-0.8241615765728256
2023-01-20,-0.8241686951006574
2023-01-23,-0.8241742651613279
2023-01-24,-0.8241786205208534
2023-01-25,-0.8241820242177783
2023-01-26,-0.8241846830654019
2023-01-27,-0.8241867593777908
2023-01-30,-0.8241883803680935
2023-01-31,-0.8241896456325529
2023-02-01,-0.823329670208971
2023-02-02,-0.823469191509574
2023-02-03,-0.8235981142686493
2023-02-06,-0.8237107932680487
