date,FRA_financial_markets_f1__FRA_financial_markets_f2
2021-04-06,-0.651130439476863
2021-04-07,-0.6889920741675596
2021-04-08,-0.7284053478677249
2021-04-09,-0.7656118068632585
2021-04-12,-0.7981300629473131
2021-04-13,-0.8248329271466869
2021-04-14,-0.8456967857297009
2021-04-15,-0.8613821353552586
2021-04-16,-0.8728373260565699
2021-04-19,-0.8810272850935981
2021-04-20,-0.8867941066982442
2021-04-21,-0.8908111854283638
2021-04-22,-0.8935884323439928
2021-04-23,-0.8954985207798436
2021-04-26,-0.8968074984859354
2021-04-27,-0.897702328822651
2021-04-28,-0.898313013366782
2021-04-29,-0.8987293006990859
2021-04-30,-0.8990128499685606
2021-05-03,-0.9042427234855751
2021-05-04,-0.9028235495303264
2021-05-05,-0.9018376941868549
2021-05-06,-0.901158161122505
2021-05-07,-0.9006920429351369
2021-05-10,-0.9003732898034124
2021-05-11,-0.9001557345926499
2021-05-12,-0.9000074345224878
2021-05-13,-0.8999064257841107
2021-05-14,-0.8998376646631312
2021-05-17,-0.8997908726631567
2021-05-18,-0.8997590382908799
2021-05-19,-0.8997373836470113
2021-05-20,-0.8997226551438205
2021-05-21,-0.8997126382225092
2021-05-24,-0.8997058260084676
2021-05-25,-0.8997011933782141
2021-05-26,-0.8996980430410636
2021-05-27,-0.8996959007441276
2021-05-28,-0.8996944439516074
2021-05-31,-0.8996934533190072
2021-06-01,-0.8320109004279358
2021-06-02,-0.8426793825295434
2021-06-03,-0.8548444464355651
2021-06-04,-0.865970652847451
2021-06-07,-0.8751135011007996
2021-06-08,-0.8821635133499639
2021-06-09,-0.8873815984926917
2021-06-10,-0.8911398903557611
2021-06-11,-0.8937974061388086
2021-06-14,-0.8956532218572869
2021-06-15,-0.8969382213887587
2021-06-16,-0.8978228463271754
2021-06-17,-0.8984294510476892
2021-06-18,-0.898844299051765
2021-06-21,-0.8991274908505877
2021-06-22,-0.8993205693258146
2021-06-23,-0.8994520981007148
2021-06-24,-0.8995416466535523
2021-06-25,-0.8996025900906837
2021-06-28,-0.89964405494051
2021-06-29,-0.8996722618103623
2021-06-30,-0.8996914474555665
2021-07-01,-0.8559528644093798
2021-07-02,-0.8648433963977433
2021-07-05,-0.8734217637575206
2021-07-06,-0.8805627014872371
2021-07-07,-0.8860777387446739
2021-07-08,-0.8901529765294204
2021-07-09,-0.8930815310980933
2021-07-12,-0.8951481407791749
2021-07-13,-0.8965890045482179
2021-07-14,-0.8975854997594763
2021-07-15,-0.8982709260579352
2021-07-16,-0.8987406537733963
2021-07-19,-0.8990617591629163
2021-07-20,-0.899280895144288
2021-07-21,-0.8994302710666887
2021-07-22,-0.8995320149782889
2021-07-23,-0.8996012787056513
2021-07-26,-0.8996484140509575
2021-07-27,-0.8996804827305671
2021-07-28,-0.8997022971217244
2021-07-29,-0.8997171344570251
2021-07-30,-0.8997272254817865
2021-08-02,-0.8997340881323427
2021-08-03,-0.8522265884123654
2021-08-04,-0.8613055607868368
2021-08-05,-0.8704422770342682
2021-08-06,-0.8782279836688375
2021-08-09,-0.8843317008309171
2021-08-10,-0.8888873929133677
2021-08-11,-0.8921836049845394
2021-08-12,-0.8945205097737737
2021-08-13,-0.8961550121697746
