date,ITA_banking_system_f1__ITA_banking_system_f2
2019-08-01,-0.5247241786932046
2019-08-02,-0.5249287495577482
2019-08-05,-0.5251169571524293
2019-08-06,-0.5252901098713636
2019-08-07,-0.5254494118635149
2019-08-08,-0.5255959709774385
2019-08-09,-0.5257308064616983
2019-08-12,-0.5258548560495365
2019-08-13,-0.525968982477068
2019-08-14,-0.5260739794803203
2019-08-15,-0.5261705773128018
2019-08-16,-0.5262594478219402
2019-08-19,-0.5263412091196591
2019-08-20,-0.5264164298795422
2019-08-21,-0.5264856332904351
2019-08-22,-0.5265493006939486
2019-08-23,-0.5266078749311254
2019-08-26,-0.5266617634215275
2019-08-27,-0.5267113409961217
2019-08-28,-0.5267569525036528
2019-08-29,-0.5267989152086029
2019-08-30,-0.5268375209974029
2019-09-02,-0.5268730384082212
2019-09-03,-0.5277702181262662
2019-09-04,-0.5277424372110769
2019-09-05,-0.5277168740632887
2019-09-06,-0.5276933520562525
2019-09-09,-0.52767170849865
2019-09-10,-0.527651793622494
2019-09-11,-0.5276334695633502
2019-09-12,-0.5276166094199849
2019-09-13,-0.5276010963874173
2019-09-16,-0.5275868229577778
2019-09-17,-0.5275736901837884
2019-09-18,-0.5275616070000535
2019-09-19,-0.5275504895977086
2019-09-20,-0.5275402608482982
2019-09-23,-0.5275308497730715
2019-09-24,-0.5275221910541604
2019-09-25,-0.5275142245843827
2019-09-26,-0.5275068950526476
2019-09-27,-0.527500151562185
2019-09-30,-0.5274939472790204
2019-10-01,-0.5222162829446471
2019-10-02,-0.5225214940876332
2019-10-03,-0.5228021711357165
2019-10-04,-0.5230602941871929
2019-10-07,-0.5232976830184735
2019-10-08,-0.5235160094224296
2019-10-09,-0.5237168094220285
2019-10-10,-0.5239014944479219
2019-10-11,-0.5240713615722326
2019-10-14,-0.5242276028818958
2019-10-15,-0.5243713140669923
2019-10-16,-0.5245035022924074
2019-10-17,-0.5246250934148134
2019-10-18,-0.5247369386012646
2019-10-21,-0.5248398204005711
2019-10-22,-0.5249344583140082
2019-10-23,-0.5250215139077477
2019-10-24,-0.5251015955056453
2019-10-25,-0.525175262497616
2019-10-28,-0.5252430292957486
2019-10-29,-0.5253053689675198
2019-10-30,-0.5253627165729391
2019-10-31,-0.5254154722301485
2019-11-01,-0.5153443233803583
2019-11-04,-0.5156852917421908
2019-11-05,-0.5159988890889928
2019-11-06,-0.5162873174838485
2019-11-07,-0.5165526029379857
2019-11-08,-0.5167966074562271
2019-11-11,-0.5170210424546504
2019-11-12,-0.5172274810588844
2019-11-13,-0.5174173693797182
2019-11-14,-0.517592036853855
2019-11-15,-0.5177527057296786
2019-11-18,-0.5179004997707226
2019-11-19,-0.5180364522430518
2019-11-20,-0.5181615132469053
2019-11-21,-0.5182765564476455
2019-11-22,-0.5183823852562606
2019-11-25,-0.5184797385052984
2019-11-26,-0.5185692956621644
2019-11-27,-0.5186516816181129
2019-11-28,-0.5187274710879952
2019-11-29,-0.5187971926528427
2019-12-02,-0.5188613324746659
2019-12-03,-0.5171429251081228
2019-12-04,-0.5171905820539067
2019-12-05,-0.5172344280990526
2019-12-06,-0.5172747676674148
2019-12-09,-0.5173118810919235
2019-12-10,-0.5173460263072884
2019-12-11,-0.5173774406375005
2019-12-12,-0.5174063424409985
2019-12-13,-0.5174329326247908
2019-12-16,-0.5174573960379242
2019-12-17,-0.5174799027538808
2019-12-18,-0.5175006092507279
2019-12-19,-0.5175196594971447
2019-12-20,-0.5175371859518155
2019-12-23,-0.5175533104830763
2019-12-24,-0.5175681452151712
2019-12-25,-0.5175817933069528
2019-12-26,-0.5175943496684163
2019-12-27,-0.5176059016200171
2019-12-30,-0.5176165294993328
2019-12-31,-0.5176263072192713
2020-01-01,-0.5067941925227154
2020-01-02,-0.5057614444707927
2020-01-03,-0.504809482450401
2020-01-06,-0.5039321150890512
2020-01-07,-0.5031236082905406
2020-01-08,-0.502378652223781
2020-01-09,-0.5016923323757558
2020-01-10,-0.5010601022165017
2020-01-13,-0.5004777574420031
2020-01-14,-0.4999414117517819
2020-01-15,-0.4994474741108252
2020-01-16,-0.49899262744014217
2020-01-17,-0.4985738086763952
2020-01-20,-0.498188190138501
2020-01-21,-0.4978331621376566
2020-01-22,-0.497506316766721
2020-01-23,-0.49720543280511265
2020-01-24,-0.4969284616762411
2020-01-27,-0.4966735143958343
2020-01-28,-0.49643884945125616
2020-01-29,-0.4962228615539435
2020-01-30,-0.4960240712093297
2020-01-31,-0.4958411150510275
2020-02-03,-0.5060202094643503
2020-02-04,-0.5070306219415909
2020-02-05,-0.5079603313620765
2020-02-06,-0.5088157748292936
2020-02-07,-0.5096028766706545
2020-02-10,-0.510327089855241
2020-02-11,-0.5109934333083932
2020-02-12,-0.5116065263009066
2020-02-13,-0.5121706201378546
2020-02-14,-0.5126896273554
2020-02-17,-0.5131671486184355
2020-02-18,-0.5136064974974508
2020-02-19,-0.5140107232895798
2020-02-20,-0.5143826320362993
2020-02-21,-0.5147248058786512
2020-02-24,-0.5150396208801087
2020-02-25,-0.5153292634372286
2020-02-26,-0.5155957453889959
2020-02-27,-0.5158409179272017
2020-02-28,-0.5160664844022834
2020-03-02,-0.5162740121117251
2020-03-03,-0.5259363317770193
2020-03-04,-0.5259567971758095
2020-03-05,-0.5259801034292548
2020-03-06,-0.5260053995383543
2020-03-09,-0.5260319846025894
2020-03-10,-0.5260592866027759
2020-03-11,-0.5260868430108547
2020-03-12,-0.5261142839320249
2020-03-13,-0.5261413175039245
2020-03-16,-0.5261677172969299
2020-03-17,-0.5261933114800859
2020-03-18,-0.5262179735379064
2020-03-19,-0.526241614343721
2020-03-20,-0.5262641754149476
2020-03-23,-0.5262856231943582
2020-03-24,-0.5263059442188543
2020-03-25,-0.5263251410534034
2020-03-26,-0.5263432288825275
2020-03-27,-0.5263602326651009
2020-03-30,-0.5263761847702467
2020-03-31,-0.5263911230228696
2020-04-01,-0.5191582420365551
2020-04-02,-0.5193307982697595
2020-04-03,-0.519560742604087
2020-04-06,-0.5198365829833935
2020-04-07,-0.5201481752805801
2020-04-08,-0.5204866349587752
2020-04-09,-0.520844243808175
2020-04-10,-0.521214354954311
2020-04-13,-0.5215912979102599
2020-04-14,-0.5219702852195538
2020-04-15,-0.5223473219909354
2020-04-16,-0.5227191193749173
2020-04-17,-0.5230830127871724
2020-04-20,-0.5234368854541402
2020-04-21,-0.523779097648305
2020-04-22,-0.5241084217983383
2020-04-23,-0.5244239835046047
2020-04-24,-0.5247252083635408
2020-04-27,-0.5250117744040598
2020-04-28,-0.5252835698633125
2020-04-29,-0.525540655975253
2020-04-30,-0.5257832344105865
2020-05-01,-0.5247198577475751
2020-05-04,-0.5250360727653243
2020-05-05,-0.5253306656243701
2020-05-06,-0.5256048376437482
2020-05-07,-0.5258597677874438
2020-05-08,-0.5260966045177619
2020-05-11,-0.5263164596842912
2020-05-12,-0.5265204039607074
2020-05-13,-0.5267094635933098
2020-05-14,-0.5268846182517396
2020-05-15,-0.5270467997972852
2020-05-18,-0.5271968918073258
2020-05-19,-0.5273357297156789
2020-05-20,-0.5274641014478407
2020-05-21,-0.5275827484473863
2020-05-22,-0.527692367005187
2020-05-25,-0.5277936098167195
2020-05-26,-0.5278870877047018
2020-05-27,-0.5279733714547303
2020-05-28,-0.5280529937206552
2020-05-29,-0.5281264509642494
2020-06-01,-0.5281942054004318
2020-06-02,-0.5254196555723691
2020-06-03,-0.5256967667524403
2020-06-04,-0.5259517176254278
2020-06-05,-0.5261862793080433
2020-06-08,-0.5264020818817168
2020-06-09,-0.5266006251825891
2020-06-10,-0.5267832891965116
2020-06-11,-0.5269513436261987
2020-06-12,-0.527105956696186
2020-06-15,-0.5272482032560943
2020-06-16,-0.5273790722379181
2020-06-17,-0.5274994735186713
2020-06-18,-0.5276102442356656
2020-06-19,-0.5277121545979615
2020-06-22,-0.5278059132340828
2020-06-23,-0.5278921721129163
2020-06-24,-0.5279715310717876
2020-06-25,-0.5280445419830088
2020-06-26,-0.5281117125877108
2020-06-29,-0.5281735100234877
2020-06-30,-0.5282303640702624
2020-07-01,-0.5246444467506335
2020-07-02,-0.524968206539683
2020-07-03,-0.525266023949738
2020-07-06,-0.5255399803382111
2020-07-07,-0.5257919901628011
2020-07-08,-0.5260238138451094
2020-07-09,-0.5262370702337463
2020-07-10,-0.5264332480477057
2020-07-13,-0.5266137163853251
2020-07-14,-0.5267797343766978
2020-07-15,-0.5269324600506419
2020-07-16,-0.5270729584812204
2020-07-17,-0.5272022092732418
2020-07-20,-0.5273211134411263
2020-07-21,-0.5274304997309188
2020-07-22,-0.5275311304310465
2020-07-23,-0.5276237067135996
2020-07-24,-0.5277088735444292
2020-07-27,-0.5277872241971707
2020-07-28,-0.5278593044033997
2020-07-29,-0.5279256161684627
2020-07-30,-0.5279866212800906
2020-07-31,-0.5280427445346847
2020-08-03,-0.5260631345110636
2020-08-04,-0.5262568617988488
2020-08-05,-0.526435218456639
2020-08-06,-0.5265994141707122
2020-08-07,-0.5267505652819899
2020-08-10,-0.5268897013660241
2020-08-11,-0.5270177717832436
2020-08-12,-0.5271356517653711
2020-08-13,-0.5272441480658454
2020-08-14,-0.5273440042012694
2020-08-17,-0.5274359053099776
2020-08-18,-0.5275204826527404
2020-08-19,-0.5275983177794834
2020-08-20,-0.527669946384737
2020-08-21,-0.5277358618733149
2020-08-24,-0.5277965186565358
2020-08-25,-0.5278523351981146
2020-08-26,-0.5279036968276908
2020-08-27,-0.5279509583388492
2020-08-28,-0.5279944463873969
2020-08-31,-0.5280344617046351
2020-09-01,-0.5243732724528034
2020-09-02,-0.5246721380492538
2020-09-03,-0.5249470317968639
2020-09-04,-0.5251998806448903
2020-09-07,-0.5254324564743907
2020-09-08,-0.5256463881233898
2020-09-09,-0.5258431730331715
2020-09-10,-0.5260241879307459
2020-09-11,-0.5261906986297457
2020-09-14,-0.5263438690245926
2020-09-15,-0.5264847693460759
2020-09-16,-0.5266143837404641
2020-09-17,-0.5267336172288001
2020-09-18,-0.5268433020981035
2020-09-21,-0.5269442037717126
2020-09-22,-0.5270370262019426
2020-09-23,-0.5271224168245426
2020-09-24,-0.527200971111068
2020-09-25,-0.5272732367522358
2020-09-28,-0.5273397175025367
2020-09-29,-0.527400876713842
2020-09-30,-0.527457140583418
2020-10-01,-0.5326672684044915
2020-10-02,-0.5323451141061434
2020-10-05,-0.5320487025233473
2020-10-06,-0.5317759799182311
2020-10-07,-0.5315250553676514
2020-10-08,-0.5312941884675997
2020-10-09,-0.5310817774309237
2020-10-12,-0.53088634811098
2020-10-13,-0.530706543882171
2020-10-14,-0.5305411163128685
2020-10-15,-0.530388916570609
2020-10-16,-0.5302488875036192
2020-10-19,-0.5301200563466977
2020-10-20,-0.5300015280032259
2020-10-21,-0.5298924788586101
2020-10-22,-0.5297921510837639
2020-10-23,-0.5296998473903354
2020-10-26,-0.5296149262022791
2020-10-27,-0.5295367972110606
2020-10-28,-0.5294649172842851
2020-10-29,-0.5293987866998722
2020-10-30,-0.5293379456800499
2020-11-02,-0.5292819712014456
2020-11-03,-0.5328863481475605
2020-11-04,-0.5325659470221047
2020-11-05,-0.532271445741032
2020-11-06,-0.5320007334859075
2020-11-09,-0.5317518734304147
2020-11-10,-0.5315230885586852
2020-11-11,-0.5313127481996867
2020-11-12,-0.5311193557295034
2020-11-13,-0.5309415373370312
2020-11-16,-0.5307780317580735
2020-11-17,-0.5306276808914979
2020-11-18,-0.5304894212190029
2020-11-19,-0.5303622759572335
2020-11-20,-0.5302453478775169
2020-11-23,-0.5301378127344241
2020-11-24,-0.530038913249734
2020-11-25,-0.5299479536032637
2020-11-26,-0.529864294386441
2020-11-27,-0.5297873479784991
2020-11-30,-0.5297165743088024
2020-12-01,-0.5087542708121926
2020-12-02,-0.5099200784491947
2020-12-03,-0.5109922413418411
2020-12-04,-0.5119782940388728
2020-12-07,-0.5128851776519485
2020-12-08,-0.5137192698581237
2020-12-09,-0.5144864312509916
2020-12-10,-0.5151920477820539
2020-12-11,-0.5158410696373387
2020-12-14,-0.5164380468614497
2020-12-15,-0.5169871620118925
2020-12-16,-0.5174922601002412
2020-12-17,-0.5179568760531446
2020-12-18,-0.5183842599049692
2020-12-21,-0.518777399914808
2020-12-22,-0.5191390437833663
2020-12-23,-0.5194717181296986
2020-12-24,-0.5197777463737114
2020-12-25,-0.5200592651576147
2020-12-28,-0.5203182394279604
2020-12-29,-0.5205564762894311
2020-12-30,-0.5207756377320137
2020-12-31,-0.5209772523245394
2021-01-01,-0.5125312412535772
2021-01-04,-0.5126804014525906
2021-01-05,-0.5128178041213305
2021-01-06,-0.5129443617299558
2021-01-07,-0.5130609194971603
2021-01-08,-0.5131682584150924
2021-01-11,-0.5132670998770442
2021-01-12,-0.5133581100110539
2021-01-13,-0.5134419037317506
2021-01-14,-0.5135190485233938
2021-01-15,-0.5135900679674192
2021-01-18,-0.5136554450279218
2021-01-19,-0.5137156251084639
2021-01-20,-0.5137710188933985
2021-01-21,-0.5138220049865991
2021-01-22,-0.5138689323600947
2021-01-25,-0.5139121226246605
2021-01-26,-0.513951872133923
2021-01-27,-0.5139884539330096
2021-01-28,-0.5140221195622375
2021-01-29,-0.5140531007257823
2021-02-01,-0.5140816108347264
2021-02-02,-0.5219678302948279
2021-02-03,-0.5218078178383687
2021-02-04,-0.521660498058132
2021-02-05,-0.5215248724384769
2021-02-08,-0.5214000194015398
2021-02-09,-0.5212850889714318
2021-02-10,-0.521179297368144
2021-02-11,-0.5210819219853929
2021-02-12,-0.5209922967289544
2021-02-15,-0.520909807692821
2021-02-16,-0.5208338891514329
2021-02-17,-0.520764019847179
2021-02-18,-0.5206997195533649
2021-02-19,-0.5206405458938597
2021-02-22,-0.5205860914016491
2021-02-23,-0.520535980799532
2021-02-24,-0.520489868487181
2021-02-25,-0.5204474362197555
2021-02-26,-0.5204083909641827
2021-03-01,-0.5203724629201141
2021-03-02,-0.47836354214915633
2021-03-03,-0.41669164832624106
2021-03-04,-0.35909322955362366
2021-03-05,-0.3053503430769956
2021-03-08,-0.2552503368467674
2021-03-09,-0.20858653834168078
2021-03-10,-0.1651588244284175
2021-03-11,-0.1247740884487096
2021-03-12,-0.08724660725138089
2021-03-15,-0.052398312889953204
2021-03-16,-0.020058975230472755
2021-03-17,0.009933697205942166
2021-03-18,0.037734030158274444
2021-03-19,0.06348842195032356
2021-03-22,0.08733543882171246
2021-03-23,0.10940595903644368
2021-03-24,0.12982335789178695
2021-03-25,0.1487037262312999
2021-03-26,0.16615611563475258
2021-03-29,0.18228280407942068
2021-03-30,0.19717957651268828
2021-03-31,0.21093601542209695
2021-04-01,0.27761778787747665
2021-04-02,0.29091269074461323
2021-04-05,0.30336892746799043
2021-04-06,0.31502624780747934
2021-04-07,0.32592412851914687
2021-04-08,0.33610156494528254
2021-04-09,0.3455968815808316
2021-04-12,0.35444756480506384
2021-04-13,0.36269011843743526
2021-04-14,0.3703599421005667
2021-04-15,0.37749123181355293
2021-04-16,0.3841169017946522
2021-04-19,0.390268526117792
2021-04-20,0.395976298632688
2021-04-21,0.40126900941184085
2021-04-22,0.40617403591627654
2021-04-23,0.4107173470624711
2021-04-26,0.41492351841277647
2021-04-27,0.41881575678915756
2021-04-28,0.4224159327147551
2021-04-29,0.42574461921068496
2021-04-30,0.42882113560907853
2021-05-03,0.4302141070442984
2021-05-04,0.43292662447023234
2021-05-05,0.4354305552318438
2021-05-06,0.4377413442410799
2021-05-07,0.43987338087388483
2021-05-10,0.4418400579536246
2021-05-11,0.44365382953761023
2021-05-12,0.4453262670712058
2021-05-13,0.44686811365893786
2021-05-14,0.4482893362648608
2021-05-17,0.44959917570875974
2021-05-18,0.45080619437119546
2021-05-19,0.45191832155966905
2021-05-20,0.45294289652096575
2021-05-21,0.4538867091117891
2021-05-24,0.45475603816175625
2021-05-25,0.4555566875803684
