,M1SL,lme_proxy_equal,MYAGM2EZM196N,EUR3MTD156N,GOLDAMGBD228NLBM,IRLTLT01USM156N,USD3MTD156N,ECBESTRVOLWGTTRMDMNRT,IRLTLT01FRM156N,MYAGM1EZM196N,MORTGAGE30US,CSUSHPISA,IRLTLT01DEM156N,IRLTLT01ESM156N,IRLTLT01ITM156N,IBEX_35
2022-02-18,0.2689997450751765,0.14800607929975398,,1.09509430938603,0.8907169936792619,0.25905996958534916,1.0563384614918587,0.978429330730336,0.244113838354843,,0.12461276628072337,0.2812663842335124,0.22571813667561366,0.09907891813630527,0.26063407986959425,1.266898011436057
2022-02-21,0.26781671525693573,0.14687625995018094,,1.09509430938603,0.8758370908516697,0.2589310334133194,1.0654219880459883,0.978429330730336,0.2439319308976359,,0.12461276628072337,0.27797227825427995,0.2255524832189205,0.09907819438150202,0.26027050458809653,1.2455200472176742
2022-02-22,0.26680701560012166,0.1461491897641287,,1.09509430938603,0.860812658443687,0.25882138716492864,1.0657033539100569,0.978429330730336,0.2437772028334406,,0.12461276628072337,0.2751412814705268,0.22541158206455422,0.09907786517531995,0.2599610658007347,1.243952548216813
2022-02-23,0.26594575684809896,0.1456823440606902,,1.09509430938603,0.8488752978548691,0.2587281513191848,1.0481154640900645,0.9778870345279721,0.24364560672145671,,0.12461276628072337,0.27271182861567844,0.22529174679751482,0.09907771543345173,0.2596977529358094,1.1915589944891942
2022-02-24,0.26521148786536963,0.14538302183992963,,1.09509430938603,0.8347601084329496,0.2586488744252492,1.06076696401574,0.978429330730336,0.2435336941165052,,0.12461276628072337,0.2706296466758976,0.2251898366809019,0.09907764732234453,0.2594737269077839,1.1579242036037254
2022-02-25,0.26458575707977894,0.14519128914359258,,1.09509430938603,0.8351564441445091,0.2585814699555884,1.0743620644489769,0.978429330730336,0.24343852795129114,,0.12461276628072337,0.26884711310330833,0.22510317680626507,0.09907761634156276,0.25928315259498796,1.3948801115088054
2022-02-28,0.2640527200582092,0.14506854794623839,,1.09509430938603,0.9151890592613298,0.25852416233864045,1.0747822784521848,0.9778870345279721,0.24335760745041976,,0.12461276628072337,0.2673226142761508,0.2250294896732177,0.09907760224975574,0.25912105422784404,1.677875379634248
2022-03-01,0.26359879110629336,0.144990003490395,,1.09509430938603,0.9078969316902245,0.2584754408742215,1.057198548122284,0.9805985263804238,0.24328880386273116,,0.12461276628072337,0.26601992124833507,0.2249668366332192,0.09907759584000787,0.25898319084454063,1.6028074791466511
2022-03-02,0.26789047767001917,0.8004694598449315,,1.09509430938603,0.9932627687483668,0.2660959864505873,1.0786555413487868,0.9789716280185646,0.24530592614532618,,0.12461276628072337,0.3920431442450801,0.22877604566561877,0.102552309844174,0.2595867648044467,1.8347291145281277
2022-03-03,0.26686995216848886,0.6459947398741137,,1.09509430938603,1.0015639439243647,0.2649264715038991,1.07491606386115,0.9795139263908547,0.24494632787261492,,0.12461276628072337,0.37505676679695227,0.22815620582266605,0.10067295858523485,0.25937930854230856,1.811850558678115
2022-03-04,0.26599942709135854,0.5238543912441055,,1.09509430938603,0.9919949919381466,0.26392830921889016,1.0572027799541992,0.9800562258454061,0.24464025374844092,,0.12461276628072337,0.35998870396889676,0.2276280148897376,0.09980641545659123,0.2592028401703887,2.0469785872253303
2022-03-07,0.2652572345461523,0.4278451448545192,,1.09509430938603,1.020361124135559,0.2630768935981124,1.0742527567206601,0.9789716280185646,0.2443797893393623,,0.12461276628072337,0.346666283838615,0.22717808704583126,0.09940976360152762,0.2590527475380825,2.225302973308545
2022-03-08,0.2646247342092057,0.3530174807700672,,1.09509430938603,1.0401657639226511,0.26235101782270537,1.052784070492564,0.9800562258454061,0.24415817612458365,,0.12461276628072337,0.33492582896957046,0.22679494658014285,0.09922881938651408,0.2589251003928896,2.142653701933635
