date,ESP_real_estate_f1__ESP_real_estate_f2
2019-12-17,0.8995614243540281
2019-12-18,0.8995631886953543
2019-12-19,0.8995643906948322
2019-12-20,0.8995652090932473
2019-12-23,0.8995657660842339
2019-12-24,0.8995661450599133
2019-12-25,0.8995664028658242
2019-12-26,0.8995665782211382
2019-12-27,0.8995666974845677
2019-12-30,0.8995667785937522
2019-12-31,0.8995668337526208
2020-01-01,0.90060667420202
2020-01-02,0.9002745375806184
2020-01-03,0.9000505541006596
2020-01-06,0.8998991651862606
2020-01-07,0.8997966590148978
2020-01-08,0.8997271616504992
2020-01-09,0.8996800004202349
2020-01-10,0.8996479760581233
2020-01-13,0.8996262205685768
2020-01-14,0.899611436629783
2020-01-15,0.8996013880977697
2020-01-16,0.8995945572053885
2020-01-17,0.8995899131772969
2020-01-20,0.8995867556925579
2020-01-21,0.8995846088141064
2020-01-22,0.8995831490350878
2020-01-23,0.899582156431272
2020-01-24,0.8995814814822103
2020-01-27,0.8995810225270083
2020-01-28,0.8995807104423067
2020-01-29,0.8995804982270392
2020-01-30,0.899580353921798
2020-01-31,0.8995802557948049
2020-02-03,0.8997360416524688
2020-02-04,0.8996265746791722
2020-02-05,0.8995871572561895
2020-02-06,0.8995770028592364
2020-02-07,0.899577914999262
2020-02-10,0.8995821879374027
2020-02-11,0.8995867946724183
2020-02-12,0.8995907177108091
2020-02-13,0.8995937521035418
2020-02-14,0.8995959854491893
2020-02-17,0.8995975828337847
2020-02-18,0.8995987054883277
2020-02-19,0.8995994857517146
2020-02-20,0.8996000241296296
2020-02-21,0.8996003938338021
2020-02-24,0.8996006469008627
2020-02-25,0.8996008197578903
2020-02-26,0.8996009376573604
2020-02-27,0.8996010179939096
2020-02-28,0.8996010726989969
2020-03-02,0.8996011099336915
2020-03-03,0.8996011352695654
2020-03-04,0.8996011525054809
2020-03-05,0.899601164229376
2020-03-06,0.899601172203227
2020-03-09,0.8996011776261842
2020-03-10,0.8996011813141349
2020-03-11,0.8996011838220976
2020-03-12,0.8996011855275835
2020-03-13,0.8996011866873463
2020-03-16,0.8996011874759999
2020-03-17,0.899601188012291
2020-03-18,0.8996011883769718
2020-03-19,0.8996011886249557
2020-03-20,0.8996011887935853
2020-03-23,0.8996011889082539
2020-03-24,0.8996011889862282
2020-03-25,0.8996011890392509
2020-03-26,0.8996011890753065
2020-03-27,0.8996011890998241
2020-03-30,0.8996011891164958
2020-03-31,0.8996011891278328
2020-04-01,0.8988984818036463
2020-04-02,0.8987797708663978
2020-04-03,0.8988816040697049
2020-04-06,0.899041743613516
2020-04-07,0.8991947841789387
2020-04-08,0.8993199689547151
2020-04-09,0.8994150893933737
2020-04-10,0.8994844672074165
2020-04-13,0.8995338393000554
2020-04-14,0.8995684349381632
2020-04-15,0.8995924352218625
2020-04-16,0.8996089759227655
2020-04-17,0.8996203257969985
2020-04-20,0.8996280910397624
2020-04-21,0.899633393310872
2020-04-22,0.8996370089904524
2020-04-23,0.8996394723403571
2020-04-24,0.8996411495859229
2020-04-27,0.8996422911149478
2020-04-28,0.8996430678177578
2020-04-29,0.8996435961895836
2020-04-30,0.8996439555811878
2020-05-01,0.8988780523366291
2020-05-04,0.8990956387112296
2020-05-05,0.89925723798142
2020-05-06,0.8993733319738251
2020-05-07,0.8994551250310043
2020-05-08,0.8995120553058378
2020-05-11,0.8995513720781836
2020-05-12,0.8995783862209906
2020-05-13,0.8995968845221166
2020-05-14,0.899609522803251
2020-05-15,0.899618144294654
2020-05-18,0.8996240195977413
2020-05-19,0.8996280206675216
2020-05-20,0.8996307441045329
2020-05-21,0.8996325972935932
2020-05-22,0.8996338580404137
2020-05-25,0.8996347156152418
2020-05-26,0.8996352988893175
2020-05-27,0.8996356955724771
2020-05-28,0.8996359653431645
2020-05-29,0.8996361487992381
2020-06-01,0.8996362735548645
2020-06-02,0.8996370355905662
2020-06-03,0.8996333245420584
2020-06-04,0.8996330009125342
2020-06-05,0.8996338129414084
2020-06-08,0.8996348427452818
2020-06-09,0.8996357639858648
2020-06-10,0.8996364926456649
2020-06-11,0.8996370354108674
2020-06-12,0.8996374263554655
2020-06-15,0.8996377023088783
2020-06-16,0.899637894632845
2020-06-17,0.899638027575214
2020-06-18,0.8996381189757608
2020-06-19,0.8996381815903933
2020-06-22,0.899638224382077
2020-06-23,0.89963825357924
2020-06-24,0.8996382734789956
2020-06-25,0.8996382870319485
2020-06-26,0.8996382962577179
2020-06-29,0.8996383025357517
2020-06-30,0.8996383068068986
2020-07-01,0.9001530216605443
2020-07-02,0.89997939970678
2020-07-03,0.8998675546357237
2020-07-06,0.8997944693898853
2020-07-07,0.8997461604918486
2020-07-08,0.8997139578490904
2020-07-09,0.8996923610356755
2020-07-10,0.8996778148935809
2020-07-13,0.8996679882752406
2020-07-14,0.8996613361725933
2020-07-15,0.8996568266317146
2020-07-16,0.8996537665725128
2020-07-17,0.8996516887073266
2020-07-20,0.899650277135787
2020-07-21,0.8996493179043435
2020-07-22,0.89964866592194
2020-07-23,0.8996482227105136
2020-07-24,0.8996479213900483
2020-07-27,0.8996477165214959
2020-07-28,0.8996475772245196
2020-07-29,0.8996474825089246
2020-07-30,0.8996474181052841
2020-07-31,0.8996473743121984
2020-08-03,0.8997963518680542
2020-08-04,0.8997420817431171
2020-08-05,0.8997088675881693
2020-08-06,0.8996879913670948
2020-08-07,0.8996745890444914
2020-08-10,0.8996658433597727
2020-08-11,0.8996600667183102
2020-08-12,0.8996562175047161
2020-08-13,0.8996536365556246
2020-08-14,0.899651898405646
2020-08-17,0.8996507242796149
2020-08-18,0.8996499294893016
2020-08-19,0.8996493907041748
2020-08-20,0.8996490251038062
2020-08-21,0.8996487768533681
2020-08-24,0.8996486082086054
2020-08-25,0.8996484936067634
2020-08-26,0.899648415712964
2020-08-27,0.8996483627615978
2020-08-28,0.899648326762276
2020-08-31,0.8996483022862656
2020-09-01,0.8996446887523296
2020-09-02,0.8996424070783042
2020-09-03,0.8996429304034689
2020-09-04,0.8996442597125771
2020-09-07,0.8996456140763145
2020-09-08,0.899646743422007
2020-09-09,0.8996476077619064
2020-09-10,0.8996482400908692
2020-09-11,0.899648690690212
2020-09-14,0.8996490066312538
2020-09-15,0.8996492258796459
2020-09-16,0.8996493770070589
2020-09-17,0.8996494807162869
2020-09-18,0.8996495516743914
2020-09-21,0.8996496001274106
2020-09-22,0.8996496331686271
2020-09-23,0.8996496556797233
2020-09-24,0.8996496710071774
2020-09-25,0.8996496814390471
2020-09-28,0.8996496885369699
2020-09-29,0.8996496933655213
2020-09-30,0.8996496966498425
2020-10-01,0.8985800750349848
