source,series_id,country,frequency,last_fetch,status,filepath,notes
WorldBank,GC.DOD.TOTL.GD.ZS,ITA,annual,2026-05-11T03:12:40.496019,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_ITA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,ESP,annual,2026-05-11T03:12:41.533692,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_ESP.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,USA,annual,2026-05-11T03:12:41.898326,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_USA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,GBR,annual,2026-05-11T03:12:42.348849,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_GBR.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,CHE,annual,2026-05-11T03:12:42.682332,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_CHE.json,general government gross debt % GDP
ECB,BSI:M.U2.N.A.A20.A.1.U2.3000.Z01.E,,monthly,2026-05-11T03:12:53.077639,FAIL,<urlopen error [Errno -2] Name or service not known>,"ECB BSI - Loans to NFCs (Euro area), SDMX guideline syntax (last error: <urlopen error [Errno -2] Name or service not known>)"
ECB,BSI:M.U2.N.A.A20.A.1.U2.1000.Z01.E,,monthly,2026-05-11T03:13:03.474150,FAIL,<urlopen error [Errno -2] Name or service not known>,ECB BSI - Loans to households (Euro area) (last error: <urlopen error [Errno -2] Name or service not known>)
IMF,IFS:USA.NGDP_R,USA,annual,2026-05-11T03:13:08.771069,FAIL,<urlopen error [Errno -2] Name or service not known>,IMF IFS nominal GDP (guideline CompactData syntax)
IMF,IFS:ITA.NGDP_R,ITA,annual,2026-05-11T03:13:14.066598,FAIL,<urlopen error [Errno -2] Name or service not known>,IMF IFS nominal GDP (Italy)
BIS/CDIS,BIS:LBS_D_PUB,,quarterly,2026-05-11T03:13:28.647267,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/structural/bis_lbs_d_pub.csv,BIS Locational Banking Statistics (public CSV)
BIS/CDIS,CDIS:CDIS_D_PUB,,annual,2026-05-11T03:13:42.980088,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/structural/bis_cdis_d_pub.csv,IMF/BIS Coordinated Direct Investment Survey (public CSV)
WorldBank,GC.DOD.TOTL.GD.ZS,FRA,annual,2026-05-12T03:10:55.108211,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_FRA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,DEU,annual,2026-05-12T03:10:55.219323,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_DEU.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,ITA,annual,2026-05-12T03:10:55.388427,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_ITA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,ESP,annual,2026-05-12T03:10:55.513897,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_ESP.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,USA,annual,2026-05-12T03:10:55.890563,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_USA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,GBR,annual,2026-05-12T03:10:55.976616,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_GBR.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,CHE,annual,2026-05-12T03:10:56.061651,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_CHE.json,general government gross debt % GDP
ECB,BSI:M.U2.N.A.A20.A.1.U2.3000.Z01.E,,monthly,2026-05-12T03:11:06.855509,FAIL,<urlopen error [Errno -2] Name or service not known>,"ECB BSI - Loans to NFCs (Euro area), SDMX guideline syntax (last error: <urlopen error [Errno -2] Name or service not known>)"
ECB,BSI:M.U2.N.A.A20.A.1.U2.1000.Z01.E,,monthly,2026-05-12T03:11:17.125923,FAIL,<urlopen error [Errno -2] Name or service not known>,ECB BSI - Loans to households (Euro area) (last error: <urlopen error [Errno -2] Name or service not known>)
IMF,IFS:USA.NGDP_R,USA,annual,2026-05-12T03:11:22.566910,FAIL,<urlopen error [Errno -2] Name or service not known>,IMF IFS nominal GDP (guideline CompactData syntax)
IMF,IFS:ITA.NGDP_R,ITA,annual,2026-05-12T03:11:27.857875,FAIL,<urlopen error [Errno -2] Name or service not known>,IMF IFS nominal GDP (Italy)
BIS/CDIS,BIS:LBS_D_PUB,,quarterly,2026-05-12T03:11:41.200255,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/structural/bis_lbs_d_pub.csv,BIS Locational Banking Statistics (public CSV)
BIS/CDIS,CDIS:CDIS_D_PUB,,annual,2026-05-12T03:11:54.899856,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/structural/bis_cdis_d_pub.csv,IMF/BIS Coordinated Direct Investment Survey (public CSV)
WorldBank,GC.DOD.TOTL.GD.ZS,FRA,annual,2026-05-13T03:11:34.016262,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_FRA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,DEU,annual,2026-05-13T03:11:34.403043,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_DEU.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,ITA,annual,2026-05-13T03:11:34.756090,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_ITA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,ESP,annual,2026-05-13T03:11:35.197107,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_ESP.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,USA,annual,2026-05-13T03:11:35.375043,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_USA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,GBR,annual,2026-05-13T03:11:35.850542,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_GBR.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,CHE,annual,2026-05-13T03:11:36.240704,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_CHE.json,general government gross debt % GDP
ECB,BSI:M.U2.N.A.A20.A.1.U2.3000.Z01.E,,monthly,2026-05-13T03:11:46.813639,FAIL,<urlopen error [Errno -2] Name or service not known>,"ECB BSI - Loans to NFCs (Euro area), SDMX guideline syntax (last error: <urlopen error [Errno -2] Name or service not known>)"
ECB,BSI:M.U2.N.A.A20.A.1.U2.1000.Z01.E,,monthly,2026-05-13T03:11:57.307820,FAIL,<urlopen error [Errno -2] Name or service not known>,ECB BSI - Loans to households (Euro area) (last error: <urlopen error [Errno -2] Name or service not known>)
IMF,IFS:USA.NGDP_R,USA,annual,2026-05-13T03:12:02.455310,FAIL,<urlopen error [Errno -2] Name or service not known>,IMF IFS nominal GDP (guideline CompactData syntax)
IMF,IFS:ITA.NGDP_R,ITA,annual,2026-05-13T03:12:07.553501,FAIL,<urlopen error [Errno -2] Name or service not known>,IMF IFS nominal GDP (Italy)
BIS/CDIS,BIS:LBS_D_PUB,,quarterly,2026-05-13T03:12:22.888580,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/structural/bis_lbs_d_pub.csv,BIS Locational Banking Statistics (public CSV)
BIS/CDIS,CDIS:CDIS_D_PUB,,annual,2026-05-13T03:12:37.987662,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/structural/bis_cdis_d_pub.csv,IMF/BIS Coordinated Direct Investment Survey (public CSV)
WorldBank,GC.DOD.TOTL.GD.ZS,FRA,annual,2026-05-14T03:11:04.019273,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_FRA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,DEU,annual,2026-05-14T03:11:21.019951,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_DEU.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,ITA,annual,2026-05-14T03:11:56.155774,FAIL,The read operation timed out,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,ESP,annual,2026-05-14T03:12:31.289891,FAIL,The read operation timed out,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,USA,annual,2026-05-14T03:13:06.428063,FAIL,The read operation timed out,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,GBR,annual,2026-05-14T03:13:06.561639,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_GBR.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,CHE,annual,2026-05-14T03:13:41.697177,FAIL,The read operation timed out,general government gross debt % GDP
ECB,BSI:M.U2.N.A.A20.A.1.U2.3000.Z01.E,,monthly,2026-05-14T03:13:52.485864,FAIL,<urlopen error [Errno -2] Name or service not known>,"ECB BSI - Loans to NFCs (Euro area), SDMX guideline syntax (last error: <urlopen error [Errno -2] Name or service not known>)"
ECB,BSI:M.U2.N.A.A20.A.1.U2.1000.Z01.E,,monthly,2026-05-14T03:14:02.761725,FAIL,<urlopen error [Errno -2] Name or service not known>,ECB BSI - Loans to households (Euro area) (last error: <urlopen error [Errno -2] Name or service not known>)
IMF,IFS:USA.NGDP_R,USA,annual,2026-05-14T03:14:07.898251,FAIL,<urlopen error [Errno -2] Name or service not known>,IMF IFS nominal GDP (guideline CompactData syntax)
IMF,IFS:ITA.NGDP_R,ITA,annual,2026-05-14T03:14:13.026172,FAIL,<urlopen error [Errno -2] Name or service not known>,IMF IFS nominal GDP (Italy)
BIS/CDIS,BIS:LBS_D_PUB,,quarterly,2026-05-14T03:14:27.136017,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/structural/bis_lbs_d_pub.csv,BIS Locational Banking Statistics (public CSV)
BIS/CDIS,CDIS:CDIS_D_PUB,,annual,2026-05-14T03:14:40.283896,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/structural/bis_cdis_d_pub.csv,IMF/BIS Coordinated Direct Investment Survey (public CSV)
WorldBank,GC.DOD.TOTL.GD.ZS,FRA,annual,2026-05-15T03:11:56.764901,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_FRA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,DEU,annual,2026-05-15T03:11:57.003103,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_DEU.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,ITA,annual,2026-05-15T03:11:57.451958,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_ITA.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,ESP,annual,2026-05-15T03:11:57.900322,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_ESP.json,general government gross debt % GDP
WorldBank,GC.DOD.TOTL.GD.ZS,USA,annual,2026-05-15T03:11:58.308921,OK,/home/runner/work/FRM-project/FRM-project/data_repository/raw/macro/wb_GC.DOD.TOTL.GD.ZS_USA.json,general government gross debt % GDP
