date,ITA_macro_f1__ITA_macro_f2
2019-07-10,0.9137957337590111
2019-07-11,0.9156625228281222
2019-07-12,0.9171255544069683
2019-07-15,0.9182708918315916
2019-07-16,0.919166771849728
2019-07-17,0.9198670792321573
2019-07-18,0.9204142394842725
2019-07-19,0.9208415821780009
2019-07-22,0.9211752476459829
2019-07-23,0.9214357118853463
2019-07-24,0.9216389985285453
2019-07-25,0.921797637721555
2019-07-26,0.9219214222051776
2019-07-29,0.9220180019823798
2019-07-30,0.9220933511364711
2019-07-31,0.9221521337523528
2019-08-01,0.9220293369219514
2019-08-02,0.9220999117221301
2019-08-05,0.9221556878280008
2019-08-06,0.9221996346938033
2019-08-07,0.922234181256987
2019-08-08,0.9222612903439458
2019-08-09,0.9222825343205988
2019-08-12,0.9222991647184933
2019-08-13,0.9223121729575996
2019-08-14,0.9223223415909857
2019-08-15,0.9223302866265837
2019-08-16,0.9223364919636347
2019-08-19,0.9223413371180835
2019-08-20,0.9223451193735491
2019-08-21,0.9223480713780681
2019-08-22,0.9223503750633875
2019-08-23,0.9223521726198151
2019-08-26,0.9223535751282229
2019-08-27,0.92235466933655
2019-08-28,0.9223555229719552
2019-08-29,0.9223561889003967
2019-08-30,0.9223567083808967
2019-09-02,0.9223571136098264
2019-09-03,0.9200653319379848
2019-09-04,0.920524662903512
2019-09-05,0.9208996521800205
2019-09-06,0.9212021110678327
2019-09-09,0.921444000674228
2019-09-10,0.9216362647370334
2019-09-11,0.921788394859381
2019-09-12,0.9219083635846925
2019-09-13,0.9220027300591755
2019-09-16,0.9220768149683458
2019-09-17,0.9221348916564147
2019-09-18,0.9221803677100027
2019-09-19,0.9222159460238023
2019-09-20,0.9222437620900331
2019-09-23,0.9222654981005431
2019-09-24,0.922282476179165
2019-09-25,0.9222957336611685
2019-09-26,0.9223060833596248
2019-09-27,0.9223141615114219
2019-09-30,0.9223204657441829
2019-10-01,0.9182889045162268
2019-10-02,0.9187837642913782
2019-10-03,0.9193158915141959
2019-10-04,0.9198257785285242
2019-10-07,0.9202842142678354
2019-10-08,0.9206802663668842
2019-10-09,0.9210133540414518
2019-10-10,0.9212882404226742
2019-10-11,0.9215120084357108
2019-10-14,0.9216923290225396
2019-10-15,0.9218365395440885
2019-10-16,0.9219512106114818
2019-10-17,0.9220419944401297
2019-10-18,0.9221136260586595
2019-10-21,0.9221700000058706
2019-10-22,0.922214277736953
2019-10-23,0.9222490010753182
2019-10-24,0.9222761991100255
2019-10-25,0.9222974829421925
2019-10-28,0.9223141265835196
2019-10-29,0.9223271343524645
2019-10-30,0.9223372960750398
2019-10-31,0.9223452317514376
2019-11-01,0.9224187777648531
2019-11-04,0.9223872219973589
2019-11-05,0.9223713945905095
2019-11-06,0.9223644627398287
2019-11-07,0.9223623823446998
2019-11-08,0.9223627992500273
2019-11-11,0.9223643729139801
2019-11-12,0.9223663635701045
2019-11-13,0.9223683823420175
2019-11-14,0.9223702413598526
2019-11-15,0.9223718648005255
2019-11-18,0.9223732367715158
2019-11-19,0.92237437129758
2019-11-20,0.9223752954439461
2019-11-21,0.9223760401569747
2019-11-22,0.9223766355703719
2019-11-25,0.9223771088416445
2019-11-26,0.9223774833788847
2019-11-27,0.9223777787954839
2019-11-28,0.9223780112149028
2019-11-29,0.9223781937156567
2019-12-02,0.9223783368046674
2019-12-03,0.9224746078024926
2019-12-04,0.9223972521491388
2019-12-05,0.9223588840635936
2019-12-06,0.9223427247740186
2019-12-09,0.9223386938602741
2019-12-10,0.9223408616915668
2019-12-11,0.9223458308400647
2019-12-12,0.9223517236526483
2019-12-13,0.9223575578734223
2019-12-16,0.9223628668139359
2019-12-17,0.9223674715695291
2019-12-18,0.9223713466192573
2019-12-19,0.9223745421021602
2019-12-20,0.9223771400642483
2019-12-23,0.9223792307783927
2019-12-24,0.922380900717678
2019-12-25,0.9223822271370831
2019-12-26,0.9223832762780576
2019-12-27,0.9223841034566166
2019-12-30,0.9223847540422482
2019-12-31,0.9223852647773974
2020-01-01,0.9127610692168013
2020-01-02,0.9147075883360285
2020-01-03,0.9162941858953966
2020-01-06,0.9175714391362829
2020-01-07,0.9185910249837193
2020-01-08,0.9194001186891317
2020-01-09,0.9200394454534634
2020-01-10,0.9205430500049706
2020-01-13,0.9209388236926597
2020-01-14,0.9212493119861227
2020-01-15,0.9214925705796501
2020-01-16,0.9216829641136373
2020-01-17,0.9218318658098847
2020-01-20,0.9219482484132662
2020-01-21,0.9220391719957303
2020-01-22,0.9221101804903253
2020-01-23,0.9221656206102613
2020-01-24,0.9222088963942716
2020-01-27,0.9222426712427365
2020-01-28,0.9222690276150175
2020-01-29,0.9222895928696788
2020-01-30,0.9223056381930824
2020-01-31,0.9223181562325682
2020-02-03,0.8156588366831685
2020-02-04,0.8237048147993179
2020-02-05,0.8338001545156007
2020-02-06,0.8447921023591132
2020-02-07,0.8558111401504223
2020-02-10,0.8662531859821981
2020-02-11,0.875746035717551
2020-02-12,0.8841043751141036
2020-02-13,0.8912809509345714
2020-02-14,0.8973209518256368
2020-02-17,0.9023241113175614
2020-02-18,0.906416221328315
2020-02-19,0.9097296333320062
2020-02-20,0.9123911871828951
2020-02-21,0.9145156664708458
2020-02-24,0.9162030206771493
2020-02-25,0.917537945896177
2020-02-26,0.9185908028428085
2020-02-27,0.9194191869962823
2020-02-28,0.920069723001569
2020-03-02,0.9205798363394645
2020-03-03,0.9207603122877469
2020-03-04,0.9211223605266795
2020-03-05,0.9214048755100877
2020-03-06,0.9216253085998709
2020-03-09,0.9217972898322517
2020-03-10,0.9219314615867451
2020-03-11,0.9220361315886858
2020-03-12,0.9221177839237944
2020-03-13,0.9221814786495294
