date,ITA_external_fx_f1__ITA_external_fx_f2
2013-09-02,-0.7066656772482142
2013-09-03,-0.7083541176912675
2013-09-04,-0.7081166831342842
2013-09-05,-0.7079015395143432
2013-09-06,-0.7077066300846853
2013-09-09,-0.707530081326872
2013-09-10,-0.707370187828294
2013-09-11,-0.7072253981823771
2013-09-12,-0.7070943018872743
2013-09-13,-0.7069756172086645
2013-09-16,-0.7068681799651138
2013-09-17,-0.7067709331897044
2013-09-18,-0.706682917618806
2013-09-19,-0.7066032629575134
2013-09-20,-0.7065311798711064
2013-09-23,-0.7064659526525702
2013-09-24,-0.706406932517558
2013-09-25,-0.7063535314800026
2013-09-26,-0.7063052167636965
2013-09-27,-0.7062615057075194
2013-09-30,-0.7062219611244337
2013-10-01,-0.7033541583491778
2013-10-02,-0.7035692849684272
2013-10-03,-0.7037688442059589
2013-10-04,-0.7039534385017449
2013-10-07,-0.7041237677441651
2013-10-08,-0.7042805932824316
2013-10-09,-0.7044247098551901
2013-10-10,-0.7045569239543268
2013-10-11,-0.7046780373954116
2013-10-14,-0.7047888350790564
2013-10-15,-0.7048900761062193
2013-10-16,-0.7049824875602062
2013-10-17,-0.705066760393069
2013-10-18,-0.7051435469580914
2013-10-21,-0.7052134598163196
2013-10-22,-0.7052770715164242
2013-10-23,-0.7053349151059989
2013-10-24,-0.7053874851807197
2013-10-25,-0.7054352393173818
2013-10-28,-0.705478599769144
2013-10-29,-0.7055179553276092
2013-10-30,-0.7055536632776803
2013-10-31,-0.705586051388333
2013-11-01,-0.7099379742076992
2013-11-04,-0.7095496025891055
2013-11-05,-0.7091998033793729
2013-11-06,-0.7088846504869011
2013-11-07,-0.7086006307413701
2013-11-08,-0.7083445989842893
2013-11-11,-0.7081137381071861
2013-11-12,-0.707905523523074
2013-11-13,-0.7077176915961033
2013-11-14,-0.707548211595397
2013-11-15,-0.7073952607799511
2013-11-18,-0.7072572022609253
2013-11-19,-0.7071325653248687
2013-11-20,-0.7070200279359231
2013-11-21,-0.706918401166665
2013-11-22,-0.7068266153358628
2013-11-25,-0.7067437076571867
2013-11-26,-0.7066688112258791
2013-11-27,-0.7066011451908439
2013-11-28,-0.706540005977686
2013-11-29,-0.7064847594441976
2013-12-02,-0.7064348338638411
2013-12-03,-0.7057619966500553
2013-12-04,-0.7057805433469581
2013-12-05,-0.7057973435558649
2013-12-06,-0.7058125593471852
2013-12-09,-0.7058263381926768
2013-12-10,-0.705838814197929
2013-12-11,-0.7058501092466783
2013-12-12,-0.7058603340599973
2013-12-13,-0.7058695891740911
2013-12-16,-0.7058779658408817
2013-12-17,-0.705885546855803
2013-12-18,-0.7058924073173534
2013-12-19,-0.705898615322947
2013-12-20,-0.705904232605533
2013-12-23,-0.7059093151153187
2013-12-24,-0.7059139135507617
2013-12-25,-0.7059180738427867
2013-12-26,-0.705921837595978
2013-12-27,-0.705925242490261
2013-12-30,-0.7059283226463652
2013-12-31,-0.7059311089581343
2014-01-01,-0.7109844683101267
2014-01-02,-0.710511478672049
2014-01-03,-0.7100831300066361
2014-01-06,-0.7096952638437225
