date,ITA_macro_f1__ITA_macro_f2
2020-08-13,0.707168810399219
2020-08-14,0.7078028874683071
2020-08-17,0.7083913663390375
2020-08-18,0.7089371469998493
2020-08-19,0.7094430038982313
2020-08-20,0.7099115813875703
2020-08-21,0.7103453914205599
2020-08-24,0.7107468130922261
2020-08-25,0.7111180936868569
2020-08-26,0.7114613509298306
2020-08-27,0.7117785761874793
2020-08-28,0.7120716383958501
2020-08-31,0.7123422885327303
2020-09-01,0.7125671183313916
2020-09-02,0.7127991322490532
2020-09-03,0.7130133131111847
2020-09-04,0.7132109777613234
2020-09-07,0.7133933541191869
2020-09-08,0.7135615858677485
2020-09-09,0.7137167371173292
2020-09-10,0.7138597969990612
2020-09-11,0.7139916841503791
2020-09-14,0.7141132510640491
2020-09-15,0.7142252882796483
2020-09-16,0.7143285284025489
2020-09-17,0.7144236499405275
2020-09-18,0.7145112809522612
2020-09-21,0.7145920025053285
2020-09-22,0.7146663519440246
2020-09-23,0.7147348259694324
2020-09-24,0.714797883535844
2020-09-25,0.7148559485688919
2020-09-28,0.7149094125116979
2020-09-29,0.714958636705991
2020-09-30,0.7150039546156188
2020-10-01,0.7051385268846702
2020-10-02,0.7059354814277785
2020-10-05,0.7066737800356737
2020-10-06,0.7073573555241179
2020-10-07,0.7079899377325569
2020-10-08,0.7085750536663882
2020-10-09,0.7091160298823844
2020-10-12,0.7096159966368599
2020-10-13,0.710077893390248
2020-10-14,0.7105044753282337
2020-10-15,0.7108983206168114
2020-10-16,0.7112618381576747
2020-10-19,0.7115972756522864
2020-10-20,0.7119067278186693
2020-10-21,0.7121921446352635
2020-10-22,0.7124553395117914
2020-10-23,0.7126979973086089
2020-10-26,0.7129216821440714
2020-10-27,0.71312784494448
2020-10-28,0.7133178307036299
2020-10-29,0.7134928854292579
2020-10-30,0.7136541627620814
2020-11-02,0.7138027302599366
2020-11-03,0.7142536607745904
2020-11-04,0.7143547187821915
2020-11-05,0.714447791549086
2020-11-06,0.7145335027201372
2020-11-09,0.7146124283587474
2020-11-10,0.7146851004031775
2020-11-11,0.7147520098990341
2020-11-12,0.7148136100180853
2020-11-13,0.7148703188737666
2020-11-16,0.714922522143906
2020-11-17,0.7149705755112117
2020-11-18,0.7150148069319406
2020-11-19,0.7150555187429627
2020-11-20,0.7150929896171441
2020-11-23,0.7151274763766253
2020-11-24,0.7151592156731958
2020-11-25,0.715188425544551
2020-11-26,0.7152153068547964
2020-11-27,0.7152400446271298
2020-11-30,0.7152628092761978
2020-12-01,0.7146420841501762
2020-12-02,0.7147123905693984
2020-12-03,0.7147771097665268
2020-12-04,0.7148366829786736
2020-12-07,0.7148915170285723
2020-12-08,0.7149419869412278
2020-12-09,0.714988438372337
2020-12-10,0.7150311898602715
2020-12-11,0.7150705349129702
2020-12-14,0.7151067439406213
2020-12-15,0.7151400660444909
2020-12-16,0.7151707306717493
2020-12-17,0.7151989491456037
2020-12-18,0.7152249160795248
2020-12-21,0.7152488106838375
2020-12-22,0.715270797972434
2020-12-23,0.7152910298768858
2020-12-24,0.7153096462747509
2020-12-25,0.7153267759384341
2020-12-28,0.7153425374105166
2020-12-29,0.7153570398110712
2020-12-30,0.7153703835821008
2020-12-31,0.7153826611738572
2021-01-01,0.7149817285743374
2021-01-04,0.7150240715985343
2021-01-05,0.7150631707577314
2021-01-06,0.7150992635070222
2021-01-07,0.7151325716923269
2021-01-08,0.7151633022794528
2021-01-11,0.7151916481039406
2021-01-12,0.7152177886286257
2021-01-13,0.7152418906978881
2021-01-14,0.7152641092800522
2021-01-15,0.7152845881914239
2021-01-18,0.7153034607971371
2021-01-19,0.715320850685322
2021-01-20,0.7153368723122155
2021-01-21,0.7153516316167154
2021-01-22,0.7153652266035915
2021-01-25,0.7153777478951167
2021-01-26,0.7153892792513366
2021-01-27,0.7153998980595175
2021-01-28,0.715409675793584
2021-01-29,0.7154186784445422
2021-02-01,0.7154269669230156
2021-02-02,0.7152471527233939
2021-02-03,0.7152682847117773
2021-02-04,0.715287852543722
2021-02-05,0.7153059619533493
2021-02-08,0.7153227131914213
2021-02-09,0.715338201008464
2021-02-10,0.7153525147083268
2021-02-11,0.7153657382566913
2021-02-12,0.7153779504310678
2021-02-15,0.7153892250012681
2021-02-16,0.7153996309314131
2021-02-17,0.7154092325962366
2021-02-18,0.7154180900058755
2021-02-19,0.7154262590345123
2021-02-22,0.7154337916492168
2021-02-23,0.7154407361361325
2021-02-24,0.7154471373218236
2021-02-25,0.7154530367881335
2021-02-26,0.7154584730793561
2021-03-01,0.7154634819008745
2021-03-02,0.71537033812207
2021-03-03,0.7153823156488034
2021-03-04,0.7153933495410422
2021-03-05,0.715403513051069
2021-03-08,0.7154128739149556
2021-03-09,0.7154214947410493
2021-03-10,0.7154294333754339
2021-03-11,0.7154367432450309
2021-03-12,0.7154434736790838
2021-03-15,0.7154496702098466
2021-03-16,0.7154553748533901
2021-03-17,0.7154606263714705
2021-03-18,0.7154654605154368
2021-03-19,0.7154699102531505
2021-03-22,0.7154740059798912
2021-03-23,0.715477775714198
2021-03-24,0.7154812452795773
2021-03-25,0.7154844384729668
2021-03-26,0.7154873772208219
2021-03-29,0.715490081723642
2021-03-30,0.7154925705897204
2021-03-31,0.7154948609588584
2021-04-01,0.716008158299634
2021-04-02,0.715965481668426
2021-04-05,0.7159268343338683
