date,ESP_macro_f1__ESP_macro_f2
2021-03-24,0.7680106186223018
2021-03-25,0.7680226151596508
2021-03-26,0.7680336520794714
2021-03-29,0.7680438061348887
2021-03-30,0.7680531479412951
2021-03-31,0.7680617424669784
2021-04-01,0.7680075775624389
2021-04-02,0.7680131855036736
2021-04-05,0.7680234630263354
2021-04-06,0.7680331583000759
2021-04-07,0.7680422514390841
2021-04-08,0.7680507638516475
2021-04-09,0.7680587195365084
2021-04-12,0.7680661440065089
2021-04-13,0.7680730636422329
2021-04-14,0.7680795051787475
2021-04-15,0.768085495300945
2021-04-16,0.7680910603285526
2021-04-19,0.7680962259749469
2021-04-20,0.7681010171664855
2021-04-21,0.7681054579112532
2021-04-22,0.7681095712079493
2021-04-23,0.7681133789871968
2021-04-26,0.768116902078847
2021-04-27,0.7681201601999587
2021-04-28,0.7681231719590386
2021-04-29,0.7681259548729124
2021-04-30,0.768128525393232
2021-05-03,0.7681659729786806
2021-05-04,0.7681694871121363
2021-05-05,0.7681686945414896
2021-05-06,0.7681679750997177
2021-05-07,0.7681673462306193
2021-05-10,0.7681667958148575
2021-05-11,0.768166313268984
2021-05-12,0.7681658895133411
2021-05-13,0.7681655167528086
2021-05-14,0.7681651882888609
2021-05-17,0.7681648983596143
2021-05-18,0.7681646420036713
2021-05-19,0.7681644149441877
2021-05-20,0.7681642134901286
2021-05-21,0.7681640344521343
2021-05-24,0.7681638750708064
2021-05-25,0.7681637329555571
2021-05-26,0.768163606032435
2021-05-27,0.7681634924995936
2021-05-28,0.7681633907892571
2021-05-31,0.7681632995352182
2021-06-01,0.7681923370543055
2021-06-02,0.7681907468002919
2021-06-03,0.7681884863575097
2021-06-04,0.7681864080636484
2021-06-07,0.7681845020488605
2021-06-08,0.7681827536433544
2021-06-09,0.7681811494517349
2021-06-10,0.7681796772706435
2021-06-11,0.7681783259751923
2021-06-14,0.768177085417019
2021-06-15,0.768175946332896
2021-06-16,0.7681749002626841
2021-06-17,0.7681739394755698
2021-06-18,0.768173056903666
2021-06-21,0.7681722460821554
2021-06-22,0.7681715010952705
2021-06-23,0.7681708165274804
2021-06-24,0.7681701874193325
2021-06-25,0.7681696092274615
2021-06-28,0.7681690777883361
2021-06-29,0.7681685892853596
2021-06-30,0.7681681402189896
2021-07-01,0.7651048772218056
2021-07-02,0.765351817199666
2021-07-05,0.7655729430932667
2021-07-06,0.7657768813330446
2021-07-07,0.7659649702766678
2021-07-08,0.7661384065212706
2021-07-09,0.7662983016274199
2021-07-12,0.7664456875633474
2021-07-13,0.7665815216365999
2021-07-14,0.7667066912506837
2021-07-15,0.7668220184687768
2021-07-16,0.7669282643709402
2021-07-19,0.7670261331968435
2021-07-20,0.7671162762704489
2021-07-21,0.7671992957066069
2021-07-22,0.7672757479022115
2021-07-23,0.7673461468166531
2021-07-26,0.7674109670478515
2021-07-27,0.7674706467112853
2021-07-28,0.7675255901302209
2021-07-29,0.7675761703458449
2021-07-30,0.7676227314563122
2021-08-02,0.7676655907938102
2021-08-03,0.7653871567557002
2021-08-04,0.7656087422532963
2021-08-05,0.7658105147666494
2021-08-06,0.7659963662329116
2021-08-09,0.7661675504142296
2021-08-10,0.7663252096672699
2021-08-11,0.766470399686227
2021-08-12,0.7666040957977698
2021-08-13,0.7667271987522091
2021-08-16,0.766840540151173
2021-08-17,0.7669448875256998
2021-08-18,0.7670409490792822
2021-08-19,0.7671293781113887
2021-08-20,0.7672107771375627
2021-08-23,0.7672857017224171
2021-08-24,0.7673546640418105
