date,USA_financial_markets_f1__USA_financial_markets_f2
2013-01-10,-0.8558838383734327
2013-01-11,-0.8681723131756405
2013-01-14,-0.8765788729090369
2013-01-15,-0.8823189602815232
2013-01-16,-0.8862332469155537
2013-01-17,-0.8889000926037506
2013-01-18,-0.890715929742109
2013-01-21,-0.8919518031795105
2013-01-22,-0.8927927083304407
2013-01-23,-0.893364760271965
2013-01-24,-0.8937538648380629
2013-01-25,-0.8940185063637303
2013-01-28,-0.89419848583953
2013-01-29,-0.8943208825729356
2013-01-30,-0.8944041172556959
2013-01-31,-0.8944607190807509
2013-02-01,0.19596947774108636
2013-02-04,0.3441873617796235
2013-02-05,0.4719546728757223
2013-02-06,0.576892813606964
2013-02-07,0.6594475402834391
2013-02-08,0.7220709981057332
2013-02-11,0.7682034398818207
2013-02-12,0.8014281444612288
2013-02-13,0.8249570003888708
2013-02-14,0.8414169933127218
2013-02-15,0.8528320153250007
2013-02-18,0.8607000885670106
2013-02-19,0.8661003376077465
2013-02-20,0.8697959330421424
2013-02-21,0.8723198734741721
2013-02-22,0.8740412419886157
2013-02-25,0.8752141357175862
2013-02-26,0.8760127991163639
2013-02-27,0.876556397651901
2013-02-28,0.8769262794424926
2013-03-01,0.8526180530985551
2013-03-04,0.8601243283551372
2013-03-05,0.865024619664081
2013-03-06,0.8682670394045635
2013-03-07,0.870431729924084
2013-03-08,0.8718855644991387
2013-03-11,0.8728659036937342
2013-03-12,0.873528750077942
2013-03-13,0.8739777477919907
2013-03-14,0.8742822663399037
2013-03-15,0.8744889701762197
2013-03-18,0.8746293585702858
2013-03-19,0.874724744042939
2013-03-20,0.8747895698092654
2013-03-21,0.874833634510277
2013-03-22,0.8748635907186472
2013-03-25,0.8748839573304048
2013-03-26,0.8748978049508869
2013-03-27,0.8749072205536553
2013-03-28,0.8749136228002191
2013-03-29,0.8749179761578064
2013-04-01,0.874920936360906
2013-04-02,0.8395252474168557
2013-04-03,0.8375761156484326
2013-04-04,0.8407833919604889
2013-04-05,0.8466244783259523
2013-04-08,0.8531719789993853
2013-04-09,0.8592524800777087
2013-04-10,0.8643339120870295
2013-04-11,0.8683055591933821
2013-04-12,0.8712746629779401
2013-04-15,0.8734283790431469
2013-04-16,0.8749588640500086
2013-04-17,0.8760313195091685
2013-04-18,0.876775662027336
2013-04-19,0.877288915035588
2013-04-22,0.8776412519431296
2013-04-23,0.8778823917165871
2013-04-24,0.8780470879620453
2013-04-25,0.8781594161811328
2013-04-26,0.8782359545561563
2013-04-29,0.8782880725178617
2013-04-30,0.8783235459880312
2013-05-01,0.8749020101928255
2013-05-02,0.87600508499752
2013-05-03,0.876736759722308
2013-05-06,0.8772260479471004
2013-05-07,0.8775550291535118
2013-05-08,0.8777770339874699
2013-05-09,0.877927217654715
2013-05-10,0.8780289843780433
2013-05-13,0.878098020840019
