date,DEU_financial_markets_f1,DEU_financial_markets_f2
2006-07-12,-0.9859579824795001,-0.9999656360670414
2006-07-13,-0.9859579824795001,-0.9999656360670414
2006-07-14,-0.9859579824795001,-0.9999656360670414
2006-07-17,-0.9859579824795001,-0.9999656360670414
2006-07-18,-0.9859579824795001,-0.9999656360670414
2006-07-19,-0.9859579824795001,-0.9999656360670414
2006-07-20,-0.9859579824795001,-0.9999656360670414
2006-07-21,-0.9859579824795001,-0.9999656360670414
2006-07-24,-0.9859579824795001,-0.9999656360670414
2006-07-25,-0.9859579824795001,-0.9999656360670414
2006-07-26,-0.9859579824795001,-0.9999656360670414
2006-07-27,-0.9859579824795001,-0.9999656360670414
2006-07-28,-0.9859579824795001,-0.9999656360670414
2006-07-31,-1.0252639806645498,-0.8375704347829417
2006-08-01,-0.986993504124623,-0.99994625870252
2006-08-02,-0.986993504124623,-0.999951364814892
2006-08-03,-0.986993504124623,-0.9999513649375016
2006-08-04,-0.986993504124623,-0.9999513649375045
2006-08-07,-0.986993504124623,-0.9999513649375045
2006-08-08,-0.986993504124623,-0.9999513649375045
2006-08-09,-0.986993504124623,-0.9999513649375045
2006-08-10,-0.986993504124623,-0.9999513649375045
2006-08-11,-0.986993504124623,-0.9999513649375045
2006-08-14,-0.986993504124623,-0.9999513649375045
2006-08-15,-0.986993504124623,-0.9999513649375045
2006-08-16,-0.986993504124623,-0.9999513649375045
2006-08-17,-0.986993504124623,-0.9999513649375045
2006-08-18,-0.986993504124623,-0.9999513649375045
2006-08-21,-0.986993504124623,-0.9999513649375045
2006-08-22,-0.986993504124623,-0.9999513649375045
2006-08-23,-0.986993504124623,-0.9999513649375045
2006-08-24,-0.986993504124623,-0.9999513649375045
2006-08-25,-0.986993504124623,-0.9999513649375045
2006-08-28,-0.986993504124623,-0.9999513649375045
2006-08-29,-0.986993504124623,-0.9999513649375045
2006-08-30,-0.986993504124623,-0.9999513649375045
2006-08-31,-0.6779328841327098,-1.100844616616927
2006-09-01,-0.9730168121744796,-0.9999618284868188
2006-09-04,-0.9730168121744798,-0.9999597289015136
2006-09-05,-0.9730168121744798,-0.9999597288510984
2006-09-06,-0.9730168121744798,-0.9999597288510971
2006-09-07,-0.9730168121744798,-0.9999597288510971
2006-09-08,-0.9730168121744798,-0.9999597288510971
2006-09-11,-0.9730168121744798,-0.9999597288510971
2006-09-12,-0.9730168121744798,-0.9999597288510971
2006-09-13,-0.9730168121744798,-0.9999597288510971
2006-09-14,-0.9730168121744798,-0.9999597288510971
2006-09-15,-0.9730168121744798,-0.9999597288510971
2006-09-18,-0.9730168121744798,-0.9999597288510971
2006-09-19,-0.9730168121744798,-0.9999597288510971
2006-09-20,-0.9730168121744798,-0.9999597288510971
2006-09-21,-0.9730168121744798,-0.9999597288510971
2006-09-22,-0.9730168121744798,-0.9999597288510971
2006-09-25,-0.9730168121744798,-0.9999597288510971
2006-09-26,-0.9730168121744798,-0.9999597288510971
2006-09-27,-0.9730168121744798,-0.9999597288510971
2006-09-28,-0.9730168121744798,-0.9999597288510971
2006-09-29,-0.9730168121744798,-0.9999597288510971
2006-10-02,-0.8338514487919173,-0.9859671617255887
2006-10-03,-0.963783061480394,-0.9999582578250712
2006-10-04,-0.9637830614803942,-0.9999586009657975
2006-10-05,-0.9637830614803942,-0.9999586009740371
2006-10-06,-0.9637830614803942,-0.9999586009740373
2006-10-09,-0.9637830614803942,-0.9999586009740373
2006-10-10,-0.9637830614803942,-0.9999586009740373
2006-10-11,-0.9637830614803942,-0.9999586009740373
2006-10-12,-0.9637830614803942,-0.9999586009740373
2006-10-13,-0.9637830614803942,-0.9999586009740373
2006-10-16,-0.9637830614803942,-0.9999586009740373
2006-10-17,-0.9637830614803942,-0.9999586009740373
2006-10-18,-0.9637830614803942,-0.9999586009740373
2006-10-19,-0.9637830614803942,-0.9999586009740373
2006-10-20,-0.9637830614803942,-0.9999586009740373
2006-10-23,-0.9637830614803942,-0.9999586009740373
2006-10-24,-0.9637830614803942,-0.9999586009740373
2006-10-25,-0.9637830614803942,-0.9999586009740373
2006-10-26,-0.9637830614803942,-0.9999586009740373
2006-10-27,-0.9637830614803942,-0.9999586009740373
2006-10-30,-0.9637830614803942,-0.9999586009740373
2006-10-31,-0.7620800589645598,-1.0447251645836348
2006-11-01,-0.9438740126298868,-0.9999630113772344
2006-11-02,-0.943874012629887,-0.999962004636545
2006-11-03,-0.943874012629887,-0.9999620046123712
2006-11-06,-0.943874012629887,-0.9999620046123704
2006-11-07,-0.943874012629887,-0.9999620046123704
2006-11-08,-0.943874012629887,-0.9999620046123704
2006-11-09,-0.943874012629887,-0.9999620046123704
2006-11-10,-0.943874012629887,-0.9999620046123704
2006-11-13,-0.943874012629887,-0.9999620046123704
2006-11-14,-0.943874012629887,-0.9999620046123704
2006-11-15,-0.943874012629887,-0.9999620046123704
2006-11-16,-0.943874012629887,-0.9999620046123704
2006-11-17,-0.943874012629887,-0.9999620046123704
2006-11-20,-0.943874012629887,-0.9999620046123704
2006-11-21,-0.943874012629887,-0.9999620046123704
2006-11-22,-0.943874012629887,-0.9999620046123704
2006-11-23,-0.943874012629887,-0.9999620046123704
2006-11-24,-0.943874012629887,-0.9999620046123704
2006-11-27,-0.943874012629887,-0.9999620046123704
2006-11-28,-0.943874012629887,-0.9999620046123704
2006-11-29,-0.943874012629887,-0.9999620046123704
2006-11-30,-0.763929655932252,-0.9654938979744188
2006-12-01,-0.9178755375657346,-0.9999584300339155
2006-12-04,-0.9178755375657346,-0.999959302440123
2006-12-05,-0.9178755375657346,-0.9999593024610712
2006-12-06,-0.9178755375657346,-0.9999593024610718
2006-12-07,-0.9178755375657346,-0.9999593024610718
2006-12-08,-0.9178755375657346,-0.9999593024610718
2006-12-11,-0.9178755375657346,-0.9999593024610718
2006-12-12,-0.9178755375657346,-0.9999593024610718
2006-12-13,-0.9178755375657346,-0.9999593024610718
2006-12-14,-0.9178755375657346,-0.9999593024610718
2006-12-15,-0.9178755375657346,-0.9999593024610718
2006-12-18,-0.9178755375657346,-0.9999593024610718
2006-12-19,-0.9178755375657346,-0.9999593024610718
2006-12-20,-0.9178755375657346,-0.9999593024610718
2006-12-21,-0.9178755375657346,-0.9999593024610718
2006-12-22,-0.9178755375657346,-0.9999593024610718
2006-12-25,-0.9178755375657346,-0.9999593024610718
2006-12-26,-0.9178755375657346,-0.9999593024610718
2006-12-27,-0.9178755375657346,-0.9999593024610718
2006-12-28,-0.9178755375657346,-0.9999593024610718
2006-12-29,-0.9178755375657346,-0.9999593024610718
2007-01-01,-1.1384566425035516,-1.0268418999445925
2007-01-02,-0.9442692066583565,-0.9999619837617503
2007-01-03,-0.9442692066583565,-0.9999613634415002
2007-01-04,-0.9442692066583565,-0.999961363426605
2007-01-05,-0.9442692066583565,-0.9999613634266047
2007-01-08,-0.9442692066583565,-0.9999613634266047
2007-01-09,-0.9442692066583565,-0.9999613634266047
2007-01-10,-0.9442692066583565,-0.9999613634266047
2007-01-11,-0.9442692066583565,-0.9999613634266047
2007-01-12,-0.9442692066583565,-0.9999613634266047
2007-01-15,-0.9442692066583565,-0.9999613634266047
2007-01-16,-0.9442692066583565,-0.9999613634266047
2007-01-17,-0.9442692066583565,-0.9999613634266047
2007-01-18,-0.9442692066583565,-0.9999613634266047
2007-01-19,-0.9442692066583565,-0.9999613634266047
2007-01-22,-0.9442692066583565,-0.9999613634266047
2007-01-23,-0.9442692066583565,-0.9999613634266047
2007-01-24,-0.9442692066583565,-0.9999613634266047
2007-01-25,-0.9442692066583565,-0.9999613634266047
2007-01-26,-0.9442692066583565,-0.9999613634266047
2007-01-29,-0.9442692066583565,-0.9999613634266047
2007-01-30,-0.9442692066583565,-0.9999613634266047
2007-01-31,-0.8265780593999684,-1.1068604845707604
2007-02-01,-0.9290403128960769,-0.9999705233452773
2007-02-02,-0.9290403128960769,-0.9999683165247554
2007-02-05,-0.9290403128960769,-0.999968316471765
2007-02-06,-0.9290403128960769,-0.9999683164717637
2007-02-07,-0.9290403128960769,-0.9999683164717637
2007-02-08,-0.9290403128960769,-0.9999683164717637
2007-02-09,-0.9290403128960769,-0.9999683164717637
2007-02-12,-0.9290403128960769,-0.9999683164717637
2007-02-13,-0.9290403128960769,-0.9999683164717637
2007-02-14,-0.9290403128960769,-0.9999683164717637
2007-02-15,-0.9290403128960769,-0.9999683164717637
2007-02-16,-0.9290403128960769,-0.9999683164717637
2007-02-19,-0.9290403128960769,-0.9999683164717637
2007-02-20,-0.9290403128960769,-0.9999683164717637
2007-02-21,-0.9290403128960769,-0.9999683164717637
2007-02-22,-0.9290403128960769,-0.9999683164717637
2007-02-23,-0.9290403128960769,-0.9999683164717637
2007-02-26,-0.9290403128960769,-0.9999683164717637
2007-02-27,-0.9290403128960769,-0.9999683164717637
2007-02-28,-1.4133746413140456,-0.6404324840363459
2007-03-01,-0.9674042639981482,-0.9999066691630328
2007-03-02,-0.9674042639981482,-0.9999239285657759
2007-03-05,-0.9674042639981482,-0.9999239289802215
2007-03-06,-0.9674042639981482,-0.9999239289802314
2007-03-07,-0.9674042639981482,-0.9999239289802314
2007-03-08,-0.9674042639981482,-0.9999239289802314
2007-03-09,-0.9674042639981482,-0.9999239289802314
2007-03-12,-0.9674042639981482,-0.9999239289802314
2007-03-13,-0.9674042639981482,-0.9999239289802314
2007-03-14,-0.9674042639981482,-0.9999239289802314
2007-03-15,-0.9674042639981482,-0.9999239289802314
2007-03-16,-0.9674042639981482,-0.9999239289802314
2007-03-19,-0.9674042639981482,-0.9999239289802314
2007-03-20,-0.9674042639981482,-0.9999239289802314
2007-03-21,-0.9674042639981482,-0.9999239289802314
2007-03-22,-0.9674042639981482,-0.9999239289802314
2007-03-23,-0.9674042639981482,-0.9999239289802314
2007-03-26,-0.9674042639981482,-0.9999239289802314
2007-03-27,-0.9674042639981482,-0.9999239289802314
2007-03-28,-0.9674042639981482,-0.9999239289802314
2007-03-29,-0.9674042639981482,-0.9999239289802314
2007-03-30,-0.9674042639981482,-0.9999239289802314
2007-04-02,-0.8900751182372418,-1.1028507643742815
2007-04-03,-0.9618288237367171,-0.9999394558808935
2007-04-04,-0.9618288237367171,-0.9999373198955717
2007-04-05,-0.9618288237367171,-0.9999373198442824
